Lease Number,Lease Name,Operator Name,Lease Link
953711,3-J FARMS,"Olney, TX 76374",https://www.texas-drilling.com/operators/3-j-farms/953711
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
033570,3-M PRODUCTION,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/3-m-production/033570
953611,4 S OIL COMPANY,"Albany, TX 76430",https://www.texas-drilling.com/operators/4-s-oil-company/953611
953702,"4-J'S OIL CO., THE","Albany, TX 76430",https://www.texas-drilling.com/operators/4-j-s-oil-co-the/953702
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",https://www.texas-drilling.com/operators/4-m-operating-company/953636
953801,4S OIL,"Albany, TX 76430",https://www.texas-drilling.com/operators/4s-oil/953801
271292,5 SCHKADE,"Albany, TX 76430",https://www.texas-drilling.com/operators/5-schkade/271292
953770,5L PROPERTIES,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/5l-properties/953770
953778,"5L PROPERTIES, INC.","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/5l-properties-inc/953778
953703,6 M OIL COMPANY,"Albany, TX 76430",https://www.texas-drilling.com/operators/6-m-oil-company/953703
000177,A-C OIL COMPANY,"Albany, TX 76430",https://www.texas-drilling.com/operators/a-c-oil-company/000177
000191,A.D.H. OPERATING CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/a-d-h-operating-co/000191
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/a-e-n-energy-inc/000190
000893,"AB RESERVE, LLC","Rockdale, TX 76567",https://www.texas-drilling.com/operators/ab-reserve-llc/000893
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abernathy-auto-inc/002611
002627,"ABILENE AMERICAN ENERGY, LLC","Abilene, TX 79602",https://www.texas-drilling.com/operators/abilene-american-energy-llc/002627
002630,"ABILENE DRILLING, INC.","Abilene, TX 79605",https://www.texas-drilling.com/operators/abilene-drilling-inc/002630
002636,"ABILENE OIL & GAS COMPANY, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-oil-gas-company-inc/002636
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",https://www.texas-drilling.com/operators/acr-exploration-inc/000183
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
005650,"ADAMS, H & A","Albany, TX 76430",https://www.texas-drilling.com/operators/adams-h-a/005650
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008517,"ADVANCED TECH. ENERGY CORP., INC","Abilene, TX 79603",https://www.texas-drilling.com/operators/advanced-tech-energy-corp-inc/008517
008574,AGARITA OIL AND GAS,"Midland, TX 79710",https://www.texas-drilling.com/operators/agarita-oil-and-gas/008574
010548,ALBANY CEMENTING COMPANY,"Albany, TX 76430",https://www.texas-drilling.com/operators/albany-cementing-company/010548
010585,ALBANY OIL & MINERALS CORP.,"Houston, TX 77056",https://www.texas-drilling.com/operators/albany-oil-minerals-corp/010585
010590,"ALBANY TANK CLEANING, INC.","Albany, TX 76430",https://www.texas-drilling.com/operators/albany-tank-cleaning-inc/010590
010600,ALBANY WELL SERVICE,"Albany, TX 76430",https://www.texas-drilling.com/operators/albany-well-service/010600
011203,ALCO OIL & GAS CO.,"Malvern, PA 19355",https://www.texas-drilling.com/operators/alco-oil-gas-co/011203
011204,ALCO OIL & GAS CO. LLC,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/alco-oil-gas-co-llc/011204
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alexander-energy-corporation/012190
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/alexander-resources-inc/012368
