Lease Number,Lease Name,Operator Name,Lease Link
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/adams-mcgahey/006460
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
005920,"ADAMS, K. S. JR.","Houston, TX 77001",https://www.texas-drilling.com/operators/adams-k-s-jr/005920
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
016810,"AMARILLO NATURAL GAS, INC.","Amarillo, TX 79119",https://www.texas-drilling.com/operators/amarillo-natural-gas-inc/016810
016950,"AMEND, JAMES EDWARD","Amarillo, TX 79118",https://www.texas-drilling.com/operators/amend-james-edward/016950
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020512,"AMROSERVICE, INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/amroservice-inc/020512
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/arch-petroleum-inc/029270
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/argonaut-energy-corporation/029870
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",https://www.texas-drilling.com/operators/b-and-g-production-inc/039870
040377,"B&E EXPLORATION, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/b-e-exploration-inc/040377
049748,BAR L PRODUCERS,"Fritch, TX 79036",https://www.texas-drilling.com/operators/bar-l-producers/049748
049155,BARBOUR ENERGY CORPORATION,"Oklahoma City, OK 73113",https://www.texas-drilling.com/operators/barbour-energy-corporation/049155
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",https://www.texas-drilling.com/operators/batton-oil-gas-llc/056384
058855,BAYOU OIL CO.,"Los Angeles, CA 90036",https://www.texas-drilling.com/operators/bayou-oil-co/058855
068030,BERRY EXPLORATION CORPORATION,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/berry-exploration-corporation/068030
100503,BLACK RESOURCES,"Pampa, TX 79065",https://www.texas-drilling.com/operators/black-resources/100503
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bp-america-production-company/040798
085851,"BRACKEN OPERATING, L.L.C.","Perryton, TX 79070",https://www.texas-drilling.com/operators/bracken-operating-l-l-c/085851
089885,"BRAVO NATURAL RESOURCES, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/bravo-natural-resources-inc/089885
089923,BRAWLEY PETROLEUM CORPORATION,"Lubbock, TX 79424",https://www.texas-drilling.com/operators/brawley-petroleum-corporation/089923
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-operating-corp/089974
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-inc/090873
103225,"BROYLES, CHARLES R.","Pampa, TX 79065",https://www.texas-drilling.com/operators/broyles-charles-r/103225
104245,BRYAN EXPLORATION COMPANY,"Panhandle, TX 79068",https://www.texas-drilling.com/operators/bryan-exploration-company/104245
100179,"Buffalo Raider Consulting, LLC","Midland, TX 79705",https://www.texas-drilling.com/operators/buffalo-raider-consulting-llc/100179
108883,BURKETT DRILLING,"Sunray, TX 79086",https://www.texas-drilling.com/operators/burkett-drilling/108883
129932,CANYON EXPLORATION CO.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/canyon-exploration-co/129932
136042,CARSON BUCKLES EXPLORATION LLC,"Midland, TX 79710",https://www.texas-drilling.com/operators/carson-buckles-exploration-llc/136042
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/chaparral-usa-energy-inc/144597
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",https://www.texas-drilling.com/operators/chaparral-energy-l-l-c/144535
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",https://www.texas-drilling.com/operators/cities-service-oil-gas-corp/154375
158936,CLAY PETROLEUM,"Prosper, TX 75078",https://www.texas-drilling.com/operators/clay-petroleum/158936
161380,"CLUCK, JIMMY","Hart, TX 79043",https://www.texas-drilling.com/operators/cluck-jimmy/161380
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/cobra-oil-gas-corporation/163000
170777,"CONFED OIL & GAS, INC.","Dallas, TX 75219",https://www.texas-drilling.com/operators/confed-oil-gas-inc/170777
170776,CONFED OIL INCORPORATED,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/confed-oil-incorporated/170776
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/conocophillips-company/172232
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/costilla-energy-inc/180543
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/costilla-petroleum-corporation/180545
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",https://www.texas-drilling.com/operators/cotton-petroleum-corp/182057
182785,"COURSON OIL & GAS, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/courson-oil-gas-inc/182785
186540,"CRAIG, WOOD B OR MONROE, DIANNE","Canyon, TX 79015",https://www.texas-drilling.com/operators/craig-wood-b-or-monroe-dianne/186540
186595,"CRAIG, WOOD B. & BETTIE","Sunray, TX 79086",https://www.texas-drilling.com/operators/craig-wood-b-bettie/186595
186937,CRAWLEY PETROLEUM CORPORATION,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/crawley-petroleum-corporation/186937
189451,"CRESCENDO RESOURCES, L.P.","Amarillo, TX 79188",https://www.texas-drilling.com/operators/crescendo-resources-l-p/189451
