Lease Number,Lease Name,Operator Name,Lease Link
953784,"12TH MAN ENERGY, LLC","Cat Spring, TX 78933",https://www.texas-drilling.com/operators/12th-man-energy-llc/953784
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",https://www.texas-drilling.com/operators/a-r-resources/000578
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/abaco-operating-llc/000894
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
008584,AGCO PETROLEUM COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/agco-petroleum-company/008584
009585,AKM COMPANY,"San Antonio, TX 78229",https://www.texas-drilling.com/operators/akm-company/009585
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
011140,"ALBRECHT, CECIL","New Braunfels, TX 78130",https://www.texas-drilling.com/operators/albrecht-cecil/011140
011285,ALCORN PROD CO.,"Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-prod-co/011285
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/alltex-exploration-inc/015050
015111,ALPHA OIL & GAS LLC,"Austin, TX 78734",https://www.texas-drilling.com/operators/alpha-oil-gas-llc/015111
015128,"ALPHA OMEGA PETROLEUM, INC.","Dallas, TX 75251",https://www.texas-drilling.com/operators/alpha-omega-petroleum-inc/015128
015744,"ALTMAN ENERGY, INC.","Tulsa, OK 74114",https://www.texas-drilling.com/operators/altman-energy-inc/015744
016329,ALVAREZ & ALVAREZ,"Rio Grande Ci, TX 78582",https://www.texas-drilling.com/operators/alvarez-alvarez/016329
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",https://www.texas-drilling.com/operators/alyndson-oil-gas-inc/016541
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/amcole-energy-corp/016917
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",https://www.texas-drilling.com/operators/amend-energy-company/016945
018021,AMERICAN ENERGY OPERATIONS INC.,"Houston, TX 77002",https://www.texas-drilling.com/operators/american-energy-operations-inc/018021
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/americo-oil-company/019762
019766,AMERITEX CORPORATION,"Houston, TX 77092",https://www.texas-drilling.com/operators/ameritex-corporation/019766
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",https://www.texas-drilling.com/operators/ammo-energy-llc/020403
020463,AMPAK OIL COMPANY,"Plano, TX 75074",https://www.texas-drilling.com/operators/ampak-oil-company/020463
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",https://www.texas-drilling.com/operators/anderson-producing-inc/022600
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/anglo-production-company/025490
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
033895,"ASCEND OIL & GAS, L.L.C.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/ascend-oil-gas-l-l-c/033895
