Lease Number,Lease Name,Operator Name,Lease Link
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
100340,A&A Energy LLC.,"Christoval, TX 76935",https://www.texas-drilling.com/operators/a-a-energy-llc/100340
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
007832,"ADCOCK, CAROL","Ozona, TX 76943",https://www.texas-drilling.com/operators/adcock-carol/007832
007838,"ADCOCK, DON","Sonora, TX 76950",https://www.texas-drilling.com/operators/adcock-don/007838
007830,"ADCOCK, LEROY","Ozona, TX 76943",https://www.texas-drilling.com/operators/adcock-leroy/007830
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-quasar-petroleum-co/019250
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020475,AMQUEST CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/amquest-corporation/020475
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
022435,ANDERSON ENERGY CORPORATION,"Arvada, CO 80004",https://www.texas-drilling.com/operators/anderson-energy-corporation/022435
022547,"ANDERSON PETROLEUM, INC.","Denver, CO 80203",https://www.texas-drilling.com/operators/anderson-petroleum-inc/022547
