Lease Number,Lease Name,Operator Name,Lease Link
953633,2 W PETROLEUM,"Brownwood, TX 76804",https://www.texas-drilling.com/operators/2-w-petroleum/953633
003391,ACCELL NATURAL GAS COMPANY,"Houston, TX 77042",https://www.texas-drilling.com/operators/accell-natural-gas-company/003391
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",https://www.texas-drilling.com/operators/adventure-exploration-ptrs-llc/008493
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029347,ARCO PERMIAN,"Houston, TX 77079",https://www.texas-drilling.com/operators/arco-permian/029347
036049,ATHANOR TEXAS INC.,"Houston, TX 77002",https://www.texas-drilling.com/operators/athanor-texas-inc/036049
036555,"ATLANTIC RESOURCES COMPANY, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/atlantic-resources-company-llc/036555
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
100412,"Beaver Oil & Gas Operating, LLC","Austin, TX 78746",https://www.texas-drilling.com/operators/beaver-oil-gas-operating-llc/100412
062680,BELCO PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/belco-petroleum-corporation/062680
066722,"BEPCO, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bepco-l-p/066722
074110,"BLAIR, JACK N.","Midland, TX 79702",https://www.texas-drilling.com/operators/blair-jack-n/074110
076775,"BLUE RIDGE OIL & GAS EXP., INC.","Belleville, MI 48111",https://www.texas-drilling.com/operators/blue-ridge-oil-gas-exp-inc/076775
076862,"BLUESTEM ENERGY HOLDINGS, LLC","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/bluestem-energy-holdings-llc/076862
082967,"BOPCO, L.P.","Midland, TX 79701",https://www.texas-drilling.com/operators/bopco-l-p/082967
040798,BP AMERICA PRODUCTION COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/bp-america-production-company/040798
088045,"BRADSHAW, RAY E.","Tyler, TX 75713",https://www.texas-drilling.com/operators/bradshaw-ray-e/088045
088581,"BRAHMAN OIL & GAS, LLC","Houston, TX 77063",https://www.texas-drilling.com/operators/brahman-oil-gas-llc/088581
088562,"BRAHMAN RESOURCE PARTNERS, LLC","Spring, TX 77379",https://www.texas-drilling.com/operators/brahman-resource-partners-llc/088562
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
093125,BRIGHT & CO.,"The Colony, TX 75056",https://www.texas-drilling.com/operators/bright-co/093125
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/bristol-resources-corporation/093548
100268,"BROWN, H. L., JR.","Midland, TX 79702",https://www.texas-drilling.com/operators/brown-h-l-jr/100268
102550,"BROWN, TOM INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brown-tom-inc/102550
041519,"BRP ENERGY, LLC","San Angelo, TX 76902",https://www.texas-drilling.com/operators/brp-energy-llc/041519
109160,"BURKHOLDER, TERRY L., INC.","Pecos, TX 79772",https://www.texas-drilling.com/operators/burkholder-terry-l-inc/109160
101557,CAL-TEX EXPLORATION & PRODUCTION COMPANY LLC,"San Antonio, TX 78228",https://www.texas-drilling.com/operators/cal-tex-exploration-production-company-llc/101557
129009,CANDELERO OIL & GAS COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/candelero-oil-gas-company/129009
129015,CANDELERO OIL AND GAS COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/candelero-oil-and-gas-company/129015
101460,"CB Energy Partners, LLC","Odessa, TX 79765",https://www.texas-drilling.com/operators/cb-energy-partners-llc/101460
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/chaparral-usa-energy-inc/144597
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",https://www.texas-drilling.com/operators/chaparral-energy-l-l-c/144535
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-midcontinent-l-p/147862
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-u-s-a-inc/148113
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",https://www.texas-drilling.com/operators/cimarex-energy-co-of-colorado/153429
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/coastal-oil-gas-corporation/161639
164455,CODY ENERGY LLC,"Houston, TX 77024",https://www.texas-drilling.com/operators/cody-energy-llc/164455
164464,"CODY ENERGY, INC.","Houston, TX 77077",https://www.texas-drilling.com/operators/cody-energy-inc/164464
164468,"CODY RESOURCES, INC.","Midland, TX 79705",https://www.texas-drilling.com/operators/cody-resources-inc/164468
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/concho-exploration-inc/170141
172230,CONOCO INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/conoco-inc/172230
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/conocophillips-company/172232
173740,CONTINENTAL OIL COMPANY,"Unknown, XX 99999",https://www.texas-drilling.com/operators/continental-oil-company/173740
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",https://www.texas-drilling.com/operators/coquina-oil-corporation/177570
187075,"CREDO OIL & GAS, INC.","Beaumont, TX 77706",https://www.texas-drilling.com/operators/credo-oil-gas-inc/187075
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-production-inc/197690
198368,DANICK EXPLORATION CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/danick-exploration-corporation/198368
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-production-co-l-p/216378
216738,"DEVON SFS OPERATING, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-sfs-operating-inc/216738
250555,"EL RAN, INC.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/el-ran-inc/250555
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/encana-oil-gas-usa-inc/251691
251727,"ENCORE OPERATING, L.P.","Plano, TX 75024",https://www.texas-drilling.com/operators/encore-operating-l-p/251727
251871,ENERGICO PRODUCTION INC.,"Weatherford, TX 76087",https://www.texas-drilling.com/operators/energico-production-inc/251871
252127,"ENERTEX, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/enertex-inc/252127
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",https://www.texas-drilling.com/operators/enron-oil-gas-company/253196
253162,"EOG RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/eog-resources-inc/253162
253404,"EPIC PERMIAN OPERATING, LLC","Midland, TX 79705",https://www.texas-drilling.com/operators/epic-permian-operating-llc/253404
253489,"ERNMAR INVESTMENTS, INC.","Edmond, OK 73083",https://www.texas-drilling.com/operators/ernmar-investments-inc/253489
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
263696,"FASKEN OIL AND RANCH, LTD.","Midland, TX 79707",https://www.texas-drilling.com/operators/fasken-oil-and-ranch-ltd/263696
263924,"FDL OPERATING, LLC","Judson, TX 75660",https://www.texas-drilling.com/operators/fdl-operating-llc/263924
263930,"FEAGAN ENERGY, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/feagan-energy-inc/263930
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",https://www.texas-drilling.com/operators/fina-oil-chemical-company/268321
269010,"FIRST PERMIAN, L.L.C.","Midland, TX 79702",https://www.texas-drilling.com/operators/first-permian-l-l-c/269010
275740,FOREST OIL CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/forest-oil-corporation/275740
280940,FOUR G OIL COMPANY,"MC Camey, TX 79752",https://www.texas-drilling.com/operators/four-g-oil-company/280940
284885,FREDONIA RESOURCES INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/fredonia-resources-inc/284885
285113,FREEMAN ENERGY INC. (I),"Fredericksbrg, TX 78624",https://www.texas-drilling.com/operators/freeman-energy-inc-i/285113
293117,GALILEE OIL INVESTMENTS LLC,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/galilee-oil-investments-llc/293117
304280,GIEBEL PETROLEUM LTD.,"Midland, TX 79705",https://www.texas-drilling.com/operators/giebel-petroleum-ltd/304280
335976,GROVER-MCKINNEY OIL COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/grover-mckinney-oil-company/335976
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",https://www.texas-drilling.com/operators/gruy-petroleum-management-co/337106
338130,GULF OIL CORP.,"Houston, TX 77252",https://www.texas-drilling.com/operators/gulf-oil-corp/338130
351730,"HAMON, JAKE L.","Dallas, TX 75201",https://www.texas-drilling.com/operators/hamon-jake-l/351730
378535,HENRY RESOURCES LLC,"Midland, TX 79703",https://www.texas-drilling.com/operators/henry-resources-llc/378535
386310,HILCORP ENERGY COMPANY,"Houston, TX 77208",https://www.texas-drilling.com/operators/hilcorp-energy-company/386310
388650,"HILLIARD OIL & GAS, INC.","Midland, TX 79705",https://www.texas-drilling.com/operators/hilliard-oil-gas-inc/388650
388787,"HILLIN, T. A.","Kerrville, TX 78028",https://www.texas-drilling.com/operators/hillin-t-a/388787
341494,HNG OIL COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/hng-oil-company/341494
399641,"HOPKINS, T. M. OPERATING CO.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/hopkins-t-m-operating-co/399641
415453,"HUNT INDUSTRIES, LTD.","Dallas, TX 75201",https://www.texas-drilling.com/operators/hunt-industries-ltd/415453
416330,HUNT OIL COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/hunt-oil-company/416330
416540,HUNT PETROLEUM CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/hunt-petroleum-corporation/416540
419291,"HUNTINGTON ENERGY, L.L.C.","Nichols Hill, OK 73116",https://www.texas-drilling.com/operators/huntington-energy-l-l-c/419291
428027,"JACKSON EXPLORATION, INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/jackson-exploration-inc/428027
430368,"JAY MANAGEMENT COMPANY, LLC","Houston, TX 77057",https://www.texas-drilling.com/operators/jay-management-company-llc/430368
433775,JOHNSON AND PRICE,"Midland, TX 79702",https://www.texas-drilling.com/operators/johnson-and-price/433775
440744,JOLEN OPERATING COMPANY,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/jolen-operating-company/440744
450175,KAISER-FRANCIS OIL COMPANY,"Tulsa, OK 74121",https://www.texas-drilling.com/operators/kaiser-francis-oil-company/450175
451280,KARPER OIL & GAS CORPORATION,"Graham, TX 76450",https://www.texas-drilling.com/operators/karper-oil-gas-corporation/451280
457759,KEROGEN TEXAS ENERGY OP LLC,"Houston, TX 77060",https://www.texas-drilling.com/operators/kerogen-texas-energy-op-llc/457759
457667,"KERRDOG RESOURCES, LLC","San Angelo, TX 76904",https://www.texas-drilling.com/operators/kerrdog-resources-llc/457667
468890,KIRKPATRICK OIL COMPANY,"Nichols Hill, OK 73116",https://www.texas-drilling.com/operators/kirkpatrick-oil-company/468890
495445,LEGACY RESERVES OPERATING LP,"Denver, CO 80201",https://www.texas-drilling.com/operators/legacy-reserves-operating-lp/495445
508409,"LONGFELLOW ENERGY, LP","Dallas, TX 75225",https://www.texas-drilling.com/operators/longfellow-energy-lp/508409
526444,"MARLIN ENERGY SOUTHWEST GP, LLC","Lafayette, LA 70503",https://www.texas-drilling.com/operators/marlin-energy-southwest-gp-llc/526444
527850,"MARSHALL & WINSTON, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/marshall-winston-inc/527850
532992,MATADOR OPERATING COMPANY,"Dallas, TX 75240",https://www.texas-drilling.com/operators/matador-operating-company/532992
536740,MAYNARD OIL CO.,"Denver, CO 80202",https://www.texas-drilling.com/operators/maynard-oil-co/536740
549892,"MCGUFFIN, JOE JR.","Christoval, TX 76935",https://www.texas-drilling.com/operators/mcguffin-joe-jr/549892
571987,"MLC OPERATING, LP","Houston, TX 77063",https://www.texas-drilling.com/operators/mlc-operating-lp/571987
572500,MOBIL OIL CORPORATION,"Houston, TX 77210",https://www.texas-drilling.com/operators/mobil-oil-corporation/572500
572550,MOBIL PRODUCING TX. & N.M. INC.,"Spring, TX 77389",https://www.texas-drilling.com/operators/mobil-producing-tx-n-m-inc/572550
598315,"NAPECO, INC.","Houston, TX 77227",https://www.texas-drilling.com/operators/napeco-inc/598315
606617,NEWFIELD EXPLORATION COMPANY,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/newfield-exploration-company/606617
611014,"NITRO OIL & GAS, LLC","Midland, TX 79701",https://www.texas-drilling.com/operators/nitro-oil-gas-llc/611014
611687,"NOBLES INVESTMENTS, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/nobles-investments-inc/611687
614500,NORTHERN NATURAL GAS CO.,"Omaha, NE 68124",https://www.texas-drilling.com/operators/northern-natural-gas-co/614500
616204,NUEVO TEXAS INC.,"Houston, TX 77002",https://www.texas-drilling.com/operators/nuevo-texas-inc/616204
616819,NUTEK OIL INC,"San Antonio, TX 78254",https://www.texas-drilling.com/operators/nutek-oil-inc/616819
617042,O'RYAN OIL AND GAS,"Odessa, TX 79768",https://www.texas-drilling.com/operators/o-ryan-oil-and-gas/617042
617544,OCCIDENTAL PERMIAN LTD.,"Houston, TX 77046",https://www.texas-drilling.com/operators/occidental-permian-ltd/617544
616999,"OCCIDENTAL W TX OVERTHRUST, INC.","Houston, TX 77210",https://www.texas-drilling.com/operators/occidental-w-tx-overthrust-inc/616999
630591,OXY USA INC.,"Houston, TX 77046",https://www.texas-drilling.com/operators/oxy-usa-inc/630591
643327,PATNO OIL & GAS COMPANY,"Zapata, TX 78076",https://www.texas-drilling.com/operators/patno-oil-gas-company/643327
655450,"PERLMAN, WILLIAM","Houston, TX 77002",https://www.texas-drilling.com/operators/perlman-william/655450
658560,"PERRY PRODUCING COMPANY, INC.","Ackerly, TX 79713",https://www.texas-drilling.com/operators/perry-producing-company-inc/658560
659834,PETRA OIL CORPORATION,"Houston, TX 77024",https://www.texas-drilling.com/operators/petra-oil-corporation/659834
660206,"PETROCORP INCORPORATED,A TX.CORP","Tulsa, OK 74170",https://www.texas-drilling.com/operators/petrocorp-incorporated-a-tx-corp/660206
664125,PHOENIX HYDROCARBONS OPERATING,"Midland, TX 79702",https://www.texas-drilling.com/operators/phoenix-hydrocarbons-operating/664125
