Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
101758,5STONE OPERATING INC,"Big Lake, TX 76932",https://www.texas-drilling.com/operators/5stone-operating-inc/101758
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000102,"A & G PRODUCERS, INC.","Barstow, TX 79719",https://www.texas-drilling.com/operators/a-g-producers-inc/000102
001506,"ABEL, M.D. CO.","Lampasas, TX 76550",https://www.texas-drilling.com/operators/abel-m-d-co/001506
003589,"ACME ENERGY SERVICES, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/acme-energy-services-inc/003589
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",https://www.texas-drilling.com/operators/adventure-exploration-ptrs-llc/008493
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
015116,ALPHA PETROVISION (U.S.) INC.,"Canada, 00100",https://www.texas-drilling.com/operators/alpha-petrovision-u-s-inc/015116
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alta-energy-corporation/015734
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
017996,"AMERICAN ENERGY-PERM BASIN, LLC","Oklahoma City, OK 73113",https://www.texas-drilling.com/operators/american-energy-perm-basin-llc/017996
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-quasar-petroleum-co/019250
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/amerind-oil-company-ltd/019756
020215,AMINOIL USA INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/aminoil-usa-inc/020215
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020602,ANCHO OIL LLC,"Decatur, TX 76234",https://www.texas-drilling.com/operators/ancho-oil-llc/020602
020783,ANDECTOR EXPLORATION COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/andector-exploration-company/020783
020793,ANDERRA ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/anderra-energy-corporation/020793
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",https://www.texas-drilling.com/operators/apv-mccamey-llc/028617
028618,"AQUA TERRA PERMIAN, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/aqua-terra-permian-llc/028618
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",https://www.texas-drilling.com/operators/arch-oil-gas-llc/029272
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/arch-petroleum-inc/029270
028910,"ARCHER, A. R., JR.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/archer-a-r-jr/028910
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029347,ARCO PERMIAN,"Houston, TX 77079",https://www.texas-drilling.com/operators/arco-permian/029347
029570,AREA PIPE AND EQUIPMENT,"Midland, TX 79702",https://www.texas-drilling.com/operators/area-pipe-and-equipment/029570
029586,ARENA PRODUCTION COMPANY,"Midland, TX 79710",https://www.texas-drilling.com/operators/arena-production-company/029586
030129,"ARIES OPERATING, LLC","Houston, TX 77010",https://www.texas-drilling.com/operators/aries-operating-llc/030129
030128,"ARIES OPERATING, LP","Houston, TX 77042",https://www.texas-drilling.com/operators/aries-operating-lp/030128
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/armor-petroleum-inc/031585
