Lease Number,Lease Name,Operator Name,Lease Link
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
015098,"ALON USA, LP","Big Spring, TX 79720",https://www.texas-drilling.com/operators/alon-usa-lp/015098
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/antara-resources-inc/025691
027474,"APOLLO ENERGY OPERATING CO, LP","Lake Charles, LA 70601",https://www.texas-drilling.com/operators/apollo-energy-operating-co-lp/027474
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",https://www.texas-drilling.com/operators/arrow-exploration-company/033189
048980,"BARBEE, R. L. OPERATING","Corpus Chrsti, TX 78413",https://www.texas-drilling.com/operators/barbee-r-l-operating/048980
049145,"BARBEE, R.L. OPERATING, INC.","Corpus Chrsti, TX 78427",https://www.texas-drilling.com/operators/barbee-r-l-operating-inc/049145
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
062678,BELCO OPERATING CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-operating-corp/062678
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bellwether-exploration-company/063865
071448,"BIRDWELL, BAKER","Grapeland, TX 75844",https://www.texas-drilling.com/operators/birdwell-baker/071448
072709,"BLACK PEARL EXPLORATION, L.L.C.","Houston, TX 77095",https://www.texas-drilling.com/operators/black-pearl-exploration-l-l-c/072709
076754,BLUE MOON,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/blue-moon/076754
076763,"BLUE MOON OPERATING, INC.","Canton, TX 75103",https://www.texas-drilling.com/operators/blue-moon-operating-inc/076763
076855,"BLUESTONE NATURAL RESOURCES, LLC","Tulsa, OK 74114",https://www.texas-drilling.com/operators/bluestone-natural-resources-llc/076855
100330,"Buffalo XXII Operating, LLC","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/buffalo-xxii-operating-llc/100330
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
126996,"CAMERON EXPLORATION, INC.","Longview, TX 75604",https://www.texas-drilling.com/operators/cameron-exploration-inc/126996
142195,"CH4 ENERGY II, LLC","Fort Worth, TX 76109",https://www.texas-drilling.com/operators/ch4-energy-ii-llc/142195
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",https://www.texas-drilling.com/operators/cimarex-energy-co-of-colorado/153429
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/cobra-oil-gas-corporation/163000
168990,COLORADO SCHOOL OF MINES RES INS,"Golden, CO 80403",https://www.texas-drilling.com/operators/colorado-school-of-mines-res-ins/168990
195826,CXY ENERGY INC.,"Dallas, TX 75251",https://www.texas-drilling.com/operators/cxy-energy-inc/195826
195802,"CYMRAEC RESOURCES, INC.","Houston, TX 77060",https://www.texas-drilling.com/operators/cymraec-resources-inc/195802
238981,EAST TEXAS PRODUCTION MGT. INC,"Athens, TX 75751",https://www.texas-drilling.com/operators/east-texas-production-mgt-inc/238981
250446,EL PASO PRODUCTION OIL & GAS CO.,"Houston, TX 77252",https://www.texas-drilling.com/operators/el-paso-production-oil-gas-co/250446
247735,"ELF AQUITAINE, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/elf-aquitaine-inc/247735
247836,ELLIOTT OIL & GAS OPERATING CO.,"Magnolia, TX 77354",https://www.texas-drilling.com/operators/elliott-oil-gas-operating-co/247836
250961,"EMERALD OPERATING COMPANY, INC.","Plano, TX 75075",https://www.texas-drilling.com/operators/emerald-operating-company-inc/250961
251980,"ENERGY RESERVES GROUP, INC.","Houston, TX 77067",https://www.texas-drilling.com/operators/energy-reserves-group-inc/251980
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",https://www.texas-drilling.com/operators/enervest-operating-l-l-c/252131
253162,"EOG RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/eog-resources-inc/253162
255141,"ETX ENERGY, LLC","Tulsa, OK 74136",https://www.texas-drilling.com/operators/etx-energy-llc/255141
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
257281,"F.I.G. ENERGY, LLC","Livingston, TX 77399",https://www.texas-drilling.com/operators/f-i-g-energy-llc/257281
278762,FORTUNE NATURAL RESOURCES CORP.,"Houston, TX 77067",https://www.texas-drilling.com/operators/fortune-natural-resources-corp/278762
278755,FORTUNE RESOURCES LLC,"Longview, TX 75604",https://www.texas-drilling.com/operators/fortune-resources-llc/278755
293303,GALLOWAY ENERGY CO.,"Tomball, TX 77377",https://www.texas-drilling.com/operators/galloway-energy-co/293303
301277,GEORGETOWN GAS PIPELINE COMPANY,"Houston, TX 77084",https://www.texas-drilling.com/operators/georgetown-gas-pipeline-company/301277
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",https://www.texas-drilling.com/operators/gruy-petroleum-management-co/337106
346076,"HALL, D. CORPORATION","La Grange, TX 78945",https://www.texas-drilling.com/operators/hall-d-corporation/346076
353099,HAMPTON RESOURCES CORPORATION,"Houston, TX 77010",https://www.texas-drilling.com/operators/hampton-resources-corporation/353099
396850,HOME PETROLEUM CORPORATION,"Denver, CO 80202",https://www.texas-drilling.com/operators/home-petroleum-corporation/396850
404500,HOUSTON PETROLEUM COMPANY,"Houston, TX 77027",https://www.texas-drilling.com/operators/houston-petroleum-company/404500
416330,HUNT OIL COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/hunt-oil-company/416330
421776,ICARUS OPERATING CORPORATION,"Spring, TX 77393",https://www.texas-drilling.com/operators/icarus-operating-corporation/421776
432115,JET OIL PRODUCERS,"Coldspring, TX 77331",https://www.texas-drilling.com/operators/jet-oil-producers/432115
448231,"JURASSIC EXPLORATION, INC.","Longview, TX 75601",https://www.texas-drilling.com/operators/jurassic-exploration-inc/448231
448380,"K & A, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/k-a-inc/448380
451459,"KATANA ENERGY, LLC","Houston, TX 77084",https://www.texas-drilling.com/operators/katana-energy-llc/451459
489670,LAVACA CANYON PETROLEUM LLC,"Houston, TX 77094",https://www.texas-drilling.com/operators/lavaca-canyon-petroleum-llc/489670
504917,LOCKOUT CORPORATION,"Austin, TX 78746",https://www.texas-drilling.com/operators/lockout-corporation/504917
511975,LUCK PETROLEUM CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/luck-petroleum-corporation/511975
524897,MANTI OPERATING COMPANY,"Covington, LA 70435",https://www.texas-drilling.com/operators/manti-operating-company/524897
554110,MCMORAN EXPLORATION CO.,"New Orleans, LA 70160",https://www.texas-drilling.com/operators/mcmoran-exploration-co/554110
554115,MCMORAN-TRANSCO EXPL.CO.,"Metairie, LA 70009",https://www.texas-drilling.com/operators/mcmoran-transco-expl-co/554115
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",https://www.texas-drilling.com/operators/merit-energy-company/561136
