Lease Number,Lease Name,Operator Name,Lease Link
953496,"4 BOOTS OIL COMPANY, LLC","Leander, TX 78641",https://www.texas-drilling.com/operators/4-boots-oil-company-llc/953496
954998,"7711 CORPORATION, THE","Houston, TX 77002",https://www.texas-drilling.com/operators/7711-corporation-the/954998
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
008572,AG OPERATING COMPANY LLC,"Monsey, NY 10952",https://www.texas-drilling.com/operators/ag-operating-company-llc/008572
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
027226,"APACHE EXPLORATION, INC. (I)","Houston, TX 77075",https://www.texas-drilling.com/operators/apache-exploration-inc-i/027226
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
035633,ATAPCO,"Houston, TX 77040",https://www.texas-drilling.com/operators/atapco/035633
036561,ATLANTIC RICHFIELD COMPANY,"Plano, TX 75094",https://www.texas-drilling.com/operators/atlantic-richfield-company/036561
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bargo-energy-company/049250
052210,BARNHART CO.,"Houston, TX 77056",https://www.texas-drilling.com/operators/barnhart-co/052210
068303,"BETA GAS & OIL, INC.","Tulsa, OK 74136",https://www.texas-drilling.com/operators/beta-gas-oil-inc/068303
068300,"BETA OPERATING COMPANY, LLC","Houston, TX 77210",https://www.texas-drilling.com/operators/beta-operating-company-llc/068300
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",https://www.texas-drilling.com/operators/bhp-petroleum-americas-inc/068610
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",https://www.texas-drilling.com/operators/big-run-production-company/070370
082570,"BOOHER ENGINEERING, INC.","Tyler, TX 75711",https://www.texas-drilling.com/operators/booher-engineering-inc/082570
085370,BP PROD. CORP.,"Richardson, TX 75083",https://www.texas-drilling.com/operators/bp-prod-corp/085370
091041,"BRIDAS ENERGY USA, INC.","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/bridas-energy-usa-inc/091041
103003,"BROWNING, LANDON","Brenham, TX 77833",https://www.texas-drilling.com/operators/browning-landon/103003
122112,"CACHE PETROLEUM OPERATING CO.,LP","Wichita, KS 67212",https://www.texas-drilling.com/operators/cache-petroleum-operating-co-lp/122112
126785,CAMBRIDGE ROYALTY COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/cambridge-royalty-company/126785
127738,"CAMPAU, JACKSON J.","Kingwood, TX 77345",https://www.texas-drilling.com/operators/campau-jackson-j/127738
139584,CASKIDS OPERATING COMPANY,"Houston, TX 77027",https://www.texas-drilling.com/operators/caskids-operating-company/139584
140557,"CAVALIER OIL & GAS, INC.","Buchanan Dam, TX 78609",https://www.texas-drilling.com/operators/cavalier-oil-gas-inc/140557
141835,"CENTURY RESOURCES, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/century-resources-inc/141835
144989,CHAPMAN OIL,"Houston, TX 77002",https://www.texas-drilling.com/operators/chapman-oil/144989
148223,CHIEF OPERATING COMPANY,"Houston, TX 77070",https://www.texas-drilling.com/operators/chief-operating-company/148223
159651,"CLEARLY PETROLEUM, LLC","Houston, TX 77086",https://www.texas-drilling.com/operators/clearly-petroleum-llc/159651
160600,CLIFFS DRILLING COMPANY,"Houston, TX 77008",https://www.texas-drilling.com/operators/cliffs-drilling-company/160600
161949,"COASTLINE OPERATING, L.L.C.","Houston, TX 77027",https://www.texas-drilling.com/operators/coastline-operating-l-l-c/161949
166707,COHO RESOURCES INC.,"Dallas, TX 75240",https://www.texas-drilling.com/operators/coho-resources-inc/166707
172230,CONOCO INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/conoco-inc/172230
183232,COX & COX PRODUCTION CO.,"Donna, TX 78537",https://www.texas-drilling.com/operators/cox-cox-production-co/183232
214062,"DELTA SEABOARD WELL SVC, INC.","Houston, TX 77043",https://www.texas-drilling.com/operators/delta-seaboard-well-svc-inc/214062
216456,"DENVER ENERGY EXPLORATION,LLC","Canyon Lake, TX 78133",https://www.texas-drilling.com/operators/denver-energy-exploration-llc/216456
216726,"DFG OIL & GAS, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/dfg-oil-gas-llc/216726
222162,DOLBERRY ENERGY RESOURCES CORP.,"Dallas, TX 75252",https://www.texas-drilling.com/operators/dolberry-energy-resources-corp/222162
222242,DOMINION MINERALS CORPORATION,"Houston, TX 77014",https://www.texas-drilling.com/operators/dominion-minerals-corporation/222242
222286,DOMINO PROD SERVICES INC,"Bellville, TX 77418",https://www.texas-drilling.com/operators/domino-prod-services-inc/222286
224852,DOUBLE EAGLE PETROLEUM CORP,"Evansville, IN 47725",https://www.texas-drilling.com/operators/double-eagle-petroleum-corp/224852
227525,"DOW CHEMICAL COMPANY, THE","Freeport, TX 77541",https://www.texas-drilling.com/operators/dow-chemical-company-the/227525
253153,"ENERTECH RESOURCES, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/enertech-resources-inc/253153
252470,ENHANCED ENERGY PARTNERS CORP,"Tomball, TX 77377",https://www.texas-drilling.com/operators/enhanced-energy-partners-corp/252470
254244,"ESCONDIDO PETROLEUM COMPANY, INC","Houston, TX 77063",https://www.texas-drilling.com/operators/escondido-petroleum-company-inc/254244
255330,EUREKA EXPLORATION CO. (EUREXCO),"S Houston, TX 77587",https://www.texas-drilling.com/operators/eureka-exploration-co-eurexco/255330
256489,"EVERGREEN ENERGY, INC.","Houston, TX 77098",https://www.texas-drilling.com/operators/evergreen-energy-inc/256489
257068,EXPRESS OIL CO.,"Hallettsville, TX 77964",https://www.texas-drilling.com/operators/express-oil-co/257068
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",https://www.texas-drilling.com/operators/exxon-mobil-corporation/257128
271610,FLAG-REDFERN OIL COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/flag-redfern-oil-company/271610
271648,FLAT CREEK OPERATING CO.,"Rockwall, TX 75087",https://www.texas-drilling.com/operators/flat-creek-operating-co/271648
275740,FOREST OIL CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/forest-oil-corporation/275740
291668,"FUSION XP, INC.","Arlington, TX 76006",https://www.texas-drilling.com/operators/fusion-xp-inc/291668
291672,FUTURE PETROLEUM CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/future-petroleum-corporation/291672
293303,GALLOWAY ENERGY CO.,"Tomball, TX 77377",https://www.texas-drilling.com/operators/galloway-energy-co/293303
299331,"GEN-NAN RESOURCES & EQUIP., INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/gen-nan-resources-equip-inc/299331
299332,"GEN-NAN RESOURCES & EQUIP., L.P.","Midland, TX 79702",https://www.texas-drilling.com/operators/gen-nan-resources-equip-l-p/299332
301287,GEOSOUTHERN ENERGY CORPORATION,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/geosouthern-energy-corporation/301287
302450,GETTY OIL CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/getty-oil-co/302450
337080,"GTG OPERATING, LLC","Tyler, TX 75702",https://www.texas-drilling.com/operators/gtg-operating-llc/337080
341460,H-M OIL COMPANY,"Houston, TX 77027",https://www.texas-drilling.com/operators/h-m-oil-company/341460
341468,"H-M RESOURCE MANAGEMENT, INC.","Houston, TX 77055",https://www.texas-drilling.com/operators/h-m-resource-management-inc/341468
342390,HADAWAY ENGINEERING INC.,"Canadian, TX 79014",https://www.texas-drilling.com/operators/hadaway-engineering-inc/342390
346983,"HALLADAY PETROLEUM, INC.","Houston, TX 77043",https://www.texas-drilling.com/operators/halladay-petroleum-inc/346983
381860,"HESTER, B. M.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/hester-b-m/381860
385540,HIGH CHAPPARAL OIL COMPANY,"Plntersville, TX 77363",https://www.texas-drilling.com/operators/high-chapparal-oil-company/385540
