Lease Number,Lease Name,Operator Name,Lease Link
953627,20TH CENTURY PIPE & EQUIP.CO.INC,"Midland, TX 79702",https://www.texas-drilling.com/operators/20th-century-pipe-equip-co-inc/953627
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
100604,"4020 SWD, LLC","Pearsall, TX 78061",https://www.texas-drilling.com/operators/4020-swd-llc/100604
000195,A & D COGENERATION COMPANY,"Houston, TX 77257",https://www.texas-drilling.com/operators/a-d-cogeneration-company/000195
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/abaco-operating-llc/000894
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
008625,"AGERON ENERGY, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/ageron-energy-llc/008625
008632,"AGERON IRONROC ENERGY, LLC","The Woodlands, TX 77381",https://www.texas-drilling.com/operators/ageron-ironroc-energy-llc/008632
008900,AIKINS-OWENS,"Wichita, KS 67278",https://www.texas-drilling.com/operators/aikins-owens/008900
009500,"AKERS, BILL","Hebbronville, TX 78361",https://www.texas-drilling.com/operators/akers-bill/009500
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
011200,ALCO DRLG. CO.,"Freer, TX 78357",https://www.texas-drilling.com/operators/alco-drlg-co/011200
100397,"Aldine Oil and Gas, LP","Houston, TX 77060",https://www.texas-drilling.com/operators/aldine-oil-and-gas-lp/100397
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-operating-lp/011445
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
014120,"ALLERKAMP, ERNEST E.","Cotulla, TX 78014",https://www.texas-drilling.com/operators/allerkamp-ernest-e/014120
015745,"ALTEX PETROLEUM, INC.","Pasadena, TX 77506",https://www.texas-drilling.com/operators/altex-petroleum-inc/015745
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",https://www.texas-drilling.com/operators/alyndson-oil-gas-inc/016541
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
