Lease Number,Lease Name,Operator Name,Lease Link
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-g-resources-llc/953465
000214,"A & C OIL COMPANY, LLC","Stockdale, TX 78160",https://www.texas-drilling.com/operators/a-c-oil-company-llc/000214
000436,A & M PARTNERSHIP,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/a-m-partnership/000436
002605,ABERLOUR OPERATING INC.,"Pampa, TX 79066",https://www.texas-drilling.com/operators/aberlour-operating-inc/002605
007140,"ADAMS, R. W. & SON","Amarillo, TX 79109",https://www.texas-drilling.com/operators/adams-r-w-son/007140
007825,ADCO OIL & GAS,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/adco-oil-gas/007825
007898,"ADGER, GENEVIEVE Z.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/adger-genevieve-z/007898
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
012390,ALFARO OIL & GAS,"Burkburnett, TX 76354",https://www.texas-drilling.com/operators/alfaro-oil-gas/012390
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
016600,"AMAREX, INC.","Oklahoma City, OK 73101",https://www.texas-drilling.com/operators/amarex-inc/016600
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",https://www.texas-drilling.com/operators/amarillo-oil-co/016830
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
