Lease Number,Lease Name,Operator Name,Lease Link
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/1776-energy-operators-llc/953562
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",https://www.texas-drilling.com/operators/2-d-oil-gas-llc/953828
953810,3 W INVESTMENTS LLC,"San Antonio, TX 78217",https://www.texas-drilling.com/operators/3-w-investments-llc/953810
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
953641,3R-B OIL VENTURE,"Luling, TX 78648",https://www.texas-drilling.com/operators/3r-b-oil-venture/953641
953820,"4F ENERGY, LLC","Shiner, TX 77984",https://www.texas-drilling.com/operators/4f-energy-llc/953820
000157,A & A PRODUCTION CO.,"Karnes City, TX 78118",https://www.texas-drilling.com/operators/a-a-production-co/000157
000214,"A & C OIL COMPANY, LLC","Stockdale, TX 78160",https://www.texas-drilling.com/operators/a-c-oil-company-llc/000214
000452,A-M JOINT VENTURE,"New Braunfels, TX 78132",https://www.texas-drilling.com/operators/a-m-joint-venture/000452
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",https://www.texas-drilling.com/operators/aaronmark-services-llc/000891
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
003575,"ACIETEROS, LTD.","Austin, TX 78761",https://www.texas-drilling.com/operators/acieteros-ltd/003575
007820,"ADCO ENERGY, INC.","Seguin, TX 78155",https://www.texas-drilling.com/operators/adco-energy-inc/007820
007863,ADELA OIL,"Seguin, TX 78155",https://www.texas-drilling.com/operators/adela-oil/007863
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
008490,"ADVANTAGEWON OIL, US, CORP.","Batson, TX 77519",https://www.texas-drilling.com/operators/advantagewon-oil-us-corp/008490
008529,AEGEAN OIL CORP.,"Houston, TX 77218",https://www.texas-drilling.com/operators/aegean-oil-corp/008529
008546,AERIE ENERGY,"Cedar Creek, TX 78612",https://www.texas-drilling.com/operators/aerie-energy/008546
008571,AGAPE ENERGY INC.,"San Antonio, TX 78280",https://www.texas-drilling.com/operators/agape-energy-inc/008571
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
009795,ALAMO ENERGY,"San Antonio, TX 78232",https://www.texas-drilling.com/operators/alamo-energy/009795
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
011260,"ALCOR ENERGY, INC.","San Antonio, TX 78239",https://www.texas-drilling.com/operators/alcor-energy-inc/011260
011262,"ALCORN ENERGY, L.L.C.","Woodway, TX 76712",https://www.texas-drilling.com/operators/alcorn-energy-l-l-c/011262
011285,ALCORN PROD CO.,"Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-prod-co/011285
014484,ALLIED RESOURCES TEXAS,"San Antonio, TX 78217",https://www.texas-drilling.com/operators/allied-resources-texas/014484
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/alltex-exploration-inc/015050
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",https://www.texas-drilling.com/operators/ammex-petroleum-inc/020413
020463,AMPAK OIL COMPANY,"Plano, TX 75074",https://www.texas-drilling.com/operators/ampak-oil-company/020463
024444,"ANDREWS & CORKRAN, L.L.C.","Austin, TX 78746",https://www.texas-drilling.com/operators/andrews-corkran-l-l-c/024444
025514,ANICO SIX SIXTY SIX,"San Antonio, TX 78247",https://www.texas-drilling.com/operators/anico-six-sixty-six/025514
027099,"AP TEXAS ENERGY, INC.","Arlington, TX 76001",https://www.texas-drilling.com/operators/ap-texas-energy-inc/027099
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028802,"ARBEN OIL, INC.","Coleman, TX 76834",https://www.texas-drilling.com/operators/arben-oil-inc/028802
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",https://www.texas-drilling.com/operators/argent-energy-us-holdings-inc/029710
029865,"ARGON RESOURCES, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/argon-resources-inc/029865
030574,"ARK-LA-TEX RESOURCES, INC.","Canada, 00100",https://www.texas-drilling.com/operators/ark-la-tex-resources-inc/030574
033181,ARRIOLA OPERATING & CONSLTG INC.,"Dallas, TX 75248",https://www.texas-drilling.com/operators/arriola-operating-consltg-inc/033181
035802,ATC ENERGY LLC,"Luling, TX 78648",https://www.texas-drilling.com/operators/atc-energy-llc/035802
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",https://www.texas-drilling.com/operators/atkinson-clifford-iii/036073
036638,ATTIS OPERATING I INC.,"Seguin, TX 78156",https://www.texas-drilling.com/operators/attis-operating-i-inc/036638
036742,"AUBURN ENTERPRISES, INC.","Kyle, TX 78640",https://www.texas-drilling.com/operators/auburn-enterprises-inc/036742
037047,"AUSTEX MANAGEMENT, INC.","Austin, TX 78718",https://www.texas-drilling.com/operators/austex-management-inc/037047
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",https://www.texas-drilling.com/operators/austin-energy-operations-inc/037103
037320,"AUSTIN, S. F.","Adkins, TX 78101",https://www.texas-drilling.com/operators/austin-s-f/037320
037670,AUSTRA-TEX OIL COMPANY,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/austra-tex-oil-company/037670
037858,AUTRY AND SON OIL CO.,"Buda, TX 78610",https://www.texas-drilling.com/operators/autry-and-son-oil-co/037858
037861,"AUTRY, ALLEN","San Antonio, TX 78266",https://www.texas-drilling.com/operators/autry-allen/037861
037863,"AUTRY, MARTIN","Seguin, TX 78155",https://www.texas-drilling.com/operators/autry-martin/037863
037866,"AUTRY, VAN","San Antonio, TX 78266",https://www.texas-drilling.com/operators/autry-van/037866
038385,AVERILL & SWOPE,"Victoria, TX 77901",https://www.texas-drilling.com/operators/averill-swope/038385
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
039659,AZAR OIL COMPANY,"San Antonio, TX 78218",https://www.texas-drilling.com/operators/azar-oil-company/039659
039663,AZAR-SEAY,"San Antonio, TX 78218",https://www.texas-drilling.com/operators/azar-seay/039663
040734,B & L PRODUCTION CO.,"Dallas, TX 75219",https://www.texas-drilling.com/operators/b-l-production-co/040734
040745,B & M OIL CO.,"Luling, TX 78648",https://www.texas-drilling.com/operators/b-m-oil-co/040745
040710,B J OIL MANAGEMENT,"Luling, TX 78648",https://www.texas-drilling.com/operators/b-j-oil-management/040710
044258,"BAIN PRODUCTION, L.P.","Seguin, TX 78156",https://www.texas-drilling.com/operators/bain-production-l-p/044258
048354,BAM ENERGY INC.,"San Antonio, TX 78216",https://www.texas-drilling.com/operators/bam-energy-inc/048354
100459,"Banks,Flemming,& Conley Production LLC","Luling, TX 78648",https://www.texas-drilling.com/operators/banks-flemming-conley-production-llc/100459
