Lease Number,Lease Name,Operator Name,Lease Link
623073,"1849 ENERGY PARTNERS OPRTNG, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-oprtng-llc/623073
623082,"1849 ENERGY PARTNERS, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-llc/623082
953796,"3 S PRODUCTION, INC.","Cisco, TX 76437",https://www.texas-drilling.com/operators/3-s-production-inc/953796
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/3-r-production-inc/953744
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
753877,"375 ENERGY, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/375-energy-inc/753877
016940,A MELL OIL PROPERTIES,"Boulder, CO 80303",https://www.texas-drilling.com/operators/a-mell-oil-properties/016940
000851,AARDOLIE OIL COMPANY,"Dallas, TX 75370",https://www.texas-drilling.com/operators/aardolie-oil-company/000851
002611,"ABERNATHY AUTO, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/abernathy-auto-inc/002611
003605,ACOMA OIL CORPORATION,"Saint Paul, MN 55102",https://www.texas-drilling.com/operators/acoma-oil-corporation/003605
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
000224,AEC OIL & GAS (USA) INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/aec-oil-gas-usa-inc/000224
008596,"AETERNUM ENERGY, LLC","Nederland, TX 77627",https://www.texas-drilling.com/operators/aeternum-energy-llc/008596
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/aggietech-oil-ltd/008718
009532,"AKERS & FULTZ, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-fultz-inc/009532
011100,"ALBERT, DAVID OIL & GAS","Dallas, TX 75240",https://www.texas-drilling.com/operators/albert-david-oil-gas/011100
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",https://www.texas-drilling.com/operators/allison-hobbs-inc/014573
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",https://www.texas-drilling.com/operators/altex-resources-inc/015728
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/amco-energy-corp/016905
016944,AMEN OIL LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/amen-oil-llc/016944
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",https://www.texas-drilling.com/operators/american-star-energy-min-corp/019510
019739,"AMERICAN WEST RESOURCES, INC","Fort Worth, TX 76161",https://www.texas-drilling.com/operators/american-west-resources-inc/019739
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/americo-oil-company/019762
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",https://www.texas-drilling.com/operators/ammo-energy-llc/020403
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
020602,ANCHO OIL LLC,"Decatur, TX 76234",https://www.texas-drilling.com/operators/ancho-oil-llc/020602
021802,"ANDERSON, E. D.","Cisco, TX 76437",https://www.texas-drilling.com/operators/anderson-e-d/021802
025639,"ANRE GAS SYSTEMS, INC.","Katy, TX 77449",https://www.texas-drilling.com/operators/anre-gas-systems-inc/025639
025927,"ANTERO RESOURCES I, LP","Denver, CO 80202",https://www.texas-drilling.com/operators/antero-resources-i-lp/025927
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/antle-operating-inc/026646
026645,"ANTLE, E.","Graham, TX 76450",https://www.texas-drilling.com/operators/antle-e/026645
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027463,APEX OPERATING & EQUIP. CO.,"Bowie, TX 76230",https://www.texas-drilling.com/operators/apex-operating-equip-co/027463
028626,"AQUATECH SALTWATER DISPOSAL, LLC","Denton, TX 76201",https://www.texas-drilling.com/operators/aquatech-saltwater-disposal-llc/028626
029680,ARGALI RESOURCES,"Dallas, TX 75206",https://www.texas-drilling.com/operators/argali-resources/029680
030128,"ARIES OPERATING, LP","Houston, TX 77042",https://www.texas-drilling.com/operators/aries-operating-lp/030128
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/armor-petroleum-inc/031585
033523,"ARROWHEAD PRODUCTIONS, LP","Fort Worth, TX 76109",https://www.texas-drilling.com/operators/arrowhead-productions-lp/033523
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",https://www.texas-drilling.com/operators/aruba-petroleum-inc/033762
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/aspen-operating-company-l-l-c/035430
035633,ATAPCO,"Houston, TX 77040",https://www.texas-drilling.com/operators/atapco/035633
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/atlas-barnett-llc/036556
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
036600,"ATOKA EXPLORATION, INC.","Dallas, TX 75205",https://www.texas-drilling.com/operators/atoka-exploration-inc/036600
039750,"AZTECA PETROLEUM, LLC","Fort Worth, TX 76106",https://www.texas-drilling.com/operators/azteca-petroleum-llc/039750
040765,"B & N PETROLEUM, INC.","Longview, TX 75606",https://www.texas-drilling.com/operators/b-n-petroleum-inc/040765
014804,"B.O.L.D. OIL AND GAS, LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/b-o-l-d-oil-and-gas-llc/014804
041864,"B.W.O.C., INC.","Plano, TX 75026",https://www.texas-drilling.com/operators/b-w-o-c-inc/041864
