Lease Number,Lease Name,Operator Name,Lease Link
953583,2 S OPERATING,"Iowa Park, TX 76367",https://www.texas-drilling.com/operators/2-s-operating/953583
953614,2 T PRODUCTION,"Bowie, TX 76230",https://www.texas-drilling.com/operators/2-t-production/953614
953667,2-C OPERATING,"Archer City, TX 76351",https://www.texas-drilling.com/operators/2-c-operating/953667
857690,3 & 1 TRUSTS,"Unknown, XX 99999",https://www.texas-drilling.com/operators/3-1-trusts/857690
953713,3 M LAND & CATTLE CO,"Archer City, TX 76351",https://www.texas-drilling.com/operators/3-m-land-cattle-co/953713
953798,"3 TEN RESOURCES, INC.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/3-ten-resources-inc/953798
857497,3-C,"Olney, TX 76374",https://www.texas-drilling.com/operators/3-c/857497
953618,"3-D LAND, OIL & GAS COMPANY","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/3-d-land-oil-gas-company/953618
953711,3-J FARMS,"Olney, TX 76374",https://www.texas-drilling.com/operators/3-j-farms/953711
857685,3-M OIL COMPANY,"Olney, TX 76374",https://www.texas-drilling.com/operators/3-m-oil-company/857685
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/3-r-production-inc/953744
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953793,3D PETROLEUM CORP.,"Norcross, GA 30092",https://www.texas-drilling.com/operators/3d-petroleum-corp/953793
953582,"3HP, INC.","Brownwood, TX 76804",https://www.texas-drilling.com/operators/3hp-inc/953582
953722,4-E OPERATING,"Archer City, TX 76351",https://www.texas-drilling.com/operators/4-e-operating/953722
953724,4-J OIL CO.,"Ryan, OK 73565",https://www.texas-drilling.com/operators/4-j-oil-co/953724
953790,4J OIL CO. LLC,"Ryan, OK 73565",https://www.texas-drilling.com/operators/4j-oil-co-llc/953790
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-g-resources-llc/953465
953792,5-S OPERATING,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-s-operating/953792
953769,6 M OPERATING CO,"Archer City, TX 76351",https://www.texas-drilling.com/operators/6-m-operating-co/953769
000184,A & B MINERALS,"Scotland, TX 76379",https://www.texas-drilling.com/operators/a-b-minerals/000184
000208,A & B PRODUCTION,"Archer City, TX 76351",https://www.texas-drilling.com/operators/a-b-production/000208
000151,A A PRODUCTION INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/a-a-production-inc/000151
000142,A B ENERGY INC.,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/a-b-energy-inc/000142
000193,"A.F.V. ENERGY, INC.","Dallas, TX 75202",https://www.texas-drilling.com/operators/a-f-v-energy-inc/000193
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
000919,ABB DRILLING COMPANY,"Wichita Falls, TX 76310",https://www.texas-drilling.com/operators/abb-drilling-company/000919
000920,"ABB DRILLING COMPANY, INC.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/abb-drilling-company-inc/000920
000921,"ABB OIL CO., INC.","Wichita Falls, TX 76310",https://www.texas-drilling.com/operators/abb-oil-co-inc/000921
003640,ACA OIL CO.,"Graham, TX 76450",https://www.texas-drilling.com/operators/aca-oil-co/003640
003312,"ACADIA OIL, LLC","Wichita Falls, TX 76310",https://www.texas-drilling.com/operators/acadia-oil-llc/003312
003586,ACME OIL CO. OF ARCHER COUNTY,"Archer City, TX 76351",https://www.texas-drilling.com/operators/acme-oil-co-of-archer-county/003586
003750,ADA EXPLORATION,"Olney, TX 76374",https://www.texas-drilling.com/operators/ada-exploration/003750
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",https://www.texas-drilling.com/operators/adair-resources-inc/003966
007858,"ADDAX OPERATING, LLC","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/addax-operating-llc/007858
007868,"ADDISON - GRAVES, L.L.C.","Archer City, TX 76351",https://www.texas-drilling.com/operators/addison-graves-l-l-c/007868
007854,"ADDISON, KENNETH","Archer City, TX 76351",https://www.texas-drilling.com/operators/addison-kenneth/007854
007856,"ADDISON, LEON","Holliday, TX 76366",https://www.texas-drilling.com/operators/addison-leon/007856
008494,ADVANTAGE OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/advantage-oil-company/008494
008572,AG OPERATING COMPANY LLC,"Monsey, NY 10952",https://www.texas-drilling.com/operators/ag-operating-company-llc/008572
009522,"AKEA, INC.","Holliday, TX 76366",https://www.texas-drilling.com/operators/akea-inc/009522
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/akins-oil-company/009583
010069,ALAMO OPERATING CO.,"Alice, TX 78333",https://www.texas-drilling.com/operators/alamo-operating-co/010069
010071,"ALAMO OPERATING CO., INC.","Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/alamo-operating-co-inc/010071
010078,ALAMOSA OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/alamosa-operating-company/010078
011204,ALCO OIL & GAS CO. LLC,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/alco-oil-gas-co-llc/011204
011478,"ALCORN, JERRY D.","Grand Prairie, TX 75050",https://www.texas-drilling.com/operators/alcorn-jerry-d/011478
012374,"ALEXANDER, STANLEY","Electra, TX 76360",https://www.texas-drilling.com/operators/alexander-stanley/012374
014445,ALLIED OIL CO.,"Archer City, TX 76351",https://www.texas-drilling.com/operators/allied-oil-co/014445
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",https://www.texas-drilling.com/operators/allmon-operating-co-inc/014984
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",https://www.texas-drilling.com/operators/alpha-exploration-co/015123
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",https://www.texas-drilling.com/operators/altex-resources-inc/015728
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/amarala-petroleum-inc/016563
016944,AMEN OIL LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/amen-oil-llc/016944
017970,AMERICAN EAGLE OPERATING LLC,"Gainesville, TX 76240",https://www.texas-drilling.com/operators/american-eagle-operating-llc/017970
018027,AMERICAN ENERGY GROUP INC.,"Austin, TX 78701",https://www.texas-drilling.com/operators/american-energy-group-inc/018027
018882,"AMERICAN PATRIOT OIL, LLC","Parker, CO 80134",https://www.texas-drilling.com/operators/american-patriot-oil-llc/018882
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
018909,AMERICAN PETROLEUM CORP.,"Addison, TX 75001",https://www.texas-drilling.com/operators/american-petroleum-corp/018909
019739,"AMERICAN WEST RESOURCES, INC","Fort Worth, TX 76161",https://www.texas-drilling.com/operators/american-west-resources-inc/019739
020105,AMINEX CORPORATION,"Dallas, TX 75214",https://www.texas-drilling.com/operators/aminex-corporation/020105
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
020591,"ANCHOR PETROLEUM, INC.","Lubbock, TX 79464",https://www.texas-drilling.com/operators/anchor-petroleum-inc/020591
022490,ANDERSON OIL & GAS ACCOUNT,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/anderson-oil-gas-account/022490
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/anderson-carl-t/020920
025135,"ANDREWS OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/andrews-operating-inc/025135
024310,"ANDREWS, B. C.","Graham, TX 76450",https://www.texas-drilling.com/operators/andrews-b-c/024310
025285,"ANDREWS, GARY","Megargel, TX 76370",https://www.texas-drilling.com/operators/andrews-gary/025285
025615,ANN G OPERATING CO.,"Electra, TX 76360",https://www.texas-drilling.com/operators/ann-g-operating-co/025615
026646,"ANTLE OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/antle-operating-inc/026646
027237,APACHE PRODUCTION COMPANY,"Holliday, TX 76366",https://www.texas-drilling.com/operators/apache-production-company/027237
027456,APEX ENERGY CORPORATION,"Dallas, TX 75225",https://www.texas-drilling.com/operators/apex-energy-corporation/027456
