Lease Number,Lease Name,Operator Name,Lease Link
055118,BASTROP ENERGY GROUP,"San Antonio, TX 78231",https://www.texas-drilling.com/operators/bastrop-energy-group/055118
093620,"BRITANCO, L.L.C.","Falls City, TX 78113",https://www.texas-drilling.com/operators/britanco-l-l-c/093620
144989,CHAPMAN OIL,"Houston, TX 77002",https://www.texas-drilling.com/operators/chapman-oil/144989
172230,CONOCO INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/conoco-inc/172230
198190,DAMSON OIL CORP.,"Midland, TX 79702",https://www.texas-drilling.com/operators/damson-oil-corp/198190
216738,"DEVON SFS OPERATING, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-sfs-operating-inc/216738
280875,FOUNDATION ENERGY MANAGEMENT LLC,"Addison, TX 75001",https://www.texas-drilling.com/operators/foundation-energy-management-llc/280875
338735,"GULFSTAR PROPERTIES, INC.","San Antonio, TX 78229",https://www.texas-drilling.com/operators/gulfstar-properties-inc/338735
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/gunn-oil-company/339493
467262,KINLAW OIL CORPORATION,"Dallas, TX 75380",https://www.texas-drilling.com/operators/kinlaw-oil-corporation/467262
493050,LEGACY ENERGY SERVICES,"Jourdanton, TX 78026",https://www.texas-drilling.com/operators/legacy-energy-services/493050
518685,MRT EXPLORATION COMPANY,"Saint Louis, MO 63124",https://www.texas-drilling.com/operators/mrt-exploration-company/518685
643402,PATTERSON ENERGY CORPORATION,"Dallas, TX 75205",https://www.texas-drilling.com/operators/patterson-energy-corporation/643402
712840,"RIO PETROLEUM, INC.","Amarillo, TX 79102",https://www.texas-drilling.com/operators/rio-petroleum-inc/712840
731767,"ROXANNA OIL, INC","Houston, TX 77098",https://www.texas-drilling.com/operators/roxanna-oil-inc/731767
802617,"SOUTH GULF ENTERPRISES, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/south-gulf-enterprises-inc/802617
823331,"STOKES, KING","Medina, TX 78055",https://www.texas-drilling.com/operators/stokes-king/823331
843108,"TEPEE PETROLEUM CO., INC.","Houston, TX 77098",https://www.texas-drilling.com/operators/tepee-petroleum-co-inc/843108
895360,"WALTERS, R. E.","Kerrville, TX 78028",https://www.texas-drilling.com/operators/walters-r-e/895360
950870,ZINN PETROLEUM CO.,"Houston, TX 77024",https://www.texas-drilling.com/operators/zinn-petroleum-co/950870
