Lease Number,Lease Name,Operator Name,Lease Link
953637,1988 INDEXGEO JV,"Houston, TX 77002",https://www.texas-drilling.com/operators/1988-indexgeo-jv/953637
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",https://www.texas-drilling.com/operators/2-d-oil-gas-llc/953828
000133,A T M CORPORATION,"Mathis, TX 78368",https://www.texas-drilling.com/operators/a-t-m-corporation/000133
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
002000,"ABERCROMBIE, J.S., MIN. CO.,INC.","Houston, TX 77227",https://www.texas-drilling.com/operators/abercrombie-j-s-min-co-inc/002000
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003600,"ACOCK, RANDOLPH","Corpus Chrsti, TX 78404",https://www.texas-drilling.com/operators/acock-randolph/003600
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
007915,ADJ COMPANY,"San Antonio, TX 78217",https://www.texas-drilling.com/operators/adj-company/007915
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
008511,"ADVANTAGE OIL & GAS, INC.","Pinehurst, TX 77362",https://www.texas-drilling.com/operators/advantage-oil-gas-inc/008511
