Lease Number,Lease Name,Operator Name,Lease Link
953730,12TH MAN OIL & GAS,"Bryan, TX 77806",https://www.texas-drilling.com/operators/12th-man-oil-gas/953730
100327,1859 OPERATING LLC,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/1859-operating-llc/100327
953747,3-G OPERATING COMPANY,"Houston, TX 77244",https://www.texas-drilling.com/operators/3-g-operating-company/953747
953728,3-L DRILLING,"Abilene, TX 79605",https://www.texas-drilling.com/operators/3-l-drilling/953728
396050,"338 OIL & GAS, INC.","Devine, TX 78016",https://www.texas-drilling.com/operators/338-oil-gas-inc/396050
000694,"A&B PIPELINE OF TEXAS, INC.","Houston, TX 77014",https://www.texas-drilling.com/operators/a-b-pipeline-of-texas-inc/000694
000458,"A-G-B, INC.","Houston, TX 77084",https://www.texas-drilling.com/operators/a-g-b-inc/000458
000572,A. N. MAC DIARMID CO.,"San Antonio, TX 78212",https://www.texas-drilling.com/operators/a-n-mac-diarmid-co/000572
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",https://www.texas-drilling.com/operators/aaronmark-services-llc/000891
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003388,"ACCA VENTURES, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/acca-ventures-inc/003388
003583,"ACKERMAN, ALBERT C.","Boerne, TX 78006",https://www.texas-drilling.com/operators/ackerman-albert-c/003583
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
008520,ADVANCED TERTIARY OIL RECVRY INC,"Conroe, TX 77302",https://www.texas-drilling.com/operators/advanced-tertiary-oil-recvry-inc/008520
008525,AELVOET BROTHERS,"Castroville, TX 78009",https://www.texas-drilling.com/operators/aelvoet-brothers/008525
009585,AKM COMPANY,"San Antonio, TX 78229",https://www.texas-drilling.com/operators/akm-company/009585
011205,ALCO OIL COMPANY,"Lytle, TX 78052",https://www.texas-drilling.com/operators/alco-oil-company/011205
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alexander-energy-corporation/012190
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alhanco-energy-corporation/012465
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/american-eagle-resources-inc/017974
018026,AMERICAN ENERGY DEVELOPMENT CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/american-energy-development-co/018026
020106,"AMINEX USA, INC.","Somerset, TX 78069",https://www.texas-drilling.com/operators/aminex-usa-inc/020106
