Lease Number,Lease Name,Operator Name,Lease Link
954998,"7711 CORPORATION, THE","Houston, TX 77002",https://www.texas-drilling.com/operators/7711-corporation-the/954998
953860,"7711 OPERATING COMPANY, LLC","Colleyville, TX 76034",https://www.texas-drilling.com/operators/7711-operating-company-llc/953860
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",https://www.texas-drilling.com/operators/advance-hydrocarbon-corporation/008484
008515,ADVANCED SPECIALITIES OIL CORP.,"Odessa, TX 79760",https://www.texas-drilling.com/operators/advanced-specialities-oil-corp/008515
009534,"AJ'S PUMP TRUCK SERVICE, INC.","Odessa, TX 79760",https://www.texas-drilling.com/operators/aj-s-pump-truck-service-inc/009534
009566,AKG OPERATING COMPANY,"Austin, TX 78701",https://www.texas-drilling.com/operators/akg-operating-company/009566
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
013900,"ALLEN PETROLEUM, INC.","Terrell, TX 75160",https://www.texas-drilling.com/operators/allen-petroleum-inc/013900
013645,"ALLEN, DENNY OPERATING COMPANY","Midland, TX 79701",https://www.texas-drilling.com/operators/allen-denny-operating-company/013645
015090,ALN RESOURCES CORPORATION,"Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/aln-resources-corporation/015090
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
016550,AMALGAMATED BONANZA PETR. LTD.,"Houston, TX 77036",https://www.texas-drilling.com/operators/amalgamated-bonanza-petr-ltd/016550
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018862,AMERICAN NATURAL ENERGY CORP.,"Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/american-natural-energy-corp/018862
019361,AMERICAN ROYALTY,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/american-royalty/019361
019788,AMES OIL CORPORATION OF TEXAS,"Austin, TX 78720",https://www.texas-drilling.com/operators/ames-oil-corporation-of-texas/019788
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",https://www.texas-drilling.com/operators/amoco-production-co-alvin/020445
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
025345,ANDRUS RESOURCES CORPORATION,"Houston, TX 77046",https://www.texas-drilling.com/operators/andrus-resources-corporation/025345
026651,"ANTLER OIL & GAS, INC.","Houston, TX 77004",https://www.texas-drilling.com/operators/antler-oil-gas-inc/026651
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027215,"APACHE EXPLORATION, INC.","Dallas, TX 75379",https://www.texas-drilling.com/operators/apache-exploration-inc/027215
029390,ARCTURUS OPERATING COMPANY,"Addison, TX 75001",https://www.texas-drilling.com/operators/arcturus-operating-company/029390
030801,"ARLEDGE, TERRY","Rockdale, TX 76567",https://www.texas-drilling.com/operators/arledge-terry/030801
033060,"ARPEL, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/arpel-inc/033060
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",https://www.texas-drilling.com/operators/arrow-exploration-company/033189
033907,"ASCHERE OPERATING COMPANY, LLC","Addison, TX 75001",https://www.texas-drilling.com/operators/aschere-operating-company-llc/033907
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",https://www.texas-drilling.com/operators/asm-oil-gas-company-inc/000610
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",https://www.texas-drilling.com/operators/atasca-resources-inc/035643
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",https://www.texas-drilling.com/operators/atkinson-energy-corporation/036103
