Lease Number,Lease Name,Operator Name,Lease Link
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",https://www.texas-drilling.com/operators/barnett-energy-inc/051290
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",https://www.texas-drilling.com/operators/bishop-petroleum-inc/072547
075440,"BLAZER RESOURCES, INC.","Leesburg, TX 75451",https://www.texas-drilling.com/operators/blazer-resources-inc/075440
139832,CAT PRODUCTION,"Gilmer, TX 75645",https://www.texas-drilling.com/operators/cat-production/139832
182074,"COTTONWOOD RESOURCES, INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/cottonwood-resources-inc/182074
191250,"CROW, DAVID","Shreveport, LA 71106",https://www.texas-drilling.com/operators/crow-david/191250
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-production-inc/197690
212300,DELHI GAS PIPELINE CORPORATION,"Palestine, TX 75802",https://www.texas-drilling.com/operators/delhi-gas-pipeline-corporation/212300
216884,DIAMOND DRILLING CO.,"Richardson, TX 75081",https://www.texas-drilling.com/operators/diamond-drilling-co/216884
216980,DIAMOND OPERATING COMPANY,"Gladewater, TX 75647",https://www.texas-drilling.com/operators/diamond-operating-company/216980
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",https://www.texas-drilling.com/operators/eagle-oil-gas-co/238634
251681,ENBRIDGE G & P (EAST TEXAS) L.P.,"Houston, TX 77056",https://www.texas-drilling.com/operators/enbridge-g-p-east-texas-l-p/251681
251620,ENBRIDGE PIPELINES (NE TEXAS) LP,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-texas-lp/251620
251695,ENBRIDGE PIPELINES (NE TX) LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-tx-llc/251695
256481,"EVERETT, JACK T.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/everett-jack-t/256481
258410,"FAIR OIL, LTD.","Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-oil-ltd/258410
259788,"FAIRWAY RESOURCES OPERATING, LLC","Southlake, TX 76092",https://www.texas-drilling.com/operators/fairway-resources-operating-llc/259788
266618,"FGB ENERGY, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/fgb-energy-inc/266618
338095,GULF ENERGY PRODUCING COMPANY,"San Antonio, TX 78216",https://www.texas-drilling.com/operators/gulf-energy-producing-company/338095
338130,GULF OIL CORP.,"Houston, TX 77252",https://www.texas-drilling.com/operators/gulf-oil-corp/338130
338150,GULF OIL CORP.-KILGORE,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/gulf-oil-corp-kilgore/338150
354987,HANOVER ENERGY INC.,"Dallas, TX 75205",https://www.texas-drilling.com/operators/hanover-energy-inc/354987
390100,HINTON PRODUCTION COMPANY,"MT Pleasant, TX 75455",https://www.texas-drilling.com/operators/hinton-production-company/390100
396850,HOME PETROLEUM CORPORATION,"Denver, CO 80202",https://www.texas-drilling.com/operators/home-petroleum-corporation/396850
412145,"HUGHEY, GAYLORD T. SR. OPER. CO.","Tyler, TX 75711",https://www.texas-drilling.com/operators/hughey-gaylord-t-sr-oper-co/412145
433045,JKJ OIL COMPANY,"Austin, TX 78746",https://www.texas-drilling.com/operators/jkj-oil-company/433045
473726,KOCH MIDSTREAM SERVICES COMPANY,"Wichita, KS 67201",https://www.texas-drilling.com/operators/koch-midstream-services-company/473726
478189,"KROG PARTNERS, LLC","Kilgore, TX 75663",https://www.texas-drilling.com/operators/krog-partners-llc/478189
501130,"LINDER, JOHN OPERATING CO., LLC","Gladewater, TX 75647",https://www.texas-drilling.com/operators/linder-john-operating-co-llc/501130
525238,"MAP PRODUCTION CO., INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/map-production-co-inc/525238
525380,MARATHON OIL COMPANY,"Houston, TX 77024",https://www.texas-drilling.com/operators/marathon-oil-company/525380
526480,MARLINE OIL CORP.,"Houston, TX 77002",https://www.texas-drilling.com/operators/marline-oil-corp/526480
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",https://www.texas-drilling.com/operators/merit-energy-company/561136
564710,MIDCOAST G & P (EAST TEXAS) L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/midcoast-g-p-east-texas-l-p/564710
570655,MITCHELL ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/mitchell-energy-corporation/570655
590920,MOSS PETROLEUM COMPANY,"Dallas, TX 75207",https://www.texas-drilling.com/operators/moss-petroleum-company/590920
611686,"NOBLE & CANTRELL EXPL. CO., INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-expl-co-inc/611686
611683,NOBLE & CANTRELL EXPLORATION CO.,"Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-exploration-co/611683
611684,"NOBLE/CANTRELL EXPLOR.CO., INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-explor-co-inc/611684
620480,OIL MANAGEMENT CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/oil-management-corporation/620480
628400,OUIDA OIL,"Rowlett, TX 75030",https://www.texas-drilling.com/operators/ouida-oil/628400
630794,PG&E RESOURCES COMPANY,"Houston, TX 77042",https://www.texas-drilling.com/operators/pg-e-resources-company/630794
677050,PRIDE ENERGY COMPANY,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/pride-energy-company/677050
677757,"PRIME NATURAL RESOURCES, INC.","Houston, TX 77042",https://www.texas-drilling.com/operators/prime-natural-resources-inc/677757
727090,ROOSTH & GENECOV PRODUCTION CO.,"Tyler, TX 75710",https://www.texas-drilling.com/operators/roosth-genecov-production-co/727090
727892,"ROSE CITY RESOURCES, LLC","Tyler, TX 75703",https://www.texas-drilling.com/operators/rose-city-resources-llc/727892
744600,SAMEDAN OIL CORPORATION,"Houston, TX 77067",https://www.texas-drilling.com/operators/samedan-oil-corporation/744600
744776,SAMSON HYDROCARBONS COMPANY,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/samson-hydrocarbons-company/744776
744700,SAMSON LONE STAR LP,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/samson-lone-star-lp/744700
745020,SAMSON RESOURCES COMPANY,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/samson-resources-company/745020
749529,"SAXET OPERATING COMPANY, INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/saxet-operating-company-inc/749529
760218,SCOUT ENERGY MANAGEMENT LLC,"Dallas, TX 75240",https://www.texas-drilling.com/operators/scout-energy-management-llc/760218
761710,"SEAGULL OPERATING CO., INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/seagull-operating-co-inc/761710
777307,SHILOH OPERATING LLC,"Dallas, TX 75367",https://www.texas-drilling.com/operators/shiloh-operating-llc/777307
806415,"SOUTHWEST OPERATING, INC.-TYLER","Tyler, TX 75701",https://www.texas-drilling.com/operators/southwest-operating-inc-tyler/806415
828880,"SULPHUR RIVER EXPLORATION, INC.","Dallas, TX 75244",https://www.texas-drilling.com/operators/sulphur-river-exploration-inc/828880
828924,SULPHUR RIVER GATHERING LP,"Dallas, TX 75225",https://www.texas-drilling.com/operators/sulphur-river-gathering-lp/828924
829430,SUN EXPLORATION & PRODUCTION CO.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/sun-exploration-production-co/829430
841500,TENNECO OIL CO.,"Houston, TX 77205",https://www.texas-drilling.com/operators/tenneco-oil-co/841500
843250,"TERRA RESOURCES, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/terra-resources-inc/843250
844110,TEXACO INC.,"Midland, TX 79702",https://www.texas-drilling.com/operators/texaco-inc/844110
846860,TEXAS OIL & GAS CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/texas-oil-gas-corp/846860
875230,TXO PRODUCTION CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/txo-production-corp/875230
881167,VALENCE OPERATING COMPANY,"Kingwood, TX 77339",https://www.texas-drilling.com/operators/valence-operating-company/881167
908670,WESSELY ENERGY COMPANY,"Houston, TX 77046",https://www.texas-drilling.com/operators/wessely-energy-company/908670
908685,WESSELY ENERGY CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/wessely-energy-corporation/908685
945887,"XB ENERGY SERVICES, INC.","Denver, CO 80202",https://www.texas-drilling.com/operators/xb-energy-services-inc/945887
