Lease Number,Lease Name,Operator Name,Lease Link
953678,"3 W OIL, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/3-w-oil-inc/953678
953729,"3-G OIL & GAS, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/3-g-oil-gas-inc/953729
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
953900,6A PRODUCTION,"Pampa, TX 79066",https://www.texas-drilling.com/operators/6a-production/953900
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",https://www.texas-drilling.com/operators/a-b-well-service-inc/000139
003537,ACE PLUGGING,"Stinnett, TX 79083",https://www.texas-drilling.com/operators/ace-plugging/003537
005920,"ADAMS, K. S. JR.","Houston, TX 77001",https://www.texas-drilling.com/operators/adams-k-s-jr/005920
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/adobe-operating-company/008391
008394,"ADOBE OPERATING, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/adobe-operating-inc/008394
008710,AGGIE OIL,"Pampa, TX 79066",https://www.texas-drilling.com/operators/aggie-oil/008710
012467,ALIBATES OPERATORS,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/alibates-operators/012467
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",https://www.texas-drilling.com/operators/alliance-resources-corporation/014162
015057,ALMAC OIL COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/almac-oil-company/015057
016544,"AMACAN EXPLORATIONS, INC.","Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/amacan-explorations-inc/016544
016548,"AMACAN, LTD.","Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/amacan-ltd/016548
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020512,"AMROSERVICE, INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/amroservice-inc/020512
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/ananda-energy-inc/020573
020588,ANCHOR ENERGY COMPANY,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/anchor-energy-company/020588
028650,APX CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/apx-corporation/028650
028710,ARAPAHOE PROD. CO.,"Borger, TX 79008",https://www.texas-drilling.com/operators/arapahoe-prod-co/028710
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
030804,"ARKOMA, SANDRA","Pampa, TX 79066",https://www.texas-drilling.com/operators/arkoma-sandra/030804
031620,ARMOUR PROPERTIES,"Houston, TX 77056",https://www.texas-drilling.com/operators/armour-properties/031620
033130,ARRINGTON BROTHERS,"Pampa, TX 79066",https://www.texas-drilling.com/operators/arrington-brothers/033130
033147,ARRINGTON PRODUCTION COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/arrington-production-company/033147
033732,ARTEX RESOURCES,"Borger, TX 79008",https://www.texas-drilling.com/operators/artex-resources/033732
035447,"ASPEN PETROLEUM, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/aspen-petroleum-inc/035447
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",https://www.texas-drilling.com/operators/b-b-farm-industries-inc/039780
041155,B & R OIL & GAS,"Borger, TX 79008",https://www.texas-drilling.com/operators/b-r-oil-gas/041155
042130,B & W OIL & GAS,"Borger, TX 79008",https://www.texas-drilling.com/operators/b-w-oil-gas/042130
040708,B-J OPERATING COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/b-j-operating-company/040708
040772,"B.M.L., INC.","Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/b-m-l-inc/040772
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",https://www.texas-drilling.com/operators/bannon-energy-incorporated/048540
049748,BAR L PRODUCERS,"Fritch, TX 79036",https://www.texas-drilling.com/operators/bar-l-producers/049748
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bargo-energy-company/049250
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",https://www.texas-drilling.com/operators/batton-oil-gas-llc/056384
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-iii-llc/040209
061609,BEDSTONE OPERATING CO.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/bedstone-operating-co/061609
065846,BENSON-MCCOWN & COMPANY,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/benson-mccown-company/065846
068426,BEVO PRODUCTION CO.,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/bevo-production-co/068426
068580,BHB OPERATING INC.,"Fort Worth, TX 76137",https://www.texas-drilling.com/operators/bhb-operating-inc/068580
040668,BHI ENERGY CORPORATION,"Houston, TX 77079",https://www.texas-drilling.com/operators/bhi-energy-corporation/040668
069762,BIG OIL,"Borger, TX 79007",https://www.texas-drilling.com/operators/big-oil/069762
072639,BLACK GOLD ENERGY CO.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/black-gold-energy-co/072639
072614,BLACK'S OIL & GAS,"Pampa, TX 79066",https://www.texas-drilling.com/operators/black-s-oil-gas/072614
074001,"BLAIR ENERGY, INC.","Borger, TX 79008",https://www.texas-drilling.com/operators/blair-energy-inc/074001
074167,BLAIR OIL COMPANY,"Borger, TX 79008",https://www.texas-drilling.com/operators/blair-oil-company/074167
077571,"BMX CORPORATION, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/bmx-corporation-inc/077571
078055,"BOB WALLACE OIL,INC.********P-5","Borger, TX 79007",https://www.texas-drilling.com/operators/bob-wallace-oil-inc-p-5/078055
079575,BOJA OIL CO.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/boja-oil-co/079575
083236,BORGER RESOURCES 2 LLC,"Borger, TX 79007",https://www.texas-drilling.com/operators/borger-resources-2-llc/083236
083233,BORGER RESOURCES 3 LLC,"Borger, TX 79007",https://www.texas-drilling.com/operators/borger-resources-3-llc/083233
083237,BORGER RESOURCES 4 LLC,"Borger, TX 79007",https://www.texas-drilling.com/operators/borger-resources-4-llc/083237
083796,BOURLAND & LEVERICH OIL/GAS INC.,"Pampa, TX 79066",https://www.texas-drilling.com/operators/bourland-leverich-oil-gas-inc/083796
088619,"BRANDY OPERATING, LLC","Borger, TX 79008",https://www.texas-drilling.com/operators/brandy-operating-llc/088619
088628,BRANDY PRODUCTION,"Borger, TX 79007",https://www.texas-drilling.com/operators/brandy-production/088628
089887,"BRAVO NATURAL GAS, LLC","Tulsa, OK 74136",https://www.texas-drilling.com/operators/bravo-natural-gas-llc/089887
090880,BRIAN PRODUCTION,"Borger, TX 79007",https://www.texas-drilling.com/operators/brian-production/090880
103450,"BRUCE, W. L.","Pampa, TX 79065",https://www.texas-drilling.com/operators/bruce-w-l/103450
041530,BRW OIL & GAS,"Borger, TX 79008",https://www.texas-drilling.com/operators/brw-oil-gas/041530
104245,BRYAN EXPLORATION COMPANY,"Panhandle, TX 79068",https://www.texas-drilling.com/operators/bryan-exploration-company/104245
104260,"BRYAN, H. E.","Panhandle, TX 79068",https://www.texas-drilling.com/operators/bryan-h-e/104260
110000,BURNETT CORP.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/burnett-corp/110000
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/burnett-oil-co-inc/110016
119962,C & C OIL PRODUCERS,"Borger, TX 79008",https://www.texas-drilling.com/operators/c-c-oil-producers/119962
121930,CABOT CORP.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/cabot-corp/121930
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",https://www.texas-drilling.com/operators/cabot-oil-gas-corporation/121700
125954,CAL-T OIL COMPANY,"Borger, TX 79007",https://www.texas-drilling.com/operators/cal-t-oil-company/125954
125953,"CAL-T OIL COMPANY, INCORPORATED","Borger, TX 79008",https://www.texas-drilling.com/operators/cal-t-oil-company-incorporated/125953
123670,CALDWELL OIL COMPANY,"Pampa, TX 79065",https://www.texas-drilling.com/operators/caldwell-oil-company/123670
123682,CALDWELL PRODUCTION CO. INC.,"Borger, TX 79008",https://www.texas-drilling.com/operators/caldwell-production-co-inc/123682
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",https://www.texas-drilling.com/operators/cambridge-nail/126775
126940,"CAMEO OIL COMPANY, INC.","Skellytown, TX 79080",https://www.texas-drilling.com/operators/cameo-oil-company-inc/126940
130477,"CAPROCK ENGINEERING, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/caprock-engineering-inc/130477
130474,"CAPROCK ENGINEERS, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/caprock-engineers-inc/130474
130534,"CAPULIN OIL & GAS, INC.","Pampa, TX 79065",https://www.texas-drilling.com/operators/capulin-oil-gas-inc/130534
138750,CAR-TEX INC.,"Borger, TX 79008",https://www.texas-drilling.com/operators/car-tex-inc/138750
138744,CARTEX PRODUCTION,"Pampa, TX 79066",https://www.texas-drilling.com/operators/cartex-production/138744
138745,CARTEX PRODUCTION CORP.,"Pampa, TX 79066",https://www.texas-drilling.com/operators/cartex-production-corp/138745
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",https://www.texas-drilling.com/operators/centex-oil-gas-incorporated/141150
142209,"CGSS, INCORPORATED","Pampa, TX 79066",https://www.texas-drilling.com/operators/cgss-incorporated/142209
144183,CHANCE ENERGY CO. INC.,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/chance-energy-co-inc/144183
146320,"CHAR-WILL CORPORATION, INC.","Lewisville, TX 75029",https://www.texas-drilling.com/operators/char-will-corporation-inc/146320
146684,CHASE OILFIELD SERVICE,"Pampa, TX 79066",https://www.texas-drilling.com/operators/chase-oilfield-service/146684
146700,CHASE PRODUCTION COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/chase-production-company/146700
146672,"CHASE, D. E., INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/chase-d-e-inc/146672
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
148285,"CHILDERS, J. C.","Borger, TX 79008",https://www.texas-drilling.com/operators/childers-j-c/148285
154035,CIRCLE W OIL & GAS COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/circle-w-oil-gas-company/154035
154085,CIRRUS EXPLORATION COMPANY,"Prosper, TX 75078",https://www.texas-drilling.com/operators/cirrus-exploration-company/154085
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",https://www.texas-drilling.com/operators/cities-service-company/154255
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",https://www.texas-drilling.com/operators/cities-service-oil-gas-corp/154375
154768,CITY OF WHITE DEER,"White Deer, TX 79097",https://www.texas-drilling.com/operators/city-of-white-deer/154768
159633,CLEAR-WATER OIL COMPANY,"Borger, TX 79007",https://www.texas-drilling.com/operators/clear-water-oil-company/159633
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/coastal-oil-gas-corporation/161639
162775,"COBB, N.A. HEIRS, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/cobb-n-a-heirs-inc/162775
164463,CODY COMPANY,"Amarillo, TX 79121",https://www.texas-drilling.com/operators/cody-company/164463
168340,COLLINGSWORTH OIL COMPANY,"Wellington, TX 79095",https://www.texas-drilling.com/operators/collingsworth-oil-company/168340
172230,CONOCO INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/conoco-inc/172230
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/conocophillips-company/172232
178422,"CORETERRA OPERATING, LLC","Pampa, TX 79065",https://www.texas-drilling.com/operators/coreterra-operating-llc/178422
189451,"CRESCENDO RESOURCES, L.P.","Amarillo, TX 79188",https://www.texas-drilling.com/operators/crescendo-resources-l-p/189451
190940,CROUCH PETROLEUM COMPANY,"Amarillo, TX 79110",https://www.texas-drilling.com/operators/crouch-petroleum-company/190940
194228,"CUMMINGS, C. M. OIL & GAS","Lewisville, TX 75029",https://www.texas-drilling.com/operators/cummings-c-m-oil-gas/194228
196854,D & S OIL CO. #1,"Borger, TX 79007",https://www.texas-drilling.com/operators/d-s-oil-co-1/196854
195885,D. C. W. PRODUCTION,"Borger, TX 79008",https://www.texas-drilling.com/operators/d-c-w-production/195885
196187,"D. J. PRODUCTION, INC.","Amarillo, TX 79159",https://www.texas-drilling.com/operators/d-j-production-inc/196187
237972,D10 ENERGY LLC,"Stinnett, TX 79083",https://www.texas-drilling.com/operators/d10-energy-llc/237972
197405,DAKAR OPERATING COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/dakar-operating-company/197405
197408,"DAKAR OPERATING COMPANY, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/dakar-operating-company-inc/197408
197412,DAKKAR PRODUCTION COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/dakkar-production-company/197412
197641,DALF ENERGY LLC,"Pampa, TX 79066",https://www.texas-drilling.com/operators/dalf-energy-llc/197641
198190,DAMSON OIL CORP.,"Midland, TX 79702",https://www.texas-drilling.com/operators/damson-oil-corp/198190
198300,DANCO OIL & GAS,"White Deer, TX 79097",https://www.texas-drilling.com/operators/danco-oil-gas/198300
198350,"DANDEN PETROLEUM, INC.","Borger, TX 79007",https://www.texas-drilling.com/operators/danden-petroleum-inc/198350
199450,DANIELS ENERGY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/daniels-energy/199450
199500,DANIELS ENERGY COMPANY,"Pampa, TX 79065",https://www.texas-drilling.com/operators/daniels-energy-company/199500
199606,"DANIELS, J.C. ENERGY","Pampa, TX 79066",https://www.texas-drilling.com/operators/daniels-j-c-energy/199606
206070,DAVIS PRESERVATION OIL TRUST,"Denver, CO 80206",https://www.texas-drilling.com/operators/davis-preservation-oil-trust/206070
203505,"DAVIS, D. D. ESTATE OF","Borger, TX 79008",https://www.texas-drilling.com/operators/davis-d-d-estate-of/203505
208009,"DAWKINS ENERGIES, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/dawkins-energies-inc/208009
208003,DAWN OIL & GAS OPERATORS INC.,"Borger, TX 79007",https://www.texas-drilling.com/operators/dawn-oil-gas-operators-inc/208003
208986,"DEATON, GARY L. CORPORATION","Oklahoma City, OK 73105",https://www.texas-drilling.com/operators/deaton-gary-l-corporation/208986
209650,DEEP REEF INDUSTRIES,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/deep-reef-industries/209650
215307,"DEN CAL, INC.","Borger, TX 79007",https://www.texas-drilling.com/operators/den-cal-inc/215307
215810,DENNY INVESTMENTS,"Borger, TX 79008",https://www.texas-drilling.com/operators/denny-investments/215810
216735,DEVON ENERGY CORPORATION(NEVADA),"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-corporation-nevada/216735
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-production-co-l-p/216378
217005,DIAMOND S ENERGY COMPANY,"Fort Worth, TX 76132",https://www.texas-drilling.com/operators/diamond-s-energy-company/217005
223486,DORCHESTER GAS PRODUCING CO,"Houston, TX 77210",https://www.texas-drilling.com/operators/dorchester-gas-producing-co/223486
224804,DOUBLE D PRODUCTION,"Skellytown, TX 79080",https://www.texas-drilling.com/operators/double-d-production/224804
237938,"DYNE OIL & GAS,INC.","Borger, TX 79008",https://www.texas-drilling.com/operators/dyne-oil-gas-inc/237938
250300,EL PASO NATURAL GAS COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/el-paso-natural-gas-company/250300
101740,Elendil Resources LLC,"Pampa, TX 79066",https://www.texas-drilling.com/operators/elendil-resources-llc/101740
251930,ENER-G'S,"Glendora, CA 91740",https://www.texas-drilling.com/operators/ener-g-s/251930
251896,"ENEREX SUPPLY, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/enerex-supply-inc/251896
251890,ENERGON OIL & GAS INC.,"Odessa, TX 79762",https://www.texas-drilling.com/operators/energon-oil-gas-inc/251890
251856,"ENERGON OIL, INC.","Amarillo, TX 79114",https://www.texas-drilling.com/operators/energon-oil-inc/251856
