Lease Number,Lease Name,Operator Name,Lease Link
953900,6A PRODUCTION,"Pampa, TX 79066",https://www.texas-drilling.com/operators/6a-production/953900
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/ananda-energy-inc/020573
049508,BARKER PRODUCTION CO.,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/barker-production-co/049508
049453,"BARKER PRODUCTION CO., LP","San Angelo, TX 76904",https://www.texas-drilling.com/operators/barker-production-co-lp/049453
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-iii-llc/040209
074560,"BLAKEMORE, INC.","Richardson, TX 75080",https://www.texas-drilling.com/operators/blakemore-inc/074560
090650,"BREEDING, JIMMY","Pampa, TX 79065",https://www.texas-drilling.com/operators/breeding-jimmy/090650
130020,"CANYON RESOURCES, INC","Dallas, TX 75230",https://www.texas-drilling.com/operators/canyon-resources-inc/130020
130477,"CAPROCK ENGINEERING, INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/caprock-engineering-inc/130477
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",https://www.texas-drilling.com/operators/cimarex-energy-co-of-colorado/153429
167284,"COLES, OTIS C.","El Paso, TX 79913",https://www.texas-drilling.com/operators/coles-otis-c/167284
168340,COLLINGSWORTH OIL COMPANY,"Wellington, TX 79095",https://www.texas-drilling.com/operators/collingsworth-oil-company/168340
170777,"CONFED OIL & GAS, INC.","Dallas, TX 75219",https://www.texas-drilling.com/operators/confed-oil-gas-inc/170777
189440,CRESCENT ENERGY CORP.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/crescent-energy-corp/189440
195819,"CWF ENERGY, INC.","Dallas, TX 75201",https://www.texas-drilling.com/operators/cwf-energy-inc/195819
195874,"D & B PETROLEUM, INC","Amarillo, TX 79159",https://www.texas-drilling.com/operators/d-b-petroleum-inc/195874
195865,"D.,H., & B. PRODUCTION CO.","Olney, TX 76374",https://www.texas-drilling.com/operators/d-h-b-production-co/195865
200848,DARRAH OIL COMPANY L.L.C.,"Wichita, KS 67201",https://www.texas-drilling.com/operators/darrah-oil-company-l-l-c/200848
202198,"DAVENPORT, VERNON","Shamrock, TX 79079",https://www.texas-drilling.com/operators/davenport-vernon/202198
202200,"DAVENPORT, VERNON PROD. CO.","Dumas, TX 79029",https://www.texas-drilling.com/operators/davenport-vernon-prod-co/202200
220520,DILLEY PRODUCTION CO.,"San Antonio, TX 78216",https://www.texas-drilling.com/operators/dilley-production-co/220520
235708,"DUNNE EQUITIES OPERATING, INC.","Houston, TX 77057",https://www.texas-drilling.com/operators/dunne-equities-operating-inc/235708
235710,"DUNNE EQUITIES, INC.","Wichita, KS 67226",https://www.texas-drilling.com/operators/dunne-equities-inc/235710
250300,EL PASO NATURAL GAS COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/el-paso-natural-gas-company/250300
254440,"ESTACADO ENERGY, INC.","Austin, TX 78716",https://www.texas-drilling.com/operators/estacado-energy-inc/254440
259780,"FAIRWAY LINKS ENERGY, INC.","Tulsa, OK 74114",https://www.texas-drilling.com/operators/fairway-links-energy-inc/259780
263520,"FARREX, INC.","Vernon, TX 76384",https://www.texas-drilling.com/operators/farrex-inc/263520
334200,"GRIMM, JACK F.","Abilene, TX 79604",https://www.texas-drilling.com/operators/grimm-jack-f/334200
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",https://www.texas-drilling.com/operators/gruy-petroleum-management-co/337106
337117,GUADALUPE EXPLORATION CORP.,"Phoenix, AZ 85064",https://www.texas-drilling.com/operators/guadalupe-exploration-corp/337117
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/gunn-oil-company/339493
342764,HAGLER OIL & GAS COMPANY,"Farmington, NM 87499",https://www.texas-drilling.com/operators/hagler-oil-gas-company/342764
363060,"HARVARD PETROLEUM COMPANY, LLC","Roswell, NM 88202",https://www.texas-drilling.com/operators/harvard-petroleum-company-llc/363060
374995,"HEMBREE, A. W. COMPANY","Shawnee, OK 74801",https://www.texas-drilling.com/operators/hembree-a-w-company/374995
387630,"HILL, HUB, INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/hill-hub-inc/387630
404660,"HOUTCHENS, D. D.","Gainesville, TX 76240",https://www.texas-drilling.com/operators/houtchens-d-d/404660
427676,"J-GAR, INC.","Amarillo, TX 79101",https://www.texas-drilling.com/operators/j-gar-inc/427676
427644,"J-GAR, LTD.","Amarillo, TX 79101",https://www.texas-drilling.com/operators/j-gar-ltd/427644
427509,J.B. EXPLORATION,"Cactus, TX 79013",https://www.texas-drilling.com/operators/j-b-exploration/427509
429220,"JACKSON, JERAL W. INC.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/jackson-jeral-w-inc/429220
427883,"JROB, INC.","Shamrock, TX 79079",https://www.texas-drilling.com/operators/jrob-inc/427883
462131,KIMBREL OIL CORPORATION,"Tulsa, OK 74114",https://www.texas-drilling.com/operators/kimbrel-oil-corporation/462131
496335,"LEMON, HULEN H.","Fort Worth, TX 76163",https://www.texas-drilling.com/operators/lemon-hulen-h/496335
501830,LIONHEART ENERGY CORPORATION,"Durango, CO 81301",https://www.texas-drilling.com/operators/lionheart-energy-corporation/501830
536110,MAYFIELD ENGINEERING SERVICE,"Tulsa, OK 74104",https://www.texas-drilling.com/operators/mayfield-engineering-service/536110
547865,MCDONALD PRODUCTION CO.,"Lubbock, TX 79493",https://www.texas-drilling.com/operators/mcdonald-production-co/547865
548192,MCDOWELL RANCH,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/mcdowell-ranch/548192
550665,"MCKENNA OPERATING, INC.","Cedar Creek, TX 78612",https://www.texas-drilling.com/operators/mckenna-operating-inc/550665
561132,MERIDIAN OIL INC.,"Houston, TX 77210",https://www.texas-drilling.com/operators/meridian-oil-inc/561132
561133,MERIDIAN OIL PRODUCTION INC.,"Houston, TX 77210",https://www.texas-drilling.com/operators/meridian-oil-production-inc/561133
585890,MORGAN WELL TRUST T. MCKENNA,"Cedar Creek, TX 78612",https://www.texas-drilling.com/operators/morgan-well-trust-t-mckenna/585890
586560,MORGAS,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/morgas/586560
617042,O'RYAN OIL AND GAS,"Odessa, TX 79768",https://www.texas-drilling.com/operators/o-ryan-oil-and-gas/617042
619608,OIL CREEK PRODUCTION CO. INC.,"Prague, OK 74864",https://www.texas-drilling.com/operators/oil-creek-production-co-inc/619608
637966,"PANHANDLE CONSULTANTS, INC.","Amarillo, TX 79121",https://www.texas-drilling.com/operators/panhandle-consultants-inc/637966
639025,PARALLEL PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/parallel-petroleum-corporation/639025
651150,PENDLETON & VAUGHAN,"Shamrock, TX 79079",https://www.texas-drilling.com/operators/pendleton-vaughan/651150
651880,"PENNINGTON, W. L., INC.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/pennington-w-l-inc/651880
665450,PIKE OIL CO.,"Pampa, TX 79066",https://www.texas-drilling.com/operators/pike-oil-co/665450
101404,"PNG GATHERING, LLC","Wellington, TX 79095",https://www.texas-drilling.com/operators/png-gathering-llc/101404
675765,PRAIRIE ENERGY COMPANY,"Fort Worth, TX 76185",https://www.texas-drilling.com/operators/prairie-energy-company/675765
676042,"PREMIER ENERGY, INC.","Shamrock, TX 79079",https://www.texas-drilling.com/operators/premier-energy-inc/676042
684634,QUESTA ENERGY CORPORATION,"Amarillo, TX 79159",https://www.texas-drilling.com/operators/questa-energy-corporation/684634
