Lease Number,Lease Name,Operator Name,Lease Link
953786,"5H OIL CO., LLC","Dallas, TX 75225",https://www.texas-drilling.com/operators/5h-oil-co-llc/953786
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000254,A.K.C. OPERATING,"Midland, TX 79708",https://www.texas-drilling.com/operators/a-k-c-operating/000254
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/abaco-operating-llc/000894
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",https://www.texas-drilling.com/operators/adena-exploration-inc/007890
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008575,"AGAR & AGAR, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/agar-agar-inc/008575
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/aggietech-oil-ltd/008718
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
009120,"AIKMAN, WILLIAM H.","Midland, TX 79705",https://www.texas-drilling.com/operators/aikman-william-h/009120
000597,"AJAX RESOURCES, LLC","Houston, TX 77046",https://www.texas-drilling.com/operators/ajax-resources-llc/000597
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alhanco-energy-corporation/012465
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alta-energy-corporation/015734
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/amerind-oil-company-ltd/019756
019982,AMIGO PETROLEUM INC.,"Midland, TX 79702",https://www.texas-drilling.com/operators/amigo-petroleum-inc/019982
020215,AMINOIL USA INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/aminoil-usa-inc/020215
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/amplify-energy-operating-llc/020467
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
025687,ANTARES ENERGY COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/antares-energy-company/025687
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027426,APEX MINERALS CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/apex-minerals-co/027426
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",https://www.texas-drilling.com/operators/apv-mccamey-llc/028617
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",https://www.texas-drilling.com/operators/aratex-production-company/028723
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",https://www.texas-drilling.com/operators/arch-oil-gas-llc/029272
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",https://www.texas-drilling.com/operators/arch-petroleum-inc/029270
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/ard-drilling-company-inc/029413
029589,"ARDEN ENERGY PARTNERS, INC.","San Angelo, TX 76906",https://www.texas-drilling.com/operators/arden-energy-partners-inc/029589
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",https://www.texas-drilling.com/operators/argo-petroleum-corporation/029860
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/argonaut-energy-corporation/029870
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/armor-petroleum-inc/031585
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/aspen-exploration-inc/035410
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/atlas-energy-corporation-del/036574
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",https://www.texas-drilling.com/operators/atropos-exploration-company/036618
036741,"ATX OPERATING COMPANY, INC.","Austin, TX 78746",https://www.texas-drilling.com/operators/atx-operating-company-inc/036741
038723,AVRA OIL COMPANY,"Dallas, TX 75248",https://www.texas-drilling.com/operators/avra-oil-company/038723
048175,BANAM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/banam-corporation/048175
049772,"BAR-BELL, INC.","Midland, TX 79708",https://www.texas-drilling.com/operators/bar-bell-inc/049772
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/barrett-brothers-oil-gas-inc/053106
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
054836,"BASS PETROLEUM, INC","Austin, TX 78716",https://www.texas-drilling.com/operators/bass-petroleum-inc/054836
056545,"BAXTER, D. B.","Midland, TX 79701",https://www.texas-drilling.com/operators/baxter-d-b/056545
056550,"BAXTER, D. B. INC.","Midland, TX 79708",https://www.texas-drilling.com/operators/baxter-d-b-inc/056550
