Lease Number,Lease Name,Operator Name,Lease Link
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/agua-libre-midstream-llc/008742
014157,"ALLIANCE OGO, LP","Pleasanton, CA 94588",https://www.texas-drilling.com/operators/alliance-ogo-lp/014157
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
029700,ARGEE OIL COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/argee-oil-company/029700
029870,ARGONAUT ENERGY CORPORATION,"New Orleans, LA 70112",https://www.texas-drilling.com/operators/argonaut-energy-corporation/029870
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
034500,"ASHLAND OIL, INC.","Lexington, KY 40512",https://www.texas-drilling.com/operators/ashland-oil-inc/034500
014804,"B.O.L.D. OIL AND GAS, LLC","Graham, TX 76450",https://www.texas-drilling.com/operators/b-o-l-d-oil-and-gas-llc/014804
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
056555,"BAXTER, KELLY H.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h/056555
068030,BERRY EXPLORATION CORPORATION,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/berry-exploration-corporation/068030
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
072533,BKM PRODUCTION,"Gainesville, TX 76240",https://www.texas-drilling.com/operators/bkm-production/072533
072604,BLACK DOME ENERGY CORPORATION,"Golden, CO 80401",https://www.texas-drilling.com/operators/black-dome-energy-corporation/072604
077629,BOB & TED'S OPERATING,"Lewisville, TX 75067",https://www.texas-drilling.com/operators/bob-ted-s-operating/077629
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",https://www.texas-drilling.com/operators/borderline-operating-corp/082999
083041,"BORDERS, DELBERT L. INC.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/borders-delbert-l-inc/083041
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bridwell-oil-co/092480
105675,"BUCK WHEAT RESOURCES, L.P.","Eastland, TX 76448",https://www.texas-drilling.com/operators/buck-wheat-resources-l-p/105675
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
108788,BURK-GUNN OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/burk-gunn-oil-co/108788
127600,CAMP OIL COMPANY,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/camp-oil-company/127600
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/canan-mowrey-operating-llc/129008
135844,"CARROLL OPERATING, LLC","Abilene, TX 79608",https://www.texas-drilling.com/operators/carroll-operating-llc/135844
120048,"CCV, INC.","Houston, TX 77019",https://www.texas-drilling.com/operators/ccv-inc/120048
141032,CENERGY EXPLORATION COMPANY,"Houston, TX 77068",https://www.texas-drilling.com/operators/cenergy-exploration-company/141032
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",https://www.texas-drilling.com/operators/centex-oil-gas-incorporated/141150
149454,"CHISHOLM OPERATING, INC.","Abilene, TX 79606",https://www.texas-drilling.com/operators/chisholm-operating-inc/149454
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/cholla-petroleum-inc/150683
159500,"CLEAR FORK, INCORPORATED","Abilene, TX 79604",https://www.texas-drilling.com/operators/clear-fork-incorporated/159500
182800,"COVENANT OPERATING, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/covenant-operating-llc/182800
185980,"COX, JOHN L.","Midland, TX 79702",https://www.texas-drilling.com/operators/cox-john-l/185980
188555,"CREED OPERATING CO., LLC","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/creed-operating-co-llc/188555
188584,CREGO EXPLORATION,"Dallas, TX 75243",https://www.texas-drilling.com/operators/crego-exploration/188584
189904,CRESTON PETROLEUM CORP.,"Dallas, TX 75380",https://www.texas-drilling.com/operators/creston-petroleum-corp/189904
195806,"CYPRESS PRODUCTION, INC.","Azle, TX 76020",https://www.texas-drilling.com/operators/cypress-production-inc/195806
196805,D. & H. SERVICES INC.,"Goldsmith, TX 79741",https://www.texas-drilling.com/operators/d-h-services-inc/196805
195925,"D. W. R. OIL CO., INC.","Merkel, TX 79536",https://www.texas-drilling.com/operators/d-w-r-oil-co-inc/195925
196279,"D.J.F. SERVICES, INC.","Holdenville, OK 74848",https://www.texas-drilling.com/operators/d-j-f-services-inc/196279
208872,"DEAN ENERGY, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/dean-energy-inc/208872
213275,"DELRAY OIL, INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/delray-oil-inc/213275
213565,"DELTA-GULF, INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/delta-gulf-inc/213565
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",https://www.texas-drilling.com/operators/dominion-oklahoma-texas-e-p-inc/222282
227845,"DRACO ENERGY, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/draco-energy-inc/227845
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/dreyfus-louis-natural-gas-corp/228125
235895,"DURANGO OPERATING CO., INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/durango-operating-co-inc/235895
238558,E.G. OPERATING,"Dallas, TX 75206",https://www.texas-drilling.com/operators/e-g-operating/238558
239171,EASTERN ENERGY CORPORATION,"Bowling Green, KY 42104",https://www.texas-drilling.com/operators/eastern-energy-corporation/239171
251998,"ENERGY RESOURCE & DEVELOP., CORP","Rockwall, TX 75087",https://www.texas-drilling.com/operators/energy-resource-develop-corp/251998
256931,"EXCO RESOURCES, INC.","Dallas, TX 75251",https://www.texas-drilling.com/operators/exco-resources-inc/256931
257697,"FAGAN-O'CONNOR, INC.","Refugio, TX 78377",https://www.texas-drilling.com/operators/fagan-o-connor-inc/257697
266310,"FERGUSON OIL & GAS CO., INC.","Edmond, OK 73013",https://www.texas-drilling.com/operators/ferguson-oil-gas-co-inc/266310
270635,"FISHER-WEBB, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/fisher-webb-inc/270635
307243,GINNINGS COMPANY,"Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/ginnings-company/307243
311412,GMW CORP.,"Midland, TX 79701",https://www.texas-drilling.com/operators/gmw-corp/311412
328780,GREAT WESTERN DRILLING COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/great-western-drilling-company/328780
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/gunn-oil-company/339493
341468,"H-M RESOURCE MANAGEMENT, INC.","Houston, TX 77055",https://www.texas-drilling.com/operators/h-m-resource-management-inc/341468
347191,HALLIBURTON OPERATING COMPANY,"Plano, TX 75093",https://www.texas-drilling.com/operators/halliburton-operating-company/347191
376810,"HENDERSON & ERICKSON, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/henderson-erickson-inc/376810
378835,"HENSON EXPLORATION, L.P.","Abilene, TX 79608",https://www.texas-drilling.com/operators/henson-exploration-l-p/378835
379910,"HERNDON, H. W. JR.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/herndon-h-w-jr/379910
381860,"HESTER, B. M.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/hester-b-m/381860
