Lease Number,Lease Name,Operator Name,Lease Link
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
028734,"ARCADIA OPERATING, LLC","Dallas, TX 75219",https://www.texas-drilling.com/operators/arcadia-operating-llc/028734
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",https://www.texas-drilling.com/operators/arcadia-refining-co/028730
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/barrow-shaver-resources-co/053321
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
057935,"BAY-TECH OPERATING CO., INC.","Tyler, TX 75713",https://www.texas-drilling.com/operators/bay-tech-operating-co-inc/057935
070500,BIG STATE OIL & GAS CO.,"Lubbock, TX 79412",https://www.texas-drilling.com/operators/big-state-oil-gas-co/070500
088045,"BRADSHAW, RAY E.","Tyler, TX 75713",https://www.texas-drilling.com/operators/bradshaw-ray-e/088045
121085,"C. W. RESOURCES, INC.","Longview, TX 75604",https://www.texas-drilling.com/operators/c-w-resources-inc/121085
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/cabot-petroleum-corporation/121932
122419,"CADDO ENERGY CO., INC.","Bastrop, TX 78602",https://www.texas-drilling.com/operators/caddo-energy-co-inc/122419
128995,"CANDLEWOOD EXPLORATION, INC.","Holly LK RNCH, TX 75765",https://www.texas-drilling.com/operators/candlewood-exploration-inc/128995
138830,"CARUTHERS PRODUCING CO., INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/caruthers-producing-co-inc/138830
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-u-s-a-inc/148113
158780,"CLAY, A. CARROLL","Tyler, TX 75710",https://www.texas-drilling.com/operators/clay-a-carroll/158780
168930,COLORADO BLUEBONNET ENERGY CORP.,"Englewood, CO 80112",https://www.texas-drilling.com/operators/colorado-bluebonnet-energy-corp/168930
183232,COX & COX PRODUCTION CO.,"Donna, TX 78537",https://www.texas-drilling.com/operators/cox-cox-production-co/183232
191250,"CROW, DAVID","Shreveport, LA 71106",https://www.texas-drilling.com/operators/crow-david/191250
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-production-inc/197690
198190,DAMSON OIL CORP.,"Midland, TX 79702",https://www.texas-drilling.com/operators/damson-oil-corp/198190
212300,DELHI GAS PIPELINE CORPORATION,"Palestine, TX 75802",https://www.texas-drilling.com/operators/delhi-gas-pipeline-corporation/212300
220889,"DIVERSIFIED O&G PROD. CO., INC.","Houston, TX 77257",https://www.texas-drilling.com/operators/diversified-o-g-prod-co-inc/220889
237948,"DYNEGY MIDSTREAM SERVICES, LP","Houston, TX 77002",https://www.texas-drilling.com/operators/dynegy-midstream-services-lp/237948
238626,"E. T. S. ENTERPRISES, INC.","Amarillo, TX 79105",https://www.texas-drilling.com/operators/e-t-s-enterprises-inc/238626
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",https://www.texas-drilling.com/operators/eagle-oil-gas-co/238634
238981,EAST TEXAS PRODUCTION MGT. INC,"Athens, TX 75751",https://www.texas-drilling.com/operators/east-texas-production-mgt-inc/238981
243218,"EDGE, ROBERT L.","Tyler, TX 75710",https://www.texas-drilling.com/operators/edge-robert-l/243218
243650,EDS ENERGY DEVELOPMENT SERV INC.,"Dallas, TX 75202",https://www.texas-drilling.com/operators/eds-energy-development-serv-inc/243650
251681,ENBRIDGE G & P (EAST TEXAS) L.P.,"Houston, TX 77056",https://www.texas-drilling.com/operators/enbridge-g-p-east-texas-l-p/251681
251620,ENBRIDGE PIPELINES (NE TEXAS) LP,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-texas-lp/251620
251695,ENBRIDGE PIPELINES (NE TX) LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-tx-llc/251695
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",https://www.texas-drilling.com/operators/enserch-exploration-inc/253210
254585,"ESTES OPERATING, INC.","San Antonio, TX 78210",https://www.texas-drilling.com/operators/estes-operating-inc/254585
256947,"EXECUTIVE PRODUCTION, INC.","Tyler, TX 75713",https://www.texas-drilling.com/operators/executive-production-inc/256947
257104,"EXXON CO., U.S.A.","Houston, TX 77252",https://www.texas-drilling.com/operators/exxon-co-u-s-a/257104
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",https://www.texas-drilling.com/operators/exxon-mobil-corporation/257128
258410,"FAIR OIL, LTD.","Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-oil-ltd/258410
259788,"FAIRWAY RESOURCES OPERATING, LLC","Southlake, TX 76092",https://www.texas-drilling.com/operators/fairway-resources-operating-llc/259788
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",https://www.texas-drilling.com/operators/fina-oil-chemical-company/268321
274921,FLYNN ENERGY CORP.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/flynn-energy-corp/274921
281294,"FOX & HOLLAND, LTD.","Tyler, TX 75702",https://www.texas-drilling.com/operators/fox-holland-ltd/281294
302450,GETTY OIL CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/getty-oil-co/302450
302760,GIBSON DRLG. CO.,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/gibson-drlg-co/302760
325800,"GRAVES, FRANK D.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/graves-frank-d/325800
337165,GUERIN PRODUCTION,"Tyler, TX 75710",https://www.texas-drilling.com/operators/guerin-production/337165
338748,GULFTEX OPERATING INC,"Plano, TX 75093",https://www.texas-drilling.com/operators/gulftex-operating-inc/338748
345977,"HALL, BROOKS OIL CORP.","Oklahoma City, OK 73118",https://www.texas-drilling.com/operators/hall-brooks-oil-corp/345977
357165,HARLETON OIL & GAS INC.,"Tyler, TX 75710",https://www.texas-drilling.com/operators/harleton-oil-gas-inc/357165
387986,HILL PRODUCTION CO.-WISCONSIN,"Austin, TX 78714",https://www.texas-drilling.com/operators/hill-production-co-wisconsin/387986
390100,HINTON PRODUCTION COMPANY,"MT Pleasant, TX 75455",https://www.texas-drilling.com/operators/hinton-production-company/390100
399641,"HOPKINS, T. M. OPERATING CO.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/hopkins-t-m-operating-co/399641
411736,"HUGHES, DAN A. COMPANY, L.P.","Beeville, TX 78104",https://www.texas-drilling.com/operators/hughes-dan-a-company-l-p/411736
427715,J.L.M PROPERTIES & CO,"McAllen, TX 78501",https://www.texas-drilling.com/operators/j-l-m-properties-co/427715
427858,"J.P. OIL COMPANY, INC.","Lafayette, LA 70505",https://www.texas-drilling.com/operators/j-p-oil-company-inc/427858
448105,JUNA OPERATING CO.,"Corsicana, TX 75151",https://www.texas-drilling.com/operators/juna-operating-co/448105
448265,JV & JV OIL COMPANY,"Talco, TX 75487",https://www.texas-drilling.com/operators/jv-jv-oil-company/448265
448903,"K.M.A. OPERATING, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/k-m-a-operating-inc/448903
450450,KALOS CORPORATION,"Tyler, TX 75701",https://www.texas-drilling.com/operators/kalos-corporation/450450
452709,"KCS RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/kcs-resources-inc/452709
457780,KERR-MCGEE CORPORATION,"Dallas, TX 75380",https://www.texas-drilling.com/operators/kerr-mcgee-corporation/457780
473726,KOCH MIDSTREAM SERVICES COMPANY,"Wichita, KS 67201",https://www.texas-drilling.com/operators/koch-midstream-services-company/473726
495690,"LEHNERTZ, G. M.","Tyler, TX 75702",https://www.texas-drilling.com/operators/lehnertz-g-m/495690
495689,"LEHNERTZ-FAULKNER, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/lehnertz-faulkner-inc/495689
504658,LOCH & TRACY ENGINEERING CO,"Gainesville, TX 76240",https://www.texas-drilling.com/operators/loch-tracy-engineering-co/504658
525238,"MAP PRODUCTION CO., INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/map-production-co-inc/525238
525380,MARATHON OIL COMPANY,"Houston, TX 77024",https://www.texas-drilling.com/operators/marathon-oil-company/525380
535720,"MAY PETROLEUM, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/may-petroleum-inc/535720
561133,MERIDIAN OIL PRODUCTION INC.,"Houston, TX 77210",https://www.texas-drilling.com/operators/meridian-oil-production-inc/561133
563344,MGR RESOURCES,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/mgr-resources/563344
564710,MIDCOAST G & P (EAST TEXAS) L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/midcoast-g-p-east-texas-l-p/564710
572489,"MOBIL EXPLORATION COMPANY, INC.","Houston, TX 77046",https://www.texas-drilling.com/operators/mobil-exploration-company-inc/572489
572500,MOBIL OIL CORPORATION,"Houston, TX 77210",https://www.texas-drilling.com/operators/mobil-oil-corporation/572500
572550,MOBIL PRODUCING TX. & N.M. INC.,"Spring, TX 77389",https://www.texas-drilling.com/operators/mobil-producing-tx-n-m-inc/572550
574995,"MONCRIEF, W. A.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/moncrief-w-a/574995
575000,"MONCRIEF, W. A., JR.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/moncrief-w-a-jr/575000
594650,MURPHY EXPLORATION & PROD. CO.,"Houston, TX 77094",https://www.texas-drilling.com/operators/murphy-exploration-prod-co/594650
595011,"MURPHY OIL USA, INC.","New Orleans, LA 70161",https://www.texas-drilling.com/operators/murphy-oil-usa-inc/595011
606055,"NEW CENTURY EXPLORATION, INC.","Spring, TX 77379",https://www.texas-drilling.com/operators/new-century-exploration-inc/606055
610660,NICKLOS OIL & GAS COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/nicklos-oil-gas-company/610660
611683,NOBLE & CANTRELL EXPLORATION CO.,"Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-exploration-co/611683
611684,"NOBLE/CANTRELL EXPLOR.CO., INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-explor-co-inc/611684
625550,"ORBIT OIL & GAS, INC.","Tyler, TX 75711",https://www.texas-drilling.com/operators/orbit-oil-gas-inc/625550
628207,"OTO, CO.","Woodward, OK 73802",https://www.texas-drilling.com/operators/oto-co/628207
636222,PALMER PETROLEUM INC.,"Shreveport, LA 71105",https://www.texas-drilling.com/operators/palmer-petroleum-inc/636222
638850,PAR MINERALS CORPORATION,"Shreveport, LA 71101",https://www.texas-drilling.com/operators/par-minerals-corporation/638850
660944,"PETRUS OIL COMPANY, L.P.","Dallas, TX 75251",https://www.texas-drilling.com/operators/petrus-oil-company-l-p/660944
664420,"PICKENS COMPANY, INC., THE","Dallas, TX 75225",https://www.texas-drilling.com/operators/pickens-company-inc-the/664420
674217,"POWELL, A. BRANDT","Coleman, TX 76834",https://www.texas-drilling.com/operators/powell-a-brandt/674217
675988,"PRAYER OIL & GAS PRODUCTION, LLC","Hallsville, TX 75650",https://www.texas-drilling.com/operators/prayer-oil-gas-production-llc/675988
675995,"PRECISE DEVELOPMENT, INC.","Austin, TX 78709",https://www.texas-drilling.com/operators/precise-development-inc/675995
693645,"RANSONE, ROBERT, INC.","Dallas, TX 75251",https://www.texas-drilling.com/operators/ransone-robert-inc/693645
704779,RGP PRODUCTION,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/rgp-production/704779
730425,"ROWAN, AL","Van, TX 75790",https://www.texas-drilling.com/operators/rowan-al/730425
