Lease Number,Lease Name,Operator Name,Lease Link
623407,1836 ENERGY LLC,"El Campo, TX 77437",https://www.texas-drilling.com/operators/1836-energy-llc/623407
953733,3 WAY OPERATING COMPANY,"Midland, TX 79702",https://www.texas-drilling.com/operators/3-way-operating-company/953733
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
003964,"ADAGEO ENERGY GROUP, LLC","Austin, TX 78746",https://www.texas-drilling.com/operators/adageo-energy-group-llc/003964
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
008483,"ADVENTURE OPERATING COMPANY, LLC","Midland, TX 79702",https://www.texas-drilling.com/operators/adventure-operating-company-llc/008483
008498,"AEG OPERATING, LLC","Austin, TX 78746",https://www.texas-drilling.com/operators/aeg-operating-llc/008498
008575,"AGAR & AGAR, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/agar-agar-inc/008575
008716,"AGHORN OPERATING, INC.","Odessa, TX 79768",https://www.texas-drilling.com/operators/aghorn-operating-inc/008716
000597,"AJAX RESOURCES, LLC","Houston, TX 77046",https://www.texas-drilling.com/operators/ajax-resources-llc/000597
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-operating-lp/011445
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018038,"AMERICAN GAS STORAGE, L.P.","Lakewood, CO 80228",https://www.texas-drilling.com/operators/american-gas-storage-l-p/018038
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
019510,AMERICAN STAR ENERGY & MIN. CORP,"Katy, TX 77449",https://www.texas-drilling.com/operators/american-star-energy-min-corp/019510
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/amerind-oil-company-ltd/019756
