Lease Number,Lease Name,Operator Name,Lease Link
953747,3-G OPERATING COMPANY,"Houston, TX 77244",https://www.texas-drilling.com/operators/3-g-operating-company/953747
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
000457,"A-N-A OPERATING COMPANY, INC.","Houston, TX 77061",https://www.texas-drilling.com/operators/a-n-a-operating-company-inc/000457
000190,"A.E.N. ENERGY, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/a-e-n-energy-inc/000190
000820,"AA DELTA EXPLORATION, INC.","Houston, TX 77077",https://www.texas-drilling.com/operators/aa-delta-exploration-inc/000820
003400,ACCO OIL & GAS COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/acco-oil-gas-company/003400
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/ace-field-services-inc/003526
003568,"ACIERTO RESOURCES COMPANY, LLC","Houston, TX 77070",https://www.texas-drilling.com/operators/acierto-resources-company-llc/003568
008900,AIKINS-OWENS,"Wichita, KS 67278",https://www.texas-drilling.com/operators/aikins-owens/008900
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
012300,"ALEXANDER, JOHN","Pearland, TX 77588",https://www.texas-drilling.com/operators/alexander-john/012300
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",https://www.texas-drilling.com/operators/all-american-operating/013237
101794,ALL AMERICAN OPS LLC,"Conroe, TX 77384",https://www.texas-drilling.com/operators/all-american-ops-llc/101794
013898,"ALLEN OPERATING COMPANY, THE","Houston, TX 77287",https://www.texas-drilling.com/operators/allen-operating-company-the/013898
014464,ALLIED OPERATING COMPANY,"Houston, TX 77006",https://www.texas-drilling.com/operators/allied-operating-company/014464
014475,ALLIED PRODUCTION CORP.,"Houston, TX 77063",https://www.texas-drilling.com/operators/allied-production-corp/014475
014481,"ALLIED-GULF ENERGY, LLC","Lafayette, LA 70508",https://www.texas-drilling.com/operators/allied-gulf-energy-llc/014481
015749,"ALTON LAMP MFG. CO., INC.","Humble, TX 77347",https://www.texas-drilling.com/operators/alton-lamp-mfg-co-inc/015749
016870,"AMAZON ROYALTIES, INC.","Fulshear, TX 77441",https://www.texas-drilling.com/operators/amazon-royalties-inc/016870
016886,AMBRIT ENERGY CORP.,"Garland, TX 75044",https://www.texas-drilling.com/operators/ambrit-energy-corp/016886
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/amcole-energy-corp/016917
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",https://www.texas-drilling.com/operators/amend-energy-company/016945
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/american-crude-inc/018010
018044,"AMERICAN ENERGY OP. CORP.,THE","Houston, TX 77099",https://www.texas-drilling.com/operators/american-energy-op-corp-the/018044
018041,"AMERICAN ENERGY SOURCES, INC.","Spring, TX 77388",https://www.texas-drilling.com/operators/american-energy-sources-inc/018041
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018060,AMERICAN HUNTER EXPLORATION LTD.,"Canada, 00100",https://www.texas-drilling.com/operators/american-hunter-exploration-ltd/018060
018857,AMERICAN NAT. GAS PROD. CO.,"Houston, TX 77056",https://www.texas-drilling.com/operators/american-nat-gas-prod-co/018857
018883,AMERICAN PATRIOT OPERATING CORP.,"Highland, IL 62249",https://www.texas-drilling.com/operators/american-patriot-operating-corp/018883
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",https://www.texas-drilling.com/operators/americo-energy-resources-llc/019752
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
022548,"ANDERSON PETRO-EQUIPMENT, INC.","Montgomery, TX 77356",https://www.texas-drilling.com/operators/anderson-petro-equipment-inc/022548
022600,"ANDERSON PRODUCING, INC.","Houston, TX 77057",https://www.texas-drilling.com/operators/anderson-producing-inc/022600
022995,"ANDERSON,T.G. & BOWMAN,E.L.","Houston, TX 77079",https://www.texas-drilling.com/operators/anderson-t-g-bowman-e-l/022995
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/andress-petroleum-inc/024124
025619,"ANLOC, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/anloc-llc/025619
025642,ANSCHUTZ EXPLORATION CORPORATION,"Denver, CO 80202",https://www.texas-drilling.com/operators/anschutz-exploration-corporation/025642
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027226,"APACHE EXPLORATION, INC. (I)","Houston, TX 77075",https://www.texas-drilling.com/operators/apache-exploration-inc-i/027226
028639,APT ENERGY CO.,"Humble, TX 77396",https://www.texas-drilling.com/operators/apt-energy-co/028639
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
030124,ARIES ENERGY CO.,"Humble, TX 77347",https://www.texas-drilling.com/operators/aries-energy-co/030124
030300,"ARISTA NOVELTY, INC.","Houston, TX 77256",https://www.texas-drilling.com/operators/arista-novelty-inc/030300
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
032940,"ARNOLD, JERRY W.","Humble, TX 77338",https://www.texas-drilling.com/operators/arnold-jerry-w/032940
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",https://www.texas-drilling.com/operators/ashford-oil-gas-company/034380
035446,ASPEN EXPLORATION CORPORATION,"Denver, CO 80237",https://www.texas-drilling.com/operators/aspen-exploration-corporation/035446
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/aspen-operating-company-l-l-c/035430
035642,ATASCOCITA OIL CORPORATION,"Houston, TX 77055",https://www.texas-drilling.com/operators/atascocita-oil-corporation/035642
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",https://www.texas-drilling.com/operators/atropos-exploration-company/036618
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
040403,B & G ENERGY CORPORATION,"Dallas, TX 75214",https://www.texas-drilling.com/operators/b-g-energy-corporation/040403
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",https://www.texas-drilling.com/operators/b-m-operating-co-inc/040753
043800,"BAILEY PETROLEUM, INC.","League City, TX 77573",https://www.texas-drilling.com/operators/bailey-petroleum-inc/043800
044256,"BAILEYS ENERGY, LLC","San Juan Capo, CA 92675",https://www.texas-drilling.com/operators/baileys-energy-llc/044256
044343,BAKER ATLAS,"Houston, TX 77079",https://www.texas-drilling.com/operators/baker-atlas/044343
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/ballard-exploration-company-inc/048169
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bargo-energy-company/049250
052210,BARNHART CO.,"Houston, TX 77056",https://www.texas-drilling.com/operators/barnhart-co/052210
058894,"BB & L, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/bb-l-llc/058894
058893,"BC OPERATING, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bc-operating-inc/058893
064096,BENCHMARK OIL & GAS CO.,"Houston, TX 77282",https://www.texas-drilling.com/operators/benchmark-oil-gas-co/064096
064101,BENCHMARK OIL & GAS COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/benchmark-oil-gas-company/064101
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",https://www.texas-drilling.com/operators/bexco-operating-inc/068468
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",https://www.texas-drilling.com/operators/bhp-petroleum-americas-inc/068610
068630,BHP PETROLEUM COMPANY INC.,"Houston, TX 77057",https://www.texas-drilling.com/operators/bhp-petroleum-company-inc/068630
071335,"BINTLIFF, DAVID C.","Houston, TX 77002",https://www.texas-drilling.com/operators/bintliff-david-c/071335
072641,BLACK GOLD OIL CO.,"Humble, TX 77338",https://www.texas-drilling.com/operators/black-gold-oil-co/072641
075677,BLEDSOE PETRO CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/bledsoe-petro-corporation/075677
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",https://www.texas-drilling.com/operators/bluegrass-energy-inc/076848
078010,BOCK & BACON,"Houston, TX 77098",https://www.texas-drilling.com/operators/bock-bacon/078010
081566,"BOMCO USA, INC.","Sugar Land, TX 77496",https://www.texas-drilling.com/operators/bomco-usa-inc/081566
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",https://www.texas-drilling.com/operators/braman-d-h-jr/088577
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
088625,BRANDES ENERGY,"Sealy, TX 77474",https://www.texas-drilling.com/operators/brandes-energy/088625
088621,"BRANDES PETROLEUM, B.P.C.,INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/brandes-petroleum-b-p-c-inc/088621
089801,"BRAVE HEART RESOURCES, INC.","Pearland, TX 77581",https://www.texas-drilling.com/operators/brave-heart-resources-inc/089801
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/breck-operating-corp/089974
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
090765,BRENHAM DRILLING CO.,"Brenham, TX 77833",https://www.texas-drilling.com/operators/brenham-drilling-co/090765
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",https://www.texas-drilling.com/operators/bridge-oil-company-l-p/091093
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/bridge-oil-production-co-inc/091085
096670,BRONCO ENERGY,"Opelousas, LA 70570",https://www.texas-drilling.com/operators/bronco-energy/096670
099980,"BROWN, GEORGE R. PARTNERSHIP,THE","Houston, TX 77002",https://www.texas-drilling.com/operators/brown-george-r-partnership-the/099980
100525,"BROWN, J. K. INC.","Denver, CO 80202",https://www.texas-drilling.com/operators/brown-j-k-inc/100525
104231,BRUTE ENERGY CORPORATION,"Pasadena, TX 77501",https://www.texas-drilling.com/operators/brute-energy-corporation/104231
