Lease Number,Lease Name,Operator Name,Lease Link
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
811997,806 OPERATING LLC,"Canadian, TX 79014",https://www.texas-drilling.com/operators/806-operating-llc/811997
003100,"ABRAHAM, MALOUF COMPANY, INC.","Canadian, TX 79014",https://www.texas-drilling.com/operators/abraham-malouf-company-inc/003100
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/abraham-malouf-inc/003110
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
009101,"AIKMAN BROTHERS, LLC","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-brothers-llc/009101
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
009120,"AIKMAN, WILLIAM H.","Midland, TX 79705",https://www.texas-drilling.com/operators/aikman-william-h/009120
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-operating-lp/011445
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alexander-energy-corporation/012190
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",https://www.texas-drilling.com/operators/amarillo-exploration-inc/016802
016849,AMARILLO PRODUCTION COMPANY,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/amarillo-production-company/016849
016930,"AMEDAN RESOURCES, INC.","Chickasha, OK 73023",https://www.texas-drilling.com/operators/amedan-resources-inc/016930
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
025645,AN-SON CORPORATION,"Nichols Hill, OK 73116",https://www.texas-drilling.com/operators/an-son-corporation/025645
020549,"ANA-TOK OPERATING CO., INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/ana-tok-operating-co-inc/020549
020545,"ANADARKO MINERALS, INC.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/anadarko-minerals-inc/020545
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/ananda-energy-inc/020573
020787,ANDERMAN/SMITH OPERATING COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/anderman-smith-operating-company/020787
025678,ANSON COMPANY,"Oklahoma City, OK 73124",https://www.texas-drilling.com/operators/anson-company/025678
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
027465,"APEXCO, INC.*****","Tulsa, OK 74103",https://www.texas-drilling.com/operators/apexco-inc/027465
028668,AQUILA ENERGY RESOURCES CORP.,"Houston, TX 77042",https://www.texas-drilling.com/operators/aquila-energy-resources-corp/028668
