Lease Number,Lease Name,Operator Name,Lease Link
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",https://www.texas-drilling.com/operators/9k-investments-llc/988752
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
015133,ALPHA PETROLEUM CORP.,"Dallas, TX 75379",https://www.texas-drilling.com/operators/alpha-petroleum-corp/015133
033055,"ARP BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/arp-barnett-llc/033055
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-oil-gas-operating-llc/033149
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-david-h-oil-gas-inc/033148
033500,ARROWHEAD ENERGY CO.,"Fort Worth, TX 76185",https://www.texas-drilling.com/operators/arrowhead-energy-co/033500
033762,"ARUBA PETROLEUM, INC.","Dallas, TX 75379",https://www.texas-drilling.com/operators/aruba-petroleum-inc/033762
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-energy-llc/035453
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/atlas-barnett-llc/036556
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ausanka-oil-operations/036930
048379,BANDERA EXPLORATION COMPANY,"Dallas, TX 75225",https://www.texas-drilling.com/operators/bandera-exploration-company/048379
051292,"BARNETT ENVIRO MGMT SVCS, LLC","Bedford, TX 76095",https://www.texas-drilling.com/operators/barnett-enviro-mgmt-svcs-llc/051292
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/barnett-shale-operating-llc/050861
052965,"BARON CO., THE","Houston, TX 77027",https://www.texas-drilling.com/operators/baron-co-the/052965
