Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-resources-corporation/008398
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
010450,"ALARON ENERGY, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/alaron-energy-inc/010450
012369,ALEXANDER-LOOP OIL PROP. INC.,"Tulsa, OK 74105",https://www.texas-drilling.com/operators/alexander-loop-oil-prop-inc/012369
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/american-int-l-energy-corp/018395
028724,ARCADIA EXPL. & PROD. COMPANY,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/arcadia-expl-prod-company/028724
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
030118,"ARIEL PETROLEUM, INC.","Corsicana, TX 75110",https://www.texas-drilling.com/operators/ariel-petroleum-inc/030118
030584,"ARK-LA-TEX ENERGY, L.L.C.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/ark-la-tex-energy-l-l-c/030584
030820,ARLEDGE PETROLEUM CORP.,"Weatherford, TX 76086",https://www.texas-drilling.com/operators/arledge-petroleum-corp/030820
036562,"ATLANTIS OIL COMPANY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/atlantis-oil-company-inc/036562
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
048945,"BARBEE, BILL J.","Amarillo, TX 79101",https://www.texas-drilling.com/operators/barbee-bill-j/048945
057935,"BAY-TECH OPERATING CO., INC.","Tyler, TX 75713",https://www.texas-drilling.com/operators/bay-tech-operating-co-inc/057935
075440,"BLAZER RESOURCES, INC.","Leesburg, TX 75451",https://www.texas-drilling.com/operators/blazer-resources-inc/075440
075677,BLEDSOE PETRO CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/bledsoe-petro-corporation/075677
081545,"BOMAR ENTERPRISES, INC.","Longview, TX 75606",https://www.texas-drilling.com/operators/bomar-enterprises-inc/081545
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-co-ltd/108799
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",https://www.texas-drilling.com/operators/cabot-petroleum-corporation/121932
135180,"CARR RESOURCES, INC.","Tyler, TX 75702",https://www.texas-drilling.com/operators/carr-resources-inc/135180
141032,CENERGY EXPLORATION COMPANY,"Houston, TX 77068",https://www.texas-drilling.com/operators/cenergy-exploration-company/141032
144989,CHAPMAN OIL,"Houston, TX 77002",https://www.texas-drilling.com/operators/chapman-oil/144989
159900,CLEMCO,"Tyler, TX 75702",https://www.texas-drilling.com/operators/clemco/159900
160060,"CLEMENTS ENERGY, INC.","Vancouver, WA 98662",https://www.texas-drilling.com/operators/clements-energy-inc/160060
167054,"COLE, FRANK W ENGINEERING","Dallas, TX 75254",https://www.texas-drilling.com/operators/cole-frank-w-engineering/167054
168947,COLORADO HENDERSON PET. CORP.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/colorado-henderson-pet-corp/168947
169420,COMANCHE WELL SERVICE CORP.,"Plano, TX 75093",https://www.texas-drilling.com/operators/comanche-well-service-corp/169420
178090,CORDELL ENERGY CORPORATION,"Quitman, TX 75783",https://www.texas-drilling.com/operators/cordell-energy-corporation/178090
179452,"CORPENING, JOSEPH F.","Bowie, TX 76230",https://www.texas-drilling.com/operators/corpening-joseph-f/179452
191250,"CROW, DAVID","Shreveport, LA 71106",https://www.texas-drilling.com/operators/crow-david/191250
191660,CRYSTAL OIL COMPANY,"Shreveport, LA 71120",https://www.texas-drilling.com/operators/crystal-oil-company/191660
197991,DALTEX ENERGY COMPANY,"Dallas, TX 75240",https://www.texas-drilling.com/operators/daltex-energy-company/197991
209500,"DEELY, C.","Dallas, TX 75220",https://www.texas-drilling.com/operators/deely-c/209500
212300,DELHI GAS PIPELINE CORPORATION,"Palestine, TX 75802",https://www.texas-drilling.com/operators/delhi-gas-pipeline-corporation/212300
216418,"DENTON EXPLORATION, INC.","Dallas, TX 75219",https://www.texas-drilling.com/operators/denton-exploration-inc/216418
216894,"DIAMOND H OPERATING, INC","MT Vernon, TX 75457",https://www.texas-drilling.com/operators/diamond-h-operating-inc/216894
220696,DIMOCK OPERATING COMPANY,"Iowa Park, TX 76367",https://www.texas-drilling.com/operators/dimock-operating-company/220696
241426,"EDCO ENERGY, INC.","Austin, TX 78738",https://www.texas-drilling.com/operators/edco-energy-inc/241426
243216,EDGE & MOEHLMANN,"Tyler, TX 75710",https://www.texas-drilling.com/operators/edge-moehlmann/243216
243218,"EDGE, ROBERT L.","Tyler, TX 75710",https://www.texas-drilling.com/operators/edge-robert-l/243218
251681,ENBRIDGE G & P (EAST TEXAS) L.P.,"Houston, TX 77056",https://www.texas-drilling.com/operators/enbridge-g-p-east-texas-l-p/251681
251620,ENBRIDGE PIPELINES (NE TEXAS) LP,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-texas-lp/251620
251695,ENBRIDGE PIPELINES (NE TX) LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/enbridge-pipelines-ne-tx-llc/251695
251960,"ENERGY EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/energy-exploration-inc/251960
252008,ENERGY RESOURCES OIL & GAS CORP.,"Amarillo, TX 79102",https://www.texas-drilling.com/operators/energy-resources-oil-gas-corp/252008
254450,ESTATE OIL & GAS CORP.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/estate-oil-gas-corp/254450
255353,EUROPEAN-SOUTHWEST CO.,"Houston, TX 77254",https://www.texas-drilling.com/operators/european-southwest-co/255353
258400,FAIR OIL COMPANY,"Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-oil-company/258400
258401,"FAIR OIL, LC","Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-oil-lc/258401
258410,"FAIR OIL, LTD.","Tyler, TX 75710",https://www.texas-drilling.com/operators/fair-oil-ltd/258410
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",https://www.texas-drilling.com/operators/fina-oil-chemical-company/268321
274921,FLYNN ENERGY CORP.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/flynn-energy-corp/274921
313990,GOLDSTON OIL CORPORATION,"Houston, TX 77257",https://www.texas-drilling.com/operators/goldston-oil-corporation/313990
337080,"GTG OPERATING, LLC","Tyler, TX 75702",https://www.texas-drilling.com/operators/gtg-operating-llc/337080
338748,GULFTEX OPERATING INC,"Plano, TX 75093",https://www.texas-drilling.com/operators/gulftex-operating-inc/338748
355722,"HARBOR PETROLEUM, LLC","Granbury, TX 76049",https://www.texas-drilling.com/operators/harbor-petroleum-llc/355722
368309,"HAWTHORN ENERGY PARTNERS, LLC","Nichols Hill, OK 73116",https://www.texas-drilling.com/operators/hawthorn-energy-partners-llc/368309
388650,"HILLIARD OIL & GAS, INC.","Midland, TX 79705",https://www.texas-drilling.com/operators/hilliard-oil-gas-inc/388650
390100,HINTON PRODUCTION COMPANY,"MT Pleasant, TX 75455",https://www.texas-drilling.com/operators/hinton-production-company/390100
400091,"HORIZON PROD. AND OPERATING, LLC","Houston, TX 77019",https://www.texas-drilling.com/operators/horizon-prod-and-operating-llc/400091
410278,HUDSON RESOURCES CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/hudson-resources-corporation/410278
422890,IMC EXPLORATON CO.,"Mundelein, IL 60060",https://www.texas-drilling.com/operators/imc-exploraton-co/422890
429659,"JAMEX, INC.","Lewisville, TX 75067",https://www.texas-drilling.com/operators/jamex-inc/429659
457780,KERR-MCGEE CORPORATION,"Dallas, TX 75380",https://www.texas-drilling.com/operators/kerr-mcgee-corporation/457780
458700,KEY PRODUCTION CO.,"Longview, TX 75606",https://www.texas-drilling.com/operators/key-production-co/458700
473726,KOCH MIDSTREAM SERVICES COMPANY,"Wichita, KS 67201",https://www.texas-drilling.com/operators/koch-midstream-services-company/473726
480955,LADD PETROLEUM CORP.,"Houston, TX 77242",https://www.texas-drilling.com/operators/ladd-petroleum-corp/480955
484012,"LAMARKITA, INC.","Kilgore, TX 75663",https://www.texas-drilling.com/operators/lamarkita-inc/484012
487327,"LARSON, PERRY L OPERATING CO INC","Dallas, TX 75382",https://www.texas-drilling.com/operators/larson-perry-l-operating-co-inc/487327
496740,"LEONARD, O. P.","Fort Worth, TX 76101",https://www.texas-drilling.com/operators/leonard-o-p/496740
499972,LEWIS OIL CORP.,"Stillwater, OK 74076",https://www.texas-drilling.com/operators/lewis-oil-corp/499972
500158,"LEWIS, R. J. OIL COMPANY","Stillwater, OK 74076",https://www.texas-drilling.com/operators/lewis-r-j-oil-company/500158
501199,"LINDENMUTH & ASSOCIATES, ETEX","Austin, TX 78703",https://www.texas-drilling.com/operators/lindenmuth-associates-etex/501199
501202,"LINDENMUTH & ASSOCIATES, INC.","Austin, TX 78703",https://www.texas-drilling.com/operators/lindenmuth-associates-inc/501202
520333,"MACHIN, ART & ASSOCIATES, INC.","Longview, TX 75606",https://www.texas-drilling.com/operators/machin-art-associates-inc/520333
521537,"MAGNUM PETROLEUM, INC.","Palm Desert, CA 92260",https://www.texas-drilling.com/operators/magnum-petroleum-inc/521537
525380,MARATHON OIL COMPANY,"Houston, TX 77024",https://www.texas-drilling.com/operators/marathon-oil-company/525380
535720,"MAY PETROLEUM, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/may-petroleum-inc/535720
536740,MAYNARD OIL CO.,"Denver, CO 80202",https://www.texas-drilling.com/operators/maynard-oil-co/536740
537730,"MCBEE, WM. D., ESTATE OF","Dallas, TX 75219",https://www.texas-drilling.com/operators/mcbee-wm-d-estate-of/537730
541933,MCCORMICK OPERATING COMPANY,"Houston, TX 77210",https://www.texas-drilling.com/operators/mccormick-operating-company/541933
551945,MCLARTY OIL CORPORATION,"Tyler, TX 75702",https://www.texas-drilling.com/operators/mclarty-oil-corporation/551945
564710,MIDCOAST G & P (EAST TEXAS) L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/midcoast-g-p-east-texas-l-p/564710
572580,MOBIL PIPE LINE COMPANY,"Spring, TX 77389",https://www.texas-drilling.com/operators/mobil-pipe-line-company/572580
572550,MOBIL PRODUCING TX. & N.M. INC.,"Spring, TX 77389",https://www.texas-drilling.com/operators/mobil-producing-tx-n-m-inc/572550
575000,"MONCRIEF, W. A., JR.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/moncrief-w-a-jr/575000
581425,MOORE OIL CORPORATION,"Shreveport, LA 71162",https://www.texas-drilling.com/operators/moore-oil-corporation/581425
589985,MOSBACHER PRODUCTION CO.,"Houston, TX 77002",https://www.texas-drilling.com/operators/mosbacher-production-co/589985
600667,"NATIONAL OIL COMPANY, THE","Denver, CO 80202",https://www.texas-drilling.com/operators/national-oil-company-the/600667
601352,"NBI SERVICES, INC.","Tulsa, OK 74159",https://www.texas-drilling.com/operators/nbi-services-inc/601352
611683,NOBLE & CANTRELL EXPLORATION CO.,"Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-exploration-co/611683
611684,"NOBLE/CANTRELL EXPLOR.CO., INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/noble-cantrell-explor-co-inc/611684
617512,"O'BENCO, INC.","Shreveport, LA 71136",https://www.texas-drilling.com/operators/o-benco-inc/617512
622726,"OMNI-EXPLORATION, INC.","Irving, TX 75062",https://www.texas-drilling.com/operators/omni-exploration-inc/622726
628207,"OTO, CO.","Woodward, OK 73802",https://www.texas-drilling.com/operators/oto-co/628207
660822,PETRON OIL COMPANY,"Missouri City, TX 77489",https://www.texas-drilling.com/operators/petron-oil-company/660822
666455,PITTS OIL CO.-DALLAS PROD. INC.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/pitts-oil-co-dallas-prod-inc/666455
677747,"PRIMAL RESOURCES, INC.","Plano, TX 75074",https://www.texas-drilling.com/operators/primal-resources-inc/677747
698769,REGENCY FIELD SERVICES LLC,"Dallas, TX 75225",https://www.texas-drilling.com/operators/regency-field-services-llc/698769
703609,"REVARD PETROLEUM, L.L.C.","Tulsa, OK 74170",https://www.texas-drilling.com/operators/revard-petroleum-l-l-c/703609
704779,RGP PRODUCTION,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/rgp-production/704779
711115,"RIDGEWAY EXCO, INC.","San Antonio, TX 78279",https://www.texas-drilling.com/operators/ridgeway-exco-inc/711115
729150,"ROSS, BILL C.","Tyler, TX 75702",https://www.texas-drilling.com/operators/ross-bill-c/729150
729203,"ROSS, BILL C.-RIPPY, JAMES H.","Tyler, TX 75702",https://www.texas-drilling.com/operators/ross-bill-c-rippy-james-h/729203
739805,RWJ OPERATING LLC,"Dallas, TX 75201",https://www.texas-drilling.com/operators/rwj-operating-llc/739805
742225,SABIO OIL & GAS INC.,"Dallas, TX 75206",https://www.texas-drilling.com/operators/sabio-oil-gas-inc/742225
743197,"SAFARI PRODUCTION COMPANY, INC.","McAllen, TX 78501",https://www.texas-drilling.com/operators/safari-production-company-inc/743197
744275,SALT CREEK OIL CORPORATION,"Irving, TX 75016",https://www.texas-drilling.com/operators/salt-creek-oil-corporation/744275
744700,SAMSON LONE STAR LP,"Tulsa, OK 74103",https://www.texas-drilling.com/operators/samson-lone-star-lp/744700
749529,"SAXET OPERATING COMPANY, INC.","Winnsboro, TX 75494",https://www.texas-drilling.com/operators/saxet-operating-company-inc/749529
749600,SAXON OIL COMPANY,"Midland, TX 79707",https://www.texas-drilling.com/operators/saxon-oil-company/749600
761730,"SEAGULL RESOURCES, INC.","Canada, 00100",https://www.texas-drilling.com/operators/seagull-resources-inc/761730
763152,SEDONA OIL & GAS CORP.,"Austin, TX 78746",https://www.texas-drilling.com/operators/sedona-oil-gas-corp/763152
806415,"SOUTHWEST OPERATING, INC.-TYLER","Tyler, TX 75701",https://www.texas-drilling.com/operators/southwest-operating-inc-tyler/806415
807310,"SPARKS, SAM R. INC.","Santa Rosa, TX 78593",https://www.texas-drilling.com/operators/sparks-sam-r-inc/807310
809332,SPENCE ENERGY COMPANY,"Dallas, TX 75206",https://www.texas-drilling.com/operators/spence-energy-company/809332
809335,"SPENCE, RALPH","Tyler, TX 75702",https://www.texas-drilling.com/operators/spence-ralph/809335
809331,"SPENCE, RALPH OIL COMPANY, INC.","Tyler, TX 75701",https://www.texas-drilling.com/operators/spence-ralph-oil-company-inc/809331
816927,"STEERE BROTHERS & BROWN, INC.","Dallas, TX 75201",https://www.texas-drilling.com/operators/steere-brothers-brown-inc/816927
828880,"SULPHUR RIVER EXPLORATION, INC.","Dallas, TX 75244",https://www.texas-drilling.com/operators/sulphur-river-exploration-inc/828880
828924,SULPHUR RIVER GATHERING LP,"Dallas, TX 75225",https://www.texas-drilling.com/operators/sulphur-river-gathering-lp/828924
829433,SUN EXPL. & PROD. CO.-LONGVIEW,"Houston, TX 77251",https://www.texas-drilling.com/operators/sun-expl-prod-co-longview/829433
831220,"SUTTON, H. E.","Oil City, LA 71061",https://www.texas-drilling.com/operators/sutton-h-e/831220
833889,TEX/CON OIL & GAS COMPANY,"Dallas, TX 75206",https://www.texas-drilling.com/operators/tex-con-oil-gas-company/833889
844118,TEXACO E & P INC.,"Houston, TX 77099",https://www.texas-drilling.com/operators/texaco-e-p-inc/844118
845920,TEXAS GAS EXPLORATION CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/texas-gas-exploration-corp/845920
848299,"TEXAS UNITED OIL & GAS, INC.","Dallas, TX 75247",https://www.texas-drilling.com/operators/texas-united-oil-gas-inc/848299
848559,"TEXEAST OPERATING CO., INC.","Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/texeast-operating-co-inc/848559
850938,TEXTRON SOUTHWEST INC.,"Henderson, TX 75654",https://www.texas-drilling.com/operators/textron-southwest-inc/850938
850946,TEXTRON SOUTHWEST L.L.C.,"Addison, TX 75001",https://www.texas-drilling.com/operators/textron-southwest-l-l-c/850946
864437,TRANSCO EXPLORATION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/transco-exploration-company/864437
867690,TREND RESOURCES LIMITED,"Denver, CO 80202",https://www.texas-drilling.com/operators/trend-resources-limited/867690
875230,TXO PRODUCTION CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/txo-production-corp/875230
878951,"UPSTREAM PROPERTIES, LLC","Southlake, TX 76092",https://www.texas-drilling.com/operators/upstream-properties-llc/878951
881167,VALENCE OPERATING COMPANY,"Kingwood, TX 77339",https://www.texas-drilling.com/operators/valence-operating-company/881167
884150,"VAUGHN PETROLEUM, INC.","Dallas, TX 75219",https://www.texas-drilling.com/operators/vaughn-petroleum-inc/884150
884460,VEGA PETROLEUM CORPORATION,"Denver, CO 80202",https://www.texas-drilling.com/operators/vega-petroleum-corporation/884460
890990,"WAGNER, DUER & CO.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/wagner-duer-co/890990
898000,WARREN PETROLEUM COMPANY,"Houston, TX 77040",https://www.texas-drilling.com/operators/warren-petroleum-company/898000
905014,WEEKS EXPLORATION COMPANY,"Houston, TX 77063",https://www.texas-drilling.com/operators/weeks-exploration-company/905014
908670,WESSELY ENERGY COMPANY,"Houston, TX 77046",https://www.texas-drilling.com/operators/wessely-energy-company/908670
908685,WESSELY ENERGY CORPORATION,"Dallas, TX 75201",https://www.texas-drilling.com/operators/wessely-energy-corporation/908685
910224,"WEST MOUNTAIN OPERATING CO, INC.","Longview, TX 75604",https://www.texas-drilling.com/operators/west-mountain-operating-co-inc/910224
933609,WISENBAKER PRODUCTION COMPANY,"Tyler, TX 75702",https://www.texas-drilling.com/operators/wisenbaker-production-company/933609
935428,WO OPERATING COMPANY,"Tulsa, OK 74159",https://www.texas-drilling.com/operators/wo-operating-company/935428
941200,"WOOLF & MAGEE, INC.","Tyler, TX 75711",https://www.texas-drilling.com/operators/woolf-magee-inc/941200
946320,YATES PETROLEUM CORPORATION,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/yates-petroleum-corporation/946320
