Lease Number,Lease Name,Operator Name,Lease Link
623073,"1849 ENERGY PARTNERS OPRTNG, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/1849-energy-partners-oprtng-llc/623073
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/adexco-operating-company/007894
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
033055,"ARP BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/arp-barnett-llc/033055
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-oil-gas-operating-llc/033149
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-david-h-oil-gas-inc/033148
033523,"ARROWHEAD PRODUCTIONS, LP","Fort Worth, TX 76109",https://www.texas-drilling.com/operators/arrowhead-productions-lp/033523
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",https://www.texas-drilling.com/operators/aspect-energy-llc/035453
036556,"ATLAS BARNETT, LLC","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/atlas-barnett-llc/036556
050861,BARNETT SHALE OPERATING LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/barnett-shale-operating-llc/050861
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
053975,BASAL CORPORATION,"Cleburne, TX 76033",https://www.texas-drilling.com/operators/basal-corporation/053975
061620,"BEDROCK PRODUCTION, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/bedrock-production-llc/061620
064250,BENGAL GAS TRANSMISSION CO.,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/bengal-gas-transmission-co/064250
100345,"BKV North Texas, LLC","Fort Worth, TX 76106",https://www.texas-drilling.com/operators/bkv-north-texas-llc/100345
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/blackbeard-operating-llc/073056
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/bluestone-natural-res-ii-llc/076861
083268,"BOSQUE DISPOSAL SYSTEMS, LLC","Fort Worth, TX 76162",https://www.texas-drilling.com/operators/bosque-disposal-systems-llc/083268
085366,"BP OPERATING COMPANY, LLC","Dallas, TX 75225",https://www.texas-drilling.com/operators/bp-operating-company-llc/085366
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-lone-star-ltd/090870
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",https://www.texas-drilling.com/operators/burlington-resources-o-g-co-lp/109333
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/burnett-oil-co-inc/110016
120531,C&J ENERGY SERVICES,"Houston, TX 77042",https://www.texas-drilling.com/operators/c-j-energy-services/120531
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/canan-mowrey-operating-llc/129008
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/carrizo-oil-gas-inc/135401
152385,"CHALLENGER OPERATING, LLC","Lubbock, TX 79464",https://www.texas-drilling.com/operators/challenger-operating-llc/152385
143547,"CHAMPION DISPOSAL HOLDINGS, LLC","Bridgeport, TX 76426",https://www.texas-drilling.com/operators/champion-disposal-holdings-llc/143547
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-inc/147715
147699,"CHESAPEAKE OPERATING, L.L.C.","Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/chesapeake-operating-l-l-c/147699
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",https://www.texas-drilling.com/operators/chevron-u-s-a-inc/148113
148219,CHIEF OIL & GAS LLC *,"Dallas, TX 75225",https://www.texas-drilling.com/operators/chief-oil-gas-llc/148219
149423,CHINN EXPLORATION COMPANY,"Longview, TX 75605",https://www.texas-drilling.com/operators/chinn-exploration-company/149423
154540,CITRUS ENERGY CORPORATION,"Castle Rock, CO 80104",https://www.texas-drilling.com/operators/citrus-energy-corporation/154540
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",https://www.texas-drilling.com/operators/coastal-plains-energy-inc/161671
166706,"COHORT PETROLEUM MANAGEMENT, LLC","Fort Worth, TX 76123",https://www.texas-drilling.com/operators/cohort-petroleum-management-llc/166706
168355,"COLLINS & YOUNG OPER, L.L.C.","Fort Worth, TX 76121",https://www.texas-drilling.com/operators/collins-young-oper-l-l-c/168355
169785,"COMPLETE ENERGY SERVICES, INC.","Mustang, OK 73064",https://www.texas-drilling.com/operators/complete-energy-services-inc/169785
101608,CR2 Energy LLC,"Houston, TX 77002",https://www.texas-drilling.com/operators/cr2-energy-llc/101608
194204,"CUMMING COMPANY, INC. THE","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/cumming-company-inc-the/194204
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",https://www.texas-drilling.com/operators/dallas-production-inc/197690
213703,DELTA OIL & GAS LTD.,"Breckenridge, TX 76424",https://www.texas-drilling.com/operators/delta-oil-gas-ltd/213703
216730,"DEVON ENERGY OPERATING CO., L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-operating-co-l-p/216730
216378,"DEVON ENERGY PRODUCTION CO, L.P.","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/devon-energy-production-co-l-p/216378
220903,DIVERSIFIED PRODUCTION LLC,"Keithville, LA 71047",https://www.texas-drilling.com/operators/diversified-production-llc/220903
222023,"DOGWOOD OPERATING COMPANY, INC.","Houston, TX 77069",https://www.texas-drilling.com/operators/dogwood-operating-company-inc/222023
223271,"DONWAN, LLC","Tulsa, OK 74103",https://www.texas-drilling.com/operators/donwan-llc/223271
238462,"EAGLERIDGE OPERATING, LLC","Dallas, TX 75219",https://www.texas-drilling.com/operators/eagleridge-operating-llc/238462
250571,"EL RENO ENERGY, LLC","Granbury, TX 76048",https://www.texas-drilling.com/operators/el-reno-energy-llc/250571
251691,ENCANA OIL & GAS(USA) INC.,"Denver, CO 80202",https://www.texas-drilling.com/operators/encana-oil-gas-usa-inc/251691
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",https://www.texas-drilling.com/operators/enervest-operating-l-l-c/252131
253162,"EOG RESOURCES, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/eog-resources-inc/253162
256865,"EXCEL OIL & GAS, INC.","Waxahachie, TX 75168",https://www.texas-drilling.com/operators/excel-oil-gas-inc/256865
263648,"FAULCONER ENERGY, LLC","Tyler, TX 75711",https://www.texas-drilling.com/operators/faulconer-energy-llc/263648
263701,"FAULCONER, VERNON E., INC.","Tyler, TX 75711",https://www.texas-drilling.com/operators/faulconer-vernon-e-inc/263701
263924,"FDL OPERATING, LLC","Judson, TX 75660",https://www.texas-drilling.com/operators/fdl-operating-llc/263924
266643,"FIADOR RESOURCES, LLC","Fort Worth, TX 76104",https://www.texas-drilling.com/operators/fiador-resources-llc/266643
280617,"FOUR SEVENS OPERATING CO., LTD.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/four-sevens-operating-co-ltd/280617
300237,GEO LOGIC ENVIRONMENTAL SRVCS LC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/geo-logic-environmental-srvcs-lc/300237
324735,"GRAND OPERATING, INC.","Addison, TX 75001",https://www.texas-drilling.com/operators/grand-operating-inc/324735
347225,HALLWOOD ENERGY CORPORATION,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/hallwood-energy-corporation/347225
347219,"HALLWOOD PETROLEUM, LLC","Dallas, TX 75219",https://www.texas-drilling.com/operators/hallwood-petroleum-llc/347219
355586,"HANVEY, DON H. OIL INTERESTS INC","Ranger, TX 76470",https://www.texas-drilling.com/operators/hanvey-don-h-oil-interests-inc/355586
369750,HAZLEWOOD-PATTERSON COMPANY,"Keller, TX 76244",https://www.texas-drilling.com/operators/hazlewood-patterson-company/369750
102036,"HICKS EXPLORATION, LLC","Dover, OK 73734",https://www.texas-drilling.com/operators/hicks-exploration-llc/102036
427960,J-W OPERATING CO.,"Addison, TX 75001",https://www.texas-drilling.com/operators/j-w-operating-co/427960
100351,Javelin Energy Partners Management LLC,"Irving, TX 75038",https://www.texas-drilling.com/operators/javelin-energy-partners-management-llc/100351
440742,JOINT RESOURCES COMPANY,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/joint-resources-company/440742
457780,KERR-MCGEE CORPORATION,"Dallas, TX 75380",https://www.texas-drilling.com/operators/kerr-mcgee-corporation/457780
457809,KERR-MCGEE OIL & GAS ONSHORE LLC,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/kerr-mcgee-oil-gas-onshore-llc/457809
479215,KYNGE ENERGY INVESTMENTS LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/kynge-energy-investments-llc/479215
495557,"LEGEND NATURAL GAS IV, LP","Houston, TX 77094",https://www.texas-drilling.com/operators/legend-natural-gas-iv-lp/495557
