Lease Number,Lease Name,Operator Name,Lease Link
000830,AA ENERGY CORP.,"Dallas, TX 75201",https://www.texas-drilling.com/operators/aa-energy-corp/000830
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
008575,"AGAR & AGAR, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/agar-agar-inc/008575
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",https://www.texas-drilling.com/operators/altura-energy-ltd/015726
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
020435,AMOCO PRODUCTION CO.-LEVELLAND,"Brownfield, TX 79316",https://www.texas-drilling.com/operators/amoco-production-co-levelland/020435
020510,AMRON OPERATING COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/amron-operating-company/020510
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",https://www.texas-drilling.com/operators/anschutz-corporation-the/025640
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029420,ARDEN OIL CORP.,"Midland, TX 79702",https://www.texas-drilling.com/operators/arden-oil-corp/029420
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",https://www.texas-drilling.com/operators/asm-oil-gas-company-inc/000610
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/atoka-operating-inc/036606
041540,B & S SALVAGE,"Post, TX 79356",https://www.texas-drilling.com/operators/b-s-salvage/041540
040136,B C & D OIL & GAS CORP.,"Hobbs, NM 88241",https://www.texas-drilling.com/operators/b-c-d-oil-gas-corp/040136
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/baker-taylor-drilling-co/046630
