Lease Number,Lease Name,Operator Name,Lease Link
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",https://www.texas-drilling.com/operators/allmon-operating-co-inc/014984
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-production-company/020582
020581,"ANATHEMA, INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/anathema-inc/020581
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/ard-drilling-company-inc/029413
031585,"ARMOR PETROLEUM, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/armor-petroleum-inc/031585
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",https://www.texas-drilling.com/operators/arrington-david-h-oil-gas-inc/033148
034500,"ASHLAND OIL, INC.","Lexington, KY 40512",https://www.texas-drilling.com/operators/ashland-oil-inc/034500
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/aspen-exploration-inc/035410
035633,ATAPCO,"Houston, TX 77040",https://www.texas-drilling.com/operators/atapco/035633
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ausanka-oil-operations/036930
048943,"BARBEE, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/barbee-inc/048943
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",https://www.texas-drilling.com/operators/bettis-boyle-stovall/068360
070450,"BIG STATE INDUSTRIES, INC.","Houston, TX 77010",https://www.texas-drilling.com/operators/big-state-industries-inc/070450
072401,BIRGE OIL CO.,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/birge-oil-co/072401
072533,BKM PRODUCTION,"Gainesville, TX 76240",https://www.texas-drilling.com/operators/bkm-production/072533
081090,BOLIN OIL COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/bolin-oil-company/081090
080398,"BOLIN, C. W.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/bolin-c-w/080398
082400,BONEY & ZETZMAN,"Abilene, TX 79604",https://www.texas-drilling.com/operators/boney-zetzman/082400
085370,BP PROD. CORP.,"Richardson, TX 75083",https://www.texas-drilling.com/operators/bp-prod-corp/085370
088577,"BRAMAN, D. H., JR.","Victoria, TX 77901",https://www.texas-drilling.com/operators/braman-d-h-jr/088577
088623,"BRANDT, BODIE","Iowa Park, TX 76367",https://www.texas-drilling.com/operators/brandt-bodie/088623
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/brazos-petroleum-inc/089939
090855,"BREWER, TIM INC","Seminole, TX 79360",https://www.texas-drilling.com/operators/brewer-tim-inc/090855
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/bridwell-oil-co/092480
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",https://www.texas-drilling.com/operators/brooks-e-b-jr/097035
041860,BTA OIL PRODUCERS,"Midland, TX 79701",https://www.texas-drilling.com/operators/bta-oil-producers/041860
105675,"BUCK WHEAT RESOURCES, L.P.","Eastland, TX 76448",https://www.texas-drilling.com/operators/buck-wheat-resources-l-p/105675
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
106513,"BULLET DEVELOPMENT, LLC","Abilene, TX 79601",https://www.texas-drilling.com/operators/bullet-development-llc/106513
108650,"BURGUNDY OIL & GAS, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/burgundy-oil-gas-inc/108650
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burk-royalty-company/108800
110016,"BURNETT OIL CO., INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/burnett-oil-co-inc/110016
111019,"BURNS, P. C. OIL PRODUCERS INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/burns-p-c-oil-producers-inc/111019
120700,C-M-R INC.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/c-m-r-inc/120700
122178,"CADA OPERATING, INC.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/cada-operating-inc/122178
122375,CADDO CORPORATION,"Austin, TX 78731",https://www.texas-drilling.com/operators/caddo-corporation/122375
