Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953636,4-M OPERATING COMPANY,"Abilene, TX 79601",https://www.texas-drilling.com/operators/4-m-operating-company/953636
000136,A.B.C. ENERGY CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/a-b-c-energy-co/000136
002635,ABILENE OIL & GAS CO.,"Abilene, TX 79604",https://www.texas-drilling.com/operators/abilene-oil-gas-co/002635
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",https://www.texas-drilling.com/operators/adkins-r-l-corp/007937
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/akins-oil-company/009583
012368,"ALEXANDER RESOURCES, INC.","Abilene, TX 79608",https://www.texas-drilling.com/operators/alexander-resources-inc/012368
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",https://www.texas-drilling.com/operators/alliance-resources-corporation/014162
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",https://www.texas-drilling.com/operators/allmon-operating-co-inc/014984
018026,AMERICAN ENERGY DEVELOPMENT CO.,"Midland, TX 79701",https://www.texas-drilling.com/operators/american-energy-development-co/018026
019789,"AMES, ADRIAN","Aransas Pass, TX 78336",https://www.texas-drilling.com/operators/ames-adrian/019789
020535,"AMV OPERATING, INC.","Lawton, OK 73502",https://www.texas-drilling.com/operators/amv-operating-inc/020535
020581,"ANATHEMA, INC.","Abilene, TX 79601",https://www.texas-drilling.com/operators/anathema-inc/020581
020591,"ANCHOR PETROLEUM, INC.","Lubbock, TX 79464",https://www.texas-drilling.com/operators/anchor-petroleum-inc/020591
020920,"ANDERSON, CARL T.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/anderson-carl-t/020920
025440,"ANGELO, ERNEST, JR.","Midland, TX 79701",https://www.texas-drilling.com/operators/angelo-ernest-jr/025440
026705,ANVIL PETROLEUM CORPORATION,"Houston, TX 77005",https://www.texas-drilling.com/operators/anvil-petroleum-corporation/026705
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028667,"AQUILA PETROLEUM, INC.","Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/aquila-petroleum-inc/028667
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",https://www.texas-drilling.com/operators/arcadia-refining-co/028730
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",https://www.texas-drilling.com/operators/ashford-oil-gas-company/034380
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
036589,"ATMOS ENERGY CORP., MID-TEX DIV.","Dallas, TX 75222",https://www.texas-drilling.com/operators/atmos-energy-corp-mid-tex-div/036589
036603,"ATMOS ENERGY,WEST TEXAS DIVISION","Lubbock, TX 79424",https://www.texas-drilling.com/operators/atmos-energy-west-texas-division/036603
036599,ATMOS PIPELINE - TEXAS,"Dallas, TX 75240",https://www.texas-drilling.com/operators/atmos-pipeline-texas/036599
036596,"ATNIPP, H. L.","Midland, TX 79701",https://www.texas-drilling.com/operators/atnipp-h-l/036596
036606,"ATOKA OPERATING, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/atoka-operating-inc/036606
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ausanka-oil-operations/036930
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",https://www.texas-drilling.com/operators/avad-operating-llc/037877
040391,B & F OIL COMPANY,"Seymour, TX 76380",https://www.texas-drilling.com/operators/b-f-oil-company/040391
039885,B. B. & B.,"Abilene, TX 79608",https://www.texas-drilling.com/operators/b-b-b/039885
044261,"BAIR-LEE OIL CO., INC.","Wichita Falls, TX 76301",https://www.texas-drilling.com/operators/bair-lee-oil-co-inc/044261
048943,"BARBEE, INC.","Abilene, TX 79604",https://www.texas-drilling.com/operators/barbee-inc/048943
048970,"BARBEE, JOHN W.","Abilene, TX 79604",https://www.texas-drilling.com/operators/barbee-john-w/048970
050854,"BARNETT OPERATING, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/barnett-operating-inc/050854
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/basic-energy-services-l-p/054313
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h-oil-and-gas-co/056536
058891,BBE PRODUCTION CO.,"Haskell, TX 79521",https://www.texas-drilling.com/operators/bbe-production-co/058891
058928,"BBE PRODUCTION, LLC","Haskell, TX 79521",https://www.texas-drilling.com/operators/bbe-production-llc/058928
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/belco-energy-corp/062673
065970,"BENSON & SCHOEN OIL CO., INC.","Abilene, TX 79602",https://www.texas-drilling.com/operators/benson-schoen-oil-co-inc/065970
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",https://www.texas-drilling.com/operators/benson-mineral-group-inc/065847
