Lease Number,Lease Name,Operator Name,Lease Link
953712,1400 CORP,"Houston, TX 77002",https://www.texas-drilling.com/operators/1400-corp/953712
953637,1988 INDEXGEO JV,"Houston, TX 77002",https://www.texas-drilling.com/operators/1988-indexgeo-jv/953637
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",https://www.texas-drilling.com/operators/a-r-resources/000578
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003648,"ACT OPERATING, INC.","Hennessey, OK 73742",https://www.texas-drilling.com/operators/act-operating-inc/003648
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
003925,"ADA RESOURCES, INC.","Houston, TX 77001",https://www.texas-drilling.com/operators/ada-resources-inc/003925
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/agua-libre-midstream-llc/008742
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",https://www.texas-drilling.com/operators/alegre-energy-inc/011441
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",https://www.texas-drilling.com/operators/allegro-investments-inc/013305
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",https://www.texas-drilling.com/operators/alta-mesa-services-lp/015721
016539,ALYANA ENERGY CORPORATION,"Houston, TX 77227",https://www.texas-drilling.com/operators/alyana-energy-corporation/016539
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",https://www.texas-drilling.com/operators/alyndson-oil-gas-inc/016541
016881,"AMBASSADOR PETROLEUM, INC.","Katy, TX 77494",https://www.texas-drilling.com/operators/ambassador-petroleum-inc/016881
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/amcole-energy-corp/016917
018021,AMERICAN ENERGY OPERATIONS INC.,"Houston, TX 77002",https://www.texas-drilling.com/operators/american-energy-operations-inc/018021
018046,"AMERICAN ENERGY PARTNERS, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/american-energy-partners-inc/018046
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/american-int-l-energy-corp/018395
018966,AMERICAN PUMPING & TRUCKING,"New Braunfels, TX 78131",https://www.texas-drilling.com/operators/american-pumping-trucking/018966
019809,AMF PRODUCTION COMPANY,"Houston, TX 77090",https://www.texas-drilling.com/operators/amf-production-company/019809
020408,"AMMONITE ENERGY TEXAS, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/ammonite-energy-texas-inc/020408
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
028671,ARANSAS DRLG & WORKOVER CO INC,"Corpus Chrsti, TX 78409",https://www.texas-drilling.com/operators/aransas-drlg-workover-co-inc/028671
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",https://www.texas-drilling.com/operators/argent-energy-us-holdings-inc/029710
030117,"ARIEL RESOURCES, INC.","Dallas, TX 75287",https://www.texas-drilling.com/operators/ariel-resources-inc/030117
030125,ARIES OIL CORP.,"Dallas, TX 75219",https://www.texas-drilling.com/operators/aries-oil-corp/030125
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
030840,"ARMADA RESOURCES, INC.","New Orleans, LA 70130",https://www.texas-drilling.com/operators/armada-resources-inc/030840
031288,"ARMOUR RESOURCE HOLDINGS, LTD.","Houston, TX 77046",https://www.texas-drilling.com/operators/armour-resource-holdings-ltd/031288
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",https://www.texas-drilling.com/operators/ashford-oil-gas-company/034380
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",https://www.texas-drilling.com/operators/ashland-exploration-inc/034450
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",https://www.texas-drilling.com/operators/associated-operating-explor/035575
