Lease Number,Lease Name,Operator Name,Lease Link
953717,"3 G INVESTMENTS, INC.","Giddings, TX 78942",https://www.texas-drilling.com/operators/3-g-investments-inc/953717
000189,"A & D PETROLEUM COMPANY, INC.","College Sta, TX 77845",https://www.texas-drilling.com/operators/a-d-petroleum-company-inc/000189
000579,"A. O. & M. EXPLORATION, INC.","Austin, TX 78759",https://www.texas-drilling.com/operators/a-o-m-exploration-inc/000579
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/ada-oil-exploration-corp/003912
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
008475,ADS,"Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads/008475
000225,"ADS OIL & GAS, INC.","Caldwell, TX 77836",https://www.texas-drilling.com/operators/ads-oil-gas-inc/000225
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",https://www.texas-drilling.com/operators/advance-hydrocarbon-corporation/008484
008529,AEGEAN OIL CORP.,"Houston, TX 77218",https://www.texas-drilling.com/operators/aegean-oil-corp/008529
008584,AGCO PETROLEUM COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/agco-petroleum-company/008584
011285,ALCORN PROD CO.,"Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-prod-co/011285
011280,"ALCORN, C. W. JR.","Victoria, TX 77902",https://www.texas-drilling.com/operators/alcorn-c-w-jr/011280
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/alexander-energy-corporation/012190
011495,"ALEXANDER LAND & DEV. CO., INC.","Giddings, TX 78942",https://www.texas-drilling.com/operators/alexander-land-dev-co-inc/011495
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",https://www.texas-drilling.com/operators/allegiant-resources-llc/013365
020415,AMMEX PETROLEUM CORPORATION,"Midland, TX 79702",https://www.texas-drilling.com/operators/ammex-petroleum-corporation/020415
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020544,ANADARKO AUSTIN CHALK COMPANY,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-austin-chalk-company/020544
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020599,"ANATEXAS OFFSHORE, INC.","Houston, TX 77024",https://www.texas-drilling.com/operators/anatexas-offshore-inc/020599
020596,ANCHOR OPERATING CO.,"Houston, TX 77055",https://www.texas-drilling.com/operators/anchor-operating-co/020596
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",https://www.texas-drilling.com/operators/aop-operating-corporation/026810
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
030801,"ARLEDGE, TERRY","Rockdale, TX 76567",https://www.texas-drilling.com/operators/arledge-terry/030801
031580,"ARMOR LONESTAR, LLC","Tulsa, OK 74146",https://www.texas-drilling.com/operators/armor-lonestar-llc/031580
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",https://www.texas-drilling.com/operators/arrow-exploration-company/033189
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",https://www.texas-drilling.com/operators/atasca-resources-inc/035643
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",https://www.texas-drilling.com/operators/atkinson-energy-corporation/036103
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",https://www.texas-drilling.com/operators/austin-energy-operations-inc/037103
037141,AUSTIN MINERALS INC.,"Austin, TX 78720",https://www.texas-drilling.com/operators/austin-minerals-inc/037141
037205,AUSTIN OIL & MINERAL,"Manor, TX 78653",https://www.texas-drilling.com/operators/austin-oil-mineral/037205
039773,B & B DRILLING CO.,"Milano, TX 76556",https://www.texas-drilling.com/operators/b-b-drilling-co/039773
040792,"B M ENERGY, INC.","Hennessey, OK 73742",https://www.texas-drilling.com/operators/b-m-energy-inc/040792
041780,"B-T OIL FIELD SUPPLY, INC.","Caldwell, TX 77836",https://www.texas-drilling.com/operators/b-t-oil-field-supply-inc/041780
044265,BAIRD OIL COMPANY INC,"Lewisville, TX 75067",https://www.texas-drilling.com/operators/baird-oil-company-inc/044265
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/bar-m-petroleum-co-inc/049751
049781,BAR S CORPORATION,"Dime Box, TX 77853",https://www.texas-drilling.com/operators/bar-s-corporation/049781
049775,BAR-MAC,"Brenham, TX 77833",https://www.texas-drilling.com/operators/bar-mac/049775
049777,BAR-MAC & HOLLUB DRILLING CO.,"Brenham, TX 77833",https://www.texas-drilling.com/operators/bar-mac-hollub-drilling-co/049777
049767,BAR-MAC INVESTMENTS INC.,"Brenham, TX 77834",https://www.texas-drilling.com/operators/bar-mac-investments-inc/049767
054835,BASS PETROLEUM,"Austin, TX 78720",https://www.texas-drilling.com/operators/bass-petroleum/054835
054836,"BASS PETROLEUM, INC","Austin, TX 78716",https://www.texas-drilling.com/operators/bass-petroleum-inc/054836
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",https://www.texas-drilling.com/operators/bay-rock-operating-company/057860
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",https://www.texas-drilling.com/operators/bbl-oil-gas-company/058881
058893,"BC OPERATING, INC.","Midland, TX 79710",https://www.texas-drilling.com/operators/bc-operating-inc/058893
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bellwether-exploration-company/063865
065314,BENNETT PRODUCTION,"Carthage, TX 75633",https://www.texas-drilling.com/operators/bennett-production/065314
068010,"BERRY BROS. PETROLEUM, INC","Dallas, TX 75219",https://www.texas-drilling.com/operators/berry-bros-petroleum-inc/068010
068324,"BETRO, INC.","Rockdale, TX 76567",https://www.texas-drilling.com/operators/betro-inc/068324
040794,BHEC CORPORATION,"Giddings, TX 78942",https://www.texas-drilling.com/operators/bhec-corporation/040794
072604,BLACK DOME ENERGY CORPORATION,"Golden, CO 80401",https://www.texas-drilling.com/operators/black-dome-energy-corporation/072604
072644,"BLACK GOLD OPERATING CO., INC.","San Antonio, TX 78209",https://www.texas-drilling.com/operators/black-gold-operating-co-inc/072644
072744,"BLACK SABLE ENERGY, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/black-sable-energy-llc/072744
072721,BLACK STONE ENERGY COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/black-stone-energy-company/072721
073302,"BLACKSTONE PETRO ENERGY, LP","Austin, TX 78759",https://www.texas-drilling.com/operators/blackstone-petro-energy-lp/073302
075724,"BLESSING ENERGY, INC.","Giddings, TX 78942",https://www.texas-drilling.com/operators/blessing-energy-inc/075724
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",https://www.texas-drilling.com/operators/bommer-engineering-co/081565
081593,"BONARDI, PAUL & BOB","Austin, TX 78701",https://www.texas-drilling.com/operators/bonardi-paul-bob/081593
083266,BOSCO PETROLEUM LLC,"Muenster, TX 76252",https://www.texas-drilling.com/operators/bosco-petroleum-llc/083266
084370,"BOWMAN, FRED INC.","Dallas, TX 75225",https://www.texas-drilling.com/operators/bowman-fred-inc/084370
085950,"BRACY, ADOLPHUS BUILDER","Austin, TX 78765",https://www.texas-drilling.com/operators/bracy-adolphus-builder/085950
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
089910,BRAZOS PARTNERS,"Sugar Land, TX 77478",https://www.texas-drilling.com/operators/brazos-partners/089910
090765,BRENHAM DRILLING CO.,"Brenham, TX 77833",https://www.texas-drilling.com/operators/brenham-drilling-co/090765
090781,"BRENT EXPLORATIONS, INC.","Giddings, TX 78942",https://www.texas-drilling.com/operators/brent-explorations-inc/090781
