Lease Number,Lease Name,Operator Name,Lease Link
000480,A & P OIL & GAS,"Leona, TX 75850",https://www.texas-drilling.com/operators/a-p-oil-gas/000480
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",https://www.texas-drilling.com/operators/adena-exploration-inc/007890
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-resources-corporation/008398
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",https://www.texas-drilling.com/operators/advance-hydrocarbon-corporation/008484
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/alford-petroleum-corp/012443
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",https://www.texas-drilling.com/operators/all-american-operating/013237
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",https://www.texas-drilling.com/operators/alltex-exploration-inc/015050
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
102055,AMERICAN ENERGY TEXAS INC,"Mineral Wells, TX 76067",https://www.texas-drilling.com/operators/american-energy-texas-inc/102055
019809,AMF PRODUCTION COMPANY,"Houston, TX 77090",https://www.texas-drilling.com/operators/amf-production-company/019809
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",https://www.texas-drilling.com/operators/arrow-exploration-company/033189
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",https://www.texas-drilling.com/operators/atasca-resources-inc/035643
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",https://www.texas-drilling.com/operators/austral-oil-company-incorporated/037680
041864,"B.W.O.C., INC.","Plano, TX 75026",https://www.texas-drilling.com/operators/b-w-o-c-inc/041864
