Lease Number,Lease Name,Operator Name,Lease Link
953826,"4A OILFIELD ENTERPRISES, LLC","Longview, TX 75602",https://www.texas-drilling.com/operators/4a-oilfield-enterprises-llc/953826
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
008555,AETHON ENERGY OPERATING LLC,"Dallas, TX 75251",https://www.texas-drilling.com/operators/aethon-energy-operating-llc/008555
018010,"AMERICAN CRUDE, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/american-crude-inc/018010
018060,AMERICAN HUNTER EXPLORATION LTD.,"Canada, 00100",https://www.texas-drilling.com/operators/american-hunter-exploration-ltd/018060
018883,AMERICAN PATRIOT OPERATING CORP.,"Highland, IL 62249",https://www.texas-drilling.com/operators/american-patriot-operating-corp/018883
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/andover-oil-company/023900
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029588,"ARENA RESOURCES, L. L. C.","Longview, TX 75608",https://www.texas-drilling.com/operators/arena-resources-l-l-c/029588
030520,"ARK-LA-TEX ENERGY PARTNERS, LLC","Shreveport, LA 71101",https://www.texas-drilling.com/operators/ark-la-tex-energy-partners-llc/030520
030584,"ARK-LA-TEX ENERGY, L.L.C.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/ark-la-tex-energy-l-l-c/030584
030770,ARKANSAS LOUISIANA GAS CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkansas-louisiana-gas-co/030770
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",https://www.texas-drilling.com/operators/arkla-exploration-co/030790
038712,"AVIAN TECH INTERNATIONAL, INC.","Euless, TX 76040",https://www.texas-drilling.com/operators/avian-tech-international-inc/038712
042327,"BACHTELL OIL & GAS, LTD.","Longview, TX 75605",https://www.texas-drilling.com/operators/bachtell-oil-gas-ltd/042327
042326,"BACHTELL, CHARLES RAY","Longview, TX 75605",https://www.texas-drilling.com/operators/bachtell-charles-ray/042326
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
059400,BEACON PETROLEUM CORPORATION,"Houston, TX 77070",https://www.texas-drilling.com/operators/beacon-petroleum-corporation/059400
060175,"BEASLEY, CODY C.","Shreveport, LA 71161",https://www.texas-drilling.com/operators/beasley-cody-c/060175
061100,BECK RESOURCES INCORPORATED,"Hennessey, OK 73742",https://www.texas-drilling.com/operators/beck-resources-incorporated/061100
072631,"BLACK BAYOU OPERATING, LLC","Fort Worth, TX 76116",https://www.texas-drilling.com/operators/black-bayou-operating-llc/072631
083262,BOSS OPERATING LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/boss-operating-llc/083262
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",https://www.texas-drilling.com/operators/brammer-petroleum-inc/088600
089525,BRASFIELD OIL & GAS COMPANY,"Tyler, TX 75701",https://www.texas-drilling.com/operators/brasfield-oil-gas-company/089525
090732,BREITBURN OPERATING L.P.,"Houston, TX 77002",https://www.texas-drilling.com/operators/breitburn-operating-l-p/090732
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/brg-petroleum-corporation/090874
097320,BROOKS OIL COMPANY,"Kilgore, TX 75662",https://www.texas-drilling.com/operators/brooks-oil-company/097320
097323,BROOKS PETROLEUM COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/brooks-petroleum-company/097323
097327,"BROOKS RESOURCES (TEX), INC.","Shreveport, LA 71104",https://www.texas-drilling.com/operators/brooks-resources-tex-inc/097327
