Lease Number,Lease Name,Operator Name,Lease Link
100327,1859 OPERATING LLC,"San Antonio, TX 78205",https://www.texas-drilling.com/operators/1859-operating-llc/100327
954960,"21ST FOX ENERGY TEXAS, INC.","Brookshire, TX 77423",https://www.texas-drilling.com/operators/21st-fox-energy-texas-inc/954960
396050,"338 OIL & GAS, INC.","Devine, TX 78016",https://www.texas-drilling.com/operators/338-oil-gas-inc/396050
953578,3B RANCH,"Houston, TX 77035",https://www.texas-drilling.com/operators/3b-ranch/953578
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
000148,AAA OIL COMPANY,"Castroville, TX 78009",https://www.texas-drilling.com/operators/aaa-oil-company/000148
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003583,"ACKERMAN, ALBERT C.","Boerne, TX 78006",https://www.texas-drilling.com/operators/ackerman-albert-c/003583
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",https://www.texas-drilling.com/operators/activa-resources-llc/003664
003673,"ACTIVA RESOURCES, LTD.","San Antonio, TX 78205",https://www.texas-drilling.com/operators/activa-resources-ltd/003673
004041,"ADAMS, A. G., THE ESTATE OF","Houston, TX 77251",https://www.texas-drilling.com/operators/adams-a-g-the-estate-of/004041
004020,"ADAMS, A.G.","Houston, TX 77251",https://www.texas-drilling.com/operators/adams-a-g/004020
007915,ADJ COMPANY,"San Antonio, TX 78217",https://www.texas-drilling.com/operators/adj-company/007915
009795,ALAMO ENERGY,"San Antonio, TX 78232",https://www.texas-drilling.com/operators/alamo-energy/009795
011115,"ALBERTA ENERGY RECOVERY, LTD.","Montgomery, TX 77356",https://www.texas-drilling.com/operators/alberta-energy-recovery-ltd/011115
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alhanco-energy-corporation/012465
015630,"ALRICH OIL & GAS, INC.","Corpus Chrsti, TX 78410",https://www.texas-drilling.com/operators/alrich-oil-gas-inc/015630
016943,AMELIA EXPLORATION LLC,"Rowlett, TX 75088",https://www.texas-drilling.com/operators/amelia-exploration-llc/016943
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/american-eagle-resources-inc/017974
020106,"AMINEX USA, INC.","Somerset, TX 78069",https://www.texas-drilling.com/operators/aminex-usa-inc/020106
020564,ANACACHO ENERGY PRODUCTION CO.,"Coppell, TX 75019",https://www.texas-drilling.com/operators/anacacho-energy-production-co/020564
020557,ANACACHO PRODUCTION COMPANY,"Austin, TX 78723",https://www.texas-drilling.com/operators/anacacho-production-company/020557
025355,"ANDY'S OIL COMPANY, INC.","Bowie, TX 76230",https://www.texas-drilling.com/operators/andy-s-oil-company-inc/025355
025380,"ANGERMILLER, ROY L.","Hondo, TX 78861",https://www.texas-drilling.com/operators/angermiller-roy-l/025380
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",https://www.texas-drilling.com/operators/anschutz-corporation-the/025640
026680,"ANTONIO CRUDE OIL CO., INC.","Escondido, CA 92027",https://www.texas-drilling.com/operators/antonio-crude-oil-co-inc/026680
033200,ARROW PETROLEUM COMPANY,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/arrow-petroleum-company/033200
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",https://www.texas-drilling.com/operators/atkinson-clifford-iii/036073
037850,"AUTREY, D. W.","Unknown, XX 99999",https://www.texas-drilling.com/operators/autrey-d-w/037850
039682,"AZTEC DRILLING & OPERATING, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/aztec-drilling-operating-llc/039682
040397,"B & F OPERATING COMPANY, INC.","Houston, TX 77040",https://www.texas-drilling.com/operators/b-f-operating-company-inc/040397
040553,B & H OIL COMPANY,"Devine, TX 78016",https://www.texas-drilling.com/operators/b-h-oil-company/040553
040734,B & L PRODUCTION CO.,"Dallas, TX 75219",https://www.texas-drilling.com/operators/b-l-production-co/040734
041863,B.T.H. INVESTMENTS,"Corpus Chrsti, TX 78403",https://www.texas-drilling.com/operators/b-t-h-investments/041863
042453,"BAGBY, J. THOMAS, JR.","Houston, TX 77221",https://www.texas-drilling.com/operators/bagby-j-thomas-jr/042453
049753,BAR M PETROLEUM CO.,"Universal Cty, TX 78148",https://www.texas-drilling.com/operators/bar-m-petroleum-co/049753
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/bar-m-petroleum-co-inc/049751
049953,BARNES PRODUCTION,"La Coste, TX 78039",https://www.texas-drilling.com/operators/barnes-production/049953
050300,"BARNES, K. A.","Somerset, TX 78069",https://www.texas-drilling.com/operators/barnes-k-a/050300
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",https://www.texas-drilling.com/operators/barnett-energy-inc/051290
