Lease Number,Lease Name,Operator Name,Lease Link
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",https://www.texas-drilling.com/operators/3tec-energy-corporation/953592
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
000139,A & B WELL SERVICE INC.,"Amarillo, TX 79159",https://www.texas-drilling.com/operators/a-b-well-service-inc/000139
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",https://www.texas-drilling.com/operators/a-c-t-operating-company/000194
006460,ADAMS & MCGAHEY,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/adams-mcgahey/006460
003978,"ADAMS AFFILIATES, INC.","Tulsa, OK 74121",https://www.texas-drilling.com/operators/adams-affiliates-inc/003978
005310,ADAMS ENERGY CO. (TX),"Tulsa, OK 74121",https://www.texas-drilling.com/operators/adams-energy-co-tx/005310
005920,"ADAMS, K. S. JR.","Houston, TX 77001",https://www.texas-drilling.com/operators/adams-k-s-jr/005920
008391,ADOBE OPERATING COMPANY,"Pampa, TX 79066",https://www.texas-drilling.com/operators/adobe-operating-company/008391
008710,AGGIE OIL,"Pampa, TX 79066",https://www.texas-drilling.com/operators/aggie-oil/008710
012467,ALIBATES OPERATORS,"Amarillo, TX 79114",https://www.texas-drilling.com/operators/alibates-operators/012467
014162,ALLIANCE RESOURCES CORPORATION,"Dallas, TX 75367",https://www.texas-drilling.com/operators/alliance-resources-corporation/014162
014573,ALLISON/HOBBS INC.,"Alba, TX 75410",https://www.texas-drilling.com/operators/allison-hobbs-inc/014573
016536,"ALYAHA ENERGY, LLC","Dumas, TX 79029",https://www.texas-drilling.com/operators/alyaha-energy-llc/016536
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
