Lease Number,Lease Name,Operator Name,Lease Link
953535,31 OPERATING LLC,"Kilgore, TX 75663",https://www.texas-drilling.com/operators/31-operating-llc/953535
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
000202,A & D EXPLORATION COMPANY,"Rockport, TX 78381",https://www.texas-drilling.com/operators/a-d-exploration-company/000202
003925,"ADA RESOURCES, INC.","Houston, TX 77001",https://www.texas-drilling.com/operators/ada-resources-inc/003925
007859,"ADDISON OIL, LLC","Addison, TX 75001",https://www.texas-drilling.com/operators/addison-oil-llc/007859
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/alpine-resources-inc/015141
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
017999,"AMERICAN DISPOSAL SERVICES, INC.","Sealy, TX 77474",https://www.texas-drilling.com/operators/american-disposal-services-inc/017999
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",https://www.texas-drilling.com/operators/american-disposal-services-ltd/017995
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",https://www.texas-drilling.com/operators/ammex-petroleum-inc/020413
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-e-p-company-lp/020542
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",https://www.texas-drilling.com/operators/anadarko-e-p-onshore-llc/020528
022548,"ANDERSON PETRO-EQUIPMENT, INC.","Montgomery, TX 77356",https://www.texas-drilling.com/operators/anderson-petro-equipment-inc/022548
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/andress-petroleum-inc/024124
025637,ANR PRODUCTION COMPANY,"Houston, TX 77046",https://www.texas-drilling.com/operators/anr-production-company/025637
102140,"ARCADIA ENERGY RESOURCES, LLC","Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/arcadia-energy-resources-llc/102140
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
029348,ARCO OIL & GAS CO.-SILSBEE,"Lafayette, LA 70505",https://www.texas-drilling.com/operators/arco-oil-gas-co-silsbee/029348
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",https://www.texas-drilling.com/operators/argent-energy-us-holdings-inc/029710
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/atinum-operating-inc/036059
036073,"ATKINSON, CLIFFORD III","San Antonio, TX 78217",https://www.texas-drilling.com/operators/atkinson-clifford-iii/036073
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",https://www.texas-drilling.com/operators/atlantic-richfield-co/036550
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",https://www.texas-drilling.com/operators/austin-resources-corporation/037057
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",https://www.texas-drilling.com/operators/b-m-operating-co-inc/040753
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/bargo-energy-company/049250
051314,"BARNETT OIL INVESTMENTS, INC.","Hobbs, NM 88240",https://www.texas-drilling.com/operators/barnett-oil-investments-inc/051314
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/bass-enterprises-production-co/054700
056580,"BAXTER, MURPHY H.","Houston, TX 77002",https://www.texas-drilling.com/operators/baxter-murphy-h/056580
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",https://www.texas-drilling.com/operators/bay-rock-operating-company/057860
058833,BAYSHORE EXPLORATION LLC,"Bellville, TX 77418",https://www.texas-drilling.com/operators/bayshore-exploration-llc/058833
066993,BERENERGY CORPORATION,"Denver, CO 80217",https://www.texas-drilling.com/operators/berenergy-corporation/066993
