Lease Number,Lease Name,Operator Name,Lease Link
003978,"ADAMS AFFILIATES, INC.","Tulsa, OK 74121",https://www.texas-drilling.com/operators/adams-affiliates-inc/003978
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
026800,"AOG, INC.","Norman, OK 73070",https://www.texas-drilling.com/operators/aog-inc/026800
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
033228,"ARROW OIL & GAS, LLC","Norman, OK 73070",https://www.texas-drilling.com/operators/arrow-oil-gas-llc/033228
039809,"B & B OPERATING, L.P.","Amarillo, TX 79102",https://www.texas-drilling.com/operators/b-b-operating-l-p/039809
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/baker-taylor-drilling-co/046630
058873,"BAYTECH, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/baytech-inc/058873
071349,"BIRD CREEK RESOURCES, INC.","Tulsa, OK 74121",https://www.texas-drilling.com/operators/bird-creek-resources-inc/071349
074344,"BLAKE PRODUCTION COMPANY, INC.","Oklahoma City, OK 73118",https://www.texas-drilling.com/operators/blake-production-company-inc/074344
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",https://www.texas-drilling.com/operators/buffco-production-inc/106406
118732,"BYNG ENERGY GROUP, INC.","Enid, OK 73703",https://www.texas-drilling.com/operators/byng-energy-group-inc/118732
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/c-k-petroleum-inc/120530
126775,CAMBRIDGE & NAIL,"Amarillo, TX 79109",https://www.texas-drilling.com/operators/cambridge-nail/126775
126783,"CAMBRIDGE PRODUCTION, INC.","Amarillo, TX 79120",https://www.texas-drilling.com/operators/cambridge-production-inc/126783
140905,CELERON OIL & GAS CO.,"Houston, TX 77002",https://www.texas-drilling.com/operators/celeron-oil-gas-co/140905
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",https://www.texas-drilling.com/operators/citation-oil-gas-corp/154235
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/coastal-oil-gas-corporation/161639
173783,"CONTINENTAL TREND RESOURCES, INC","Oklahoma City, OK 73126",https://www.texas-drilling.com/operators/continental-trend-resources-inc/173783
206885,"DAVIS, WILLIAM H.","Tulsa, OK 74103",https://www.texas-drilling.com/operators/davis-william-h/206885
102146,EDH DISPOSALS LLC,"Oklahoma City, OK 73101",https://www.texas-drilling.com/operators/edh-disposals-llc/102146
251926,ENERGAS COMPANY,"Lubbock, TX 79408",https://www.texas-drilling.com/operators/energas-company/251926
253275,EP OPERATING COMPANY,"Dallas, TX 75201",https://www.texas-drilling.com/operators/ep-operating-company/253275
256950,"EXECUTIVE PROPERTIES, INC.","Amarillo, TX 79110",https://www.texas-drilling.com/operators/executive-properties-inc/256950
257062,EXTEX OPERATING COMPANY,"Houston, TX 77057",https://www.texas-drilling.com/operators/extex-operating-company/257062
257097,EXXON CORP.,"Houston, TX 77210",https://www.texas-drilling.com/operators/exxon-corp/257097
263501,"FARRELL, ROY JR.","Vernon, TX 76384",https://www.texas-drilling.com/operators/farrell-roy-jr/263501
277925,"FORTAY, INC.","Sunray, TX 79086",https://www.texas-drilling.com/operators/fortay-inc/277925
257610,"FX ENERGY OPERATING, LLC","Canadian, TX 79014",https://www.texas-drilling.com/operators/fx-energy-operating-llc/257610
302450,GETTY OIL CO.,"Midland, TX 79702",https://www.texas-drilling.com/operators/getty-oil-co/302450
328780,GREAT WESTERN DRILLING COMPANY,"Midland, TX 79701",https://www.texas-drilling.com/operators/great-western-drilling-company/328780
339493,GUNN OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/gunn-oil-company/339493
357093,HARKEN EXPLORATION COMPANY,"Houston, TX 77079",https://www.texas-drilling.com/operators/harken-exploration-company/357093
399550,"HOOVER & BRACKEN ENERGIES, INC.","Oklahoma City, OK 73118",https://www.texas-drilling.com/operators/hoover-bracken-energies-inc/399550
408850,"HUBER, J. M., CORPORATION","Edison, NJ 08837",https://www.texas-drilling.com/operators/huber-j-m-corporation/408850
412175,HUGOTON ENERGY CORPORATION,"Oklahoma City, OK 73113",https://www.texas-drilling.com/operators/hugoton-energy-corporation/412175
432283,"JETTA OPERATING COMPANY, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/jetta-operating-company-inc/432283
450610,"KANA RESOURCES, INC.","Dallas, TX 75243",https://www.texas-drilling.com/operators/kana-resources-inc/450610
453170,"KEBO OIL & GAS, INC.","Portland, TX 78374",https://www.texas-drilling.com/operators/kebo-oil-gas-inc/453170
480959,"LADDEX, LTD.","Amarillo, TX 79102",https://www.texas-drilling.com/operators/laddex-ltd/480959
491563,"LBO ENERGY, INC.","Kentfield, CA 94914",https://www.texas-drilling.com/operators/lbo-energy-inc/491563
493435,"LDX OPERATING COMPANY, LLC.","Amarillo, TX 79102",https://www.texas-drilling.com/operators/ldx-operating-company-llc/493435
501545,"LINN OPERATING, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/linn-operating-inc/501545
501480,"LINN OPERATING, LLC","Houston, TX 77002",https://www.texas-drilling.com/operators/linn-operating-llc/501480
514720,LYCO ENERGY CORPORATION,"Dallas, TX 75206",https://www.texas-drilling.com/operators/lyco-energy-corporation/514720
537075,MBB OPERATORS INC.,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/mbb-operators-inc/537075
560930,"MEREX RESOURCES, INC.","Amarillo, TX 79159",https://www.texas-drilling.com/operators/merex-resources-inc/560930
561824,MESA OPERATING CO.,"Irving, TX 75039",https://www.texas-drilling.com/operators/mesa-operating-co/561824
561825,MESA OPERATING LTD PARTNERSHIP,"Amarillo, TX 79189",https://www.texas-drilling.com/operators/mesa-operating-ltd-partnership/561825
562580,MEXTEX OPERATING COMPANY,"Austin, TX 78734",https://www.texas-drilling.com/operators/mextex-operating-company/562580
601747,"NEAS OPERATING, LLC","Wimberley, TX 78676",https://www.texas-drilling.com/operators/neas-operating-llc/601747
100325,"NEC Operating, LLC","Southlake, TX 76092",https://www.texas-drilling.com/operators/nec-operating-llc/100325
628574,"OVERFLOW ENERGY, LLC","Booker, TX 79005",https://www.texas-drilling.com/operators/overflow-energy-llc/628574
634185,PAGE PETROLEUM INC.,"Canada, 00100",https://www.texas-drilling.com/operators/page-petroleum-inc/634185
665748,"PIONEER NATURAL RES. USA, INC.","Irving, TX 75038",https://www.texas-drilling.com/operators/pioneer-natural-res-usa-inc/665748
668898,"POGO PANHANDLE 2004, L.P.","Houston, TX 77002",https://www.texas-drilling.com/operators/pogo-panhandle-2004-l-p/668898
668978,"POLARIS OPERATING, LLC","Dallas, TX 75225",https://www.texas-drilling.com/operators/polaris-operating-llc/668978
676084,PRESIDIO PETROLEUM LLC,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/presidio-petroleum-llc/676084
677050,PRIDE ENERGY COMPANY,"Tulsa, OK 74170",https://www.texas-drilling.com/operators/pride-energy-company/677050
712840,"RIO PETROLEUM, INC.","Amarillo, TX 79102",https://www.texas-drilling.com/operators/rio-petroleum-inc/712840
750186,SCARTH OIL & GAS CO.,"Amarillo, TX 79101",https://www.texas-drilling.com/operators/scarth-oil-gas-co/750186
