Lease Number,Lease Name,Operator Name,Lease Link
953629,2 R OPERATING CO.,"Paradise, TX 76073",https://www.texas-drilling.com/operators/2-r-operating-co/953629
953632,"3 B ENTERPRISES, INC.","Gordon, TX 76453",https://www.texas-drilling.com/operators/3-b-enterprises-inc/953632
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",https://www.texas-drilling.com/operators/3-r-production-inc/953744
953506,"4W OPERATING, LLC","Breckenridge, TX 76424",https://www.texas-drilling.com/operators/4w-operating-llc/953506
988752,9K INVESTMENTS LLC,"Cisco, TX 76437",https://www.texas-drilling.com/operators/9k-investments-llc/988752
000156,"A.V.G. EXPLORATION, INC.","Grapevine, TX 76051",https://www.texas-drilling.com/operators/a-v-g-exploration-inc/000156
003646,"ABX OIL & GAS, INC.","Dallas, TX 75240",https://www.texas-drilling.com/operators/abx-oil-gas-inc/003646
007894,ADEXCO OPERATING COMPANY,"Fort Worth, TX 76102",https://www.texas-drilling.com/operators/adexco-operating-company/007894
007933,"ADKINS, MICHAEL H.","Austin, TX 78747",https://www.texas-drilling.com/operators/adkins-michael-h/007933
009532,"AKERS & FULTZ, INC.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-fultz-inc/009532
009430,"AKERS, B. F.","Graham, TX 76450",https://www.texas-drilling.com/operators/akers-b-f/009430
011100,"ALBERT, DAVID OIL & GAS","Dallas, TX 75240",https://www.texas-drilling.com/operators/albert-david-oil-gas/011100
011085,ALBERT-BISHOP EXPLORATION CO INC,"Dallas, TX 75240",https://www.texas-drilling.com/operators/albert-bishop-exploration-co-inc/011085
013250,"ALL GLORY BEE OIL,GAS&MIN. CORP.","Salt Lake Cty, UT 84124",https://www.texas-drilling.com/operators/all-glory-bee-oil-gas-min-corp/013250
013940,ALLEN & RITCHIE,"Unknown, XX 99999",https://www.texas-drilling.com/operators/allen-ritchie/013940
015138,ALPINE PETROLEUM,"Abilene, TX 79608",https://www.texas-drilling.com/operators/alpine-petroleum/015138
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",https://www.texas-drilling.com/operators/amco-energy-corp/016905
016944,AMEN OIL LLC,"Graham, TX 76450",https://www.texas-drilling.com/operators/amen-oil-llc/016944
018014,"AMERICAN FOSSIL ENERGY, INC.","Dallas, TX 75231",https://www.texas-drilling.com/operators/american-fossil-energy-inc/018014
