Lease Number,Lease Name,Operator Name,Lease Link
953601,3 AMIGOS OIL CO.,"Odessa, TX 79766",https://www.texas-drilling.com/operators/3-amigos-oil-co/953601
953809,3 W OIL & GAS,"Grandfalls, TX 79742",https://www.texas-drilling.com/operators/3-w-oil-gas/953809
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000172,A & B OIL,"Monahans, TX 79756",https://www.texas-drilling.com/operators/a-b-oil/000172
000103,"A & G OIL COMPANY, LLC","Barstow, TX 79719",https://www.texas-drilling.com/operators/a-g-oil-company-llc/000103
000592,A.M. OIL & GAS,"MC Camey, TX 79752",https://www.texas-drilling.com/operators/a-m-oil-gas/000592
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
001530,"ABELL, GEORGE T.","Midland, TX 79702",https://www.texas-drilling.com/operators/abell-george-t/001530
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/abraxas-production-corporation/003140
003391,ACCELL NATURAL GAS COMPANY,"Houston, TX 77042",https://www.texas-drilling.com/operators/accell-natural-gas-company/003391
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",https://www.texas-drilling.com/operators/acoma-operating-llc/003606
003609,"ACORN OIL & GAS, LLC","Iraan, TX 79744",https://www.texas-drilling.com/operators/acorn-oil-gas-llc/003609
005350,ADAMS EXPLORATION CO.,"Tulsa, OK 74147",https://www.texas-drilling.com/operators/adams-exploration-co/005350
007892,ADEPT OIL OPERATORS INC,"Plano, TX 75025",https://www.texas-drilling.com/operators/adept-oil-operators-inc/007892
007912,ADGO RESOURCES LLC,"Midland, TX 79701",https://www.texas-drilling.com/operators/adgo-resources-llc/007912
008507,AEC OPERATING COMPANY,"Roswell, NM 88202",https://www.texas-drilling.com/operators/aec-operating-company/008507
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",https://www.texas-drilling.com/operators/aegis-fluids-management-llc/008551
008530,AERO LIVESTOCK & OIL PRODUCTION,"FT Stockton, TX 79735",https://www.texas-drilling.com/operators/aero-livestock-oil-production/008530
008590,"AGARITA RESOURCES, LLC","Fort Worth, TX 76132",https://www.texas-drilling.com/operators/agarita-resources-llc/008590
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",https://www.texas-drilling.com/operators/aggietech-oil-ltd/008718
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",https://www.texas-drilling.com/operators/aikman-petroleum-inc/009115
