Lease Number,Lease Name,Operator Name,Lease Link
083296,BOTASCH OPERATING,"Dilley, TX 78017",https://www.texas-drilling.com/operators/botasch-operating/083296
139559,"CASHFLOW EXPLORATION, INC.","Rapid City, SD 57701",https://www.texas-drilling.com/operators/cashflow-exploration-inc/139559
158277,"CLARO OPERATING, LLC","San Antonio, TX 78217",https://www.texas-drilling.com/operators/claro-operating-llc/158277
217024,"DIAMONDBACK OPERATING, LP","Tulsa, OK 74132",https://www.texas-drilling.com/operators/diamondback-operating-lp/217024
323030,"GRAHAM, E. L. CORP.","Abilene, TX 79605",https://www.texas-drilling.com/operators/graham-e-l-corp/323030
377075,"HENDERSON, PETER OIL CO.","San Angelo, TX 76906",https://www.texas-drilling.com/operators/henderson-peter-oil-co/377075
394700,"HOLMES EXPLORATION, LLC","Tulsa, OK 74136",https://www.texas-drilling.com/operators/holmes-exploration-llc/394700
518685,MRT EXPLORATION COMPANY,"Saint Louis, MO 63124",https://www.texas-drilling.com/operators/mrt-exploration-company/518685
596636,MUSKEGON DEVELOPMENT COMPANY,"MT Pleasant, MI 48858",https://www.texas-drilling.com/operators/muskegon-development-company/596636
643358,PATRICK EXPLORATION COMPANY,"Tulsa, OK 74136",https://www.texas-drilling.com/operators/patrick-exploration-company/643358
712930,"RIO-TEX, INC.","San Antonio, TX 78217",https://www.texas-drilling.com/operators/rio-tex-inc/712930
749600,SAXON OIL COMPANY,"Midland, TX 79707",https://www.texas-drilling.com/operators/saxon-oil-company/749600
649300,SED ENERGY INC.,"Midland, TX 79702",https://www.texas-drilling.com/operators/sed-energy-inc/649300
785328,"SK & CO. OIL AND GAS OPER., LLC","Dallas, TX 75219",https://www.texas-drilling.com/operators/sk-co-oil-and-gas-oper-llc/785328
840865,TEAL PETROLEUM COMPANY,"Houston, TX 77002",https://www.texas-drilling.com/operators/teal-petroleum-company/840865
846935,TEXAS OPERATING & PRODUCTION CO.,"San Antonio, TX 78209",https://www.texas-drilling.com/operators/texas-operating-production-co/846935
848560,"TEXEN RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/texen-resources-inc/848560
942185,WORLDWIDE ENERGY CORPORATION,"Freer, TX 78357",https://www.texas-drilling.com/operators/worldwide-energy-corporation/942185
