Lease Number,Lease Name,Operator Name,Lease Link
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",https://www.texas-drilling.com/operators/2-d-oil-gas-llc/953828
953768,"38 OIL & GAS, L.L.C.","Fullerton, CA 92834",https://www.texas-drilling.com/operators/38-oil-gas-l-l-c/953768
953700,"7HF OIL CO., LTD.","Refugio, TX 78377",https://www.texas-drilling.com/operators/7hf-oil-co-ltd/953700
000133,A T M CORPORATION,"Mathis, TX 78368",https://www.texas-drilling.com/operators/a-t-m-corporation/000133
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003593,ACOCK ENG & SHOREHAM OIL & GAS,"Corpus Chrsti, TX 78404",https://www.texas-drilling.com/operators/acock-eng-shoreham-oil-gas/003593
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003595,ACOCK ENGINEERING & OPERATING CO,"Corpus Chrsti, TX 78463",https://www.texas-drilling.com/operators/acock-engineering-operating-co/003595
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
003996,ADAMS RESOURCES EXPL. CORP.,"Houston, TX 77001",https://www.texas-drilling.com/operators/adams-resources-expl-corp/003996
008477,"ADT INVESTMENTS, INC.","Austin, TX 78749",https://www.texas-drilling.com/operators/adt-investments-inc/008477
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
010070,ALAMO PET. CO.,"Houston, TX 77042",https://www.texas-drilling.com/operators/alamo-pet-co/010070
013365,"ALLEGIANT RESOURCES, LLC","Lafayette, LA 70503",https://www.texas-drilling.com/operators/allegiant-resources-llc/013365
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",https://www.texas-drilling.com/operators/allegro-investments-inc/013305
016541,ALYNDSON OIL & GAS INC.,"Alice, TX 78333",https://www.texas-drilling.com/operators/alyndson-oil-gas-inc/016541
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/amcole-energy-corp/016917
018046,"AMERICAN ENERGY PARTNERS, INC.","Boerne, TX 78006",https://www.texas-drilling.com/operators/american-energy-partners-inc/018046
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/american-int-l-energy-corp/018395
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/american-shoreline-inc/019365
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",https://www.texas-drilling.com/operators/americo-energy-resources-llc/019752
019930,"AMHERST EXPLORATION CO., INC.","Arlington, TX 76016",https://www.texas-drilling.com/operators/amherst-exploration-co-inc/019930
