Lease Number,Lease Name,Operator Name,Lease Link
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953803,"4P ENERGY TEXAS, LLC","Denver, CO 80206",https://www.texas-drilling.com/operators/4p-energy-texas-llc/953803
003100,"ABRAHAM, MALOUF COMPANY, INC.","Canadian, TX 79014",https://www.texas-drilling.com/operators/abraham-malouf-company-inc/003100
003110,"ABRAHAM, MALOUF INC.","Pampa, TX 79066",https://www.texas-drilling.com/operators/abraham-malouf-inc/003110
008716,"AGHORN OPERATING, INC.","Odessa, TX 79768",https://www.texas-drilling.com/operators/aghorn-operating-inc/008716
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",https://www.texas-drilling.com/operators/alpar-resources-inc/015100
016802,"AMARILLO EXPLORATION, INC.","Dallas, TX 75360",https://www.texas-drilling.com/operators/amarillo-exploration-inc/016802
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",https://www.texas-drilling.com/operators/amarillo-oil-co/016830
016859,AMAX OIL & GAS INC.,"Fort Worth, TX 76107",https://www.texas-drilling.com/operators/amax-oil-gas-inc/016859
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/amax-petroleum-corporation/016860
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",https://www.texas-drilling.com/operators/american-exploration-company/018023
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",https://www.texas-drilling.com/operators/american-public-energy-co/018930
019762,AMERICO OIL COMPANY,"Oklahoma City, OK 73154",https://www.texas-drilling.com/operators/americo-oil-company/019762
020403,"AMMO ENERGY, LLC","Oklahoma City, OK 73160",https://www.texas-drilling.com/operators/ammo-energy-llc/020403
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",https://www.texas-drilling.com/operators/anadarko-petroleum-corporation/020572
020573,ANANDA ENERGY INC.,"Pampa, TX 79065",https://www.texas-drilling.com/operators/ananda-energy-inc/020573
027200,APACHE CORPORATION,"Houston, TX 77042",https://www.texas-drilling.com/operators/apache-corporation/027200
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",https://www.texas-drilling.com/operators/arco-oil-gas-co/029340
033130,ARRINGTON BROTHERS,"Pampa, TX 79066",https://www.texas-drilling.com/operators/arrington-brothers/033130
033134,"ARRINGTON CJM, INC.","Canadian, TX 79014",https://www.texas-drilling.com/operators/arrington-cjm-inc/033134
034160,ASE OPERATIONS LLC,"Dallas, TX 75205",https://www.texas-drilling.com/operators/ase-operations-llc/034160
036051,"ATHENA ENERGY, INC.","Gallatin, TN 37066",https://www.texas-drilling.com/operators/athena-energy-inc/036051
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",https://www.texas-drilling.com/operators/atlantic-richfield-co/036550
036587,ATLAS OPERATING LLC,"Houston, TX 77056",https://www.texas-drilling.com/operators/atlas-operating-llc/036587
039141,"AXIO PRODUCTION COMPANY, L.P.","Tulsa, OK 74103",https://www.texas-drilling.com/operators/axio-production-company-l-p/039141
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",https://www.texas-drilling.com/operators/axis-energy-corporation/039136
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",https://www.texas-drilling.com/operators/b-b-farm-industries-inc/039780
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",https://www.texas-drilling.com/operators/b-and-g-production-inc/039870
046630,BAKER & TAYLOR DRILLING CO.,"Amarillo, TX 79105",https://www.texas-drilling.com/operators/baker-taylor-drilling-co/046630
048163,BALL OIL FIELD SERVICE,"Eastland, TX 76448",https://www.texas-drilling.com/operators/ball-oil-field-service/048163
048540,BANNON ENERGY INCORPORATED,"Houston, TX 77068",https://www.texas-drilling.com/operators/bannon-energy-incorporated/048540
053051,BARRETT RESOURCES CORPORATION,"Denver, CO 80202",https://www.texas-drilling.com/operators/barrett-resources-corporation/053051
056384,"BATTON OIL & GAS, LLC","Spearman, TX 79081",https://www.texas-drilling.com/operators/batton-oil-gas-llc/056384
040205,BCE-MACH II LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-ii-llc/040205
040209,BCE-MACH III LLC,"Oklahoma City, OK 73134",https://www.texas-drilling.com/operators/bce-mach-iii-llc/040209
100676,"BE Anadarko II, LLC","Austin, TX 78731",https://www.texas-drilling.com/operators/be-anadarko-ii-llc/100676
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",https://www.texas-drilling.com/operators/beach-exploration-inc/058915
060100,BEARD OIL COMPANY,"Oklahoma City, OK 73102",https://www.texas-drilling.com/operators/beard-oil-company/060100
072564,BISON PETROLEUM CORPORATION,"Amarillo, TX 79121",https://www.texas-drilling.com/operators/bison-petroleum-corporation/072564
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",https://www.texas-drilling.com/operators/blackbeard-operating-llc/073056
076762,BLUE DOLPHIN PRODUCTION LLC,"Oklahoma City, OK 73142",https://www.texas-drilling.com/operators/blue-dolphin-production-llc/076762
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",https://www.texas-drilling.com/operators/bluegrass-energy-inc/076848
