Lease Number,Lease Name,Operator Name,Lease Link
101841,2MC Consulting LLC,"San Angelo, TX 76901",https://www.texas-drilling.com/operators/2mc-consulting-llc/101841
953706,3-M ENERGY CORPORATION,"San Angelo, TX 76902",https://www.texas-drilling.com/operators/3-m-energy-corporation/953706
953760,4R OIL COMPANY,"Tyler, TX 75703",https://www.texas-drilling.com/operators/4r-oil-company/953760
954992,"7S OIL & GAS, LLC","Midland, TX 79706",https://www.texas-drilling.com/operators/7s-oil-gas-llc/954992
000173,A & B OIL COMPANY,"Lubbock, TX 79413",https://www.texas-drilling.com/operators/a-b-oil-company/000173
000151,A A PRODUCTION INC.,"Midland, TX 79701",https://www.texas-drilling.com/operators/a-a-production-inc/000151
000254,A.K.C. OPERATING,"Midland, TX 79708",https://www.texas-drilling.com/operators/a-k-c-operating/000254
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",https://www.texas-drilling.com/operators/abco-energy-corporation/001245
001420,ABEL PRODUCTION COMPANY,"San Angelo, TX 76904",https://www.texas-drilling.com/operators/abel-production-company/001420
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",https://www.texas-drilling.com/operators/adobe-oil-gas-corp/008380
000834,"AEON OPERATING, INC.","Fate, TX 75132",https://www.texas-drilling.com/operators/aeon-operating-inc/000834
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",https://www.texas-drilling.com/operators/alford-petroleum-corp/012443
015140,ALPS OIL COMPANY,"Odessa, TX 79760",https://www.texas-drilling.com/operators/alps-oil-company/015140
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",https://www.texas-drilling.com/operators/alta-energy-corporation/015734
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",https://www.texas-drilling.com/operators/american-cometra-inc/018008
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",https://www.texas-drilling.com/operators/american-petrofina-co-of-tex/018900
020440,AMOCO PRODUCTION CO.-ODESSA,"Odessa, TX 79760",https://www.texas-drilling.com/operators/amoco-production-co-odessa/020440
