Lease Number,Lease Name,Operator Name,Lease Link
856467,84 ENERGY LLC,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/84-energy-llc/856467
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",https://www.texas-drilling.com/operators/alamo-operating-company-l-c/010074
018857,AMERICAN NAT. GAS PROD. CO.,"Houston, TX 77056",https://www.texas-drilling.com/operators/american-nat-gas-prod-co/018857
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",https://www.texas-drilling.com/operators/ammex-petroleum-inc/020413
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",https://www.texas-drilling.com/operators/amoco-production-company/020425
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/anderson-oil-ltd/022499
025691,"ANTARA RESOURCES, INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/antara-resources-inc/025691
028801,"ARAXAS EXPLORATION, INC.","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/araxas-exploration-inc/028801
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",https://www.texas-drilling.com/operators/ballard-exploration-company-inc/048169
053321,BARROW-SHAVER RESOURCES CO.,"Tyler, TX 75703",https://www.texas-drilling.com/operators/barrow-shaver-resources-co/053321
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",https://www.texas-drilling.com/operators/basa-resources-inc/053974
056555,"BAXTER, KELLY H.","Austin, TX 78767",https://www.texas-drilling.com/operators/baxter-kelly-h/056555
058912,"BAYTEX USA DEVELOPMENT, LLC","Houston, TX 77056",https://www.texas-drilling.com/operators/baytex-usa-development-llc/058912
069438,BIG HICKORY PRODUCTION CO.,"Dallas, TX 75244",https://www.texas-drilling.com/operators/big-hickory-production-co/069438
081589,BONANZA PETROLEUM INC.,"Houston, TX 77074",https://www.texas-drilling.com/operators/bonanza-petroleum-inc/081589
085355,BP EXPLORATION INC.,"Houston, TX 77210",https://www.texas-drilling.com/operators/bp-exploration-inc/085355
088595,"BRAMMER ENGINEERING, INC.","Shreveport, LA 71101",https://www.texas-drilling.com/operators/brammer-engineering-inc/088595
105970,"BUCKEYE ENERGY, INC.","Midland, TX 79702",https://www.texas-drilling.com/operators/buckeye-energy-inc/105970
153460,CINCO EXPLORATION COMPANY,"Houston, TX 77215",https://www.texas-drilling.com/operators/cinco-exploration-company/153460
161927,"COASTAL WELL SALVAGE, INC.","Houston, TX 77079",https://www.texas-drilling.com/operators/coastal-well-salvage-inc/161927
