Lease Number,Lease Name,Operator Name,Lease Link
953637,1988 INDEXGEO JV,"Houston, TX 77002",https://www.texas-drilling.com/operators/1988-indexgeo-jv/953637
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",https://www.texas-drilling.com/operators/a-r-resources/000578
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",https://www.texas-drilling.com/operators/a-j-m-oil-company/000253
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",https://www.texas-drilling.com/operators/abaco-operating-llc/000894
002623,"ABI MANAGEMENT GROUP, INC.","Houston, TX 77036",https://www.texas-drilling.com/operators/abi-management-group-inc/002623
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",https://www.texas-drilling.com/operators/abraxas-petroleum-corporation/003125
003645,"AC EXPLORATION, LLC","Houston, TX 77024",https://www.texas-drilling.com/operators/ac-exploration-llc/003645
003400,ACCO OIL & GAS COMPANY,"Houston, TX 77056",https://www.texas-drilling.com/operators/acco-oil-gas-company/003400
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-engineering-assoc-inc/003594
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",https://www.texas-drilling.com/operators/acock-operating-limited/003596
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lc/003598
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",https://www.texas-drilling.com/operators/acock-anaqua-operating-co-lp/003599
003605,ACOMA OIL CORPORATION,"Saint Paul, MN 55102",https://www.texas-drilling.com/operators/acoma-oil-corporation/003605
008264,"ADOBE ENERGY, INC.","The Woodlands, TX 77380",https://www.texas-drilling.com/operators/adobe-energy-inc/008264
008511,"ADVANTAGE OIL & GAS, INC.","Pinehurst, TX 77362",https://www.texas-drilling.com/operators/advantage-oil-gas-inc/008511
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",https://www.texas-drilling.com/operators/aikman-oil-corp/009105
009765,AL-TX OPERATING INC.,"Plum, TX 78952",https://www.texas-drilling.com/operators/al-tx-operating-inc/009765
011160,"ALBRECHT, PHIL A., JR.","Victoria, TX 77901",https://www.texas-drilling.com/operators/albrecht-phil-a-jr/011160
012214,"ALEXANDER, HERBERT R. INC.","Houma, LA 70360",https://www.texas-drilling.com/operators/alexander-herbert-r-inc/012214
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",https://www.texas-drilling.com/operators/allegro-investments-inc/013305
014445,ALLIED OIL CO.,"Archer City, TX 76351",https://www.texas-drilling.com/operators/allied-oil-co/014445
