Lease Number,Lease Name,Operator Name,Lease Link
953583,2 S OPERATING,"Iowa Park, TX 76367",https://www.texas-drilling.com/operators/2-s-operating/953583
953773,3 W OIL,"Vernon, TX 76384",https://www.texas-drilling.com/operators/3-w-oil/953773
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/3-t-exploration-inc/953682
953724,4-J OIL CO.,"Ryan, OK 73565",https://www.texas-drilling.com/operators/4-j-oil-co/953724
953790,4J OIL CO. LLC,"Ryan, OK 73565",https://www.texas-drilling.com/operators/4j-oil-co-llc/953790
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/5-g-resources-llc/953465
000456,A-E OPERATING COMMITTEE,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/a-e-operating-committee/000456
000587,"A-S ENERGY, INC.","Dallas, TX 75201",https://www.texas-drilling.com/operators/a-s-energy-inc/000587
000118,AAA OIL TRUST,"Weatherford, TX 76088",https://www.texas-drilling.com/operators/aaa-oil-trust/000118
000203,ABC NRG,"Vernon, TX 76384",https://www.texas-drilling.com/operators/abc-nrg/000203
003304,ACADIA OIL COMPANY,"Wichita Falls, TX 76309",https://www.texas-drilling.com/operators/acadia-oil-company/003304
003312,"ACADIA OIL, LLC","Wichita Falls, TX 76310",https://www.texas-drilling.com/operators/acadia-oil-llc/003312
003393,ACCESS RESOURCES INC.,"Healdton, OK 73438",https://www.texas-drilling.com/operators/access-resources-inc/003393
008494,ADVANTAGE OIL COMPANY,"Wichita Falls, TX 76307",https://www.texas-drilling.com/operators/advantage-oil-company/008494
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",https://www.texas-drilling.com/operators/aegis-fluids-management-llc/008551
000834,"AEON OPERATING, INC.","Fate, TX 75132",https://www.texas-drilling.com/operators/aeon-operating-inc/000834
008593,"AGAVE OPERATING COMPANY, INC.","Holliday, TX 76366",https://www.texas-drilling.com/operators/agave-operating-company-inc/008593
009515,AIRLION ENERGY,"Dallas, TX 75209",https://www.texas-drilling.com/operators/airlion-energy/009515
000591,AK OPERATING CO.,"Wichita Falls, TX 76308",https://www.texas-drilling.com/operators/ak-operating-co/000591
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",https://www.texas-drilling.com/operators/akins-oil-company/009583
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",https://www.texas-drilling.com/operators/alpha-exploration-co/015123
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",https://www.texas-drilling.com/operators/amerada-hess-corporation/016980
