Operator Number,Operator Name,Location,Leases
623407,1836 ENERGY LLC,"El Campo, TX 77437",
194375,"1894 PETROLEUM PARTNERS, LLC","Odessa, TX 79765",2
953798,"3 TEN RESOURCES, INC.","Fort Worth, TX 76116",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
954992,"7S OIL & GAS, LLC","Midland, TX 79706",
000388,A K & K ENTERPRISES LLC,"Aubrey, TX 76227",
000918,"ABARTA OIL & GAS CO., INC.","Pittsburgh, PA 15238",
003567,ACHILLES ENERGY LLC,"Andrews, TX 79714",
007920,ADKINS PRODUCTION,"Andrews, TX 79714",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
100158,Admiral Permian Operating LLC,"Midland, TX 79701",1
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008398,ADOBE RESOURCES CORPORATION,"Houston, TX 77057",
000222,"ADS OPERATING, INC.","Houston, TX 77257",
008493,"ADVENTURE EXPLORATION PTRS, LLC","Midland, TX 79702",
008536,AETHON I LP,"Dallas, TX 75206",
008718,"AGGIETECH OIL, LTD.","Midland, TX 79701",
008716,"AGHORN OPERATING, INC.","Odessa, TX 79768",94
009534,"AJ'S PUMP TRUCK SERVICE, INC.","Odessa, TX 79760",
000597,"AJAX RESOURCES, LLC","Houston, TX 77046",
013296,ALLEDER INC.,"Midland, TX 79702",9
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",20
019773,AMERIND OIL CO.,"Midland, TX 79701",
019756,"AMERIND OIL COMPANY, LTD.","Midland, TX 79701",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020430,AMOCO PRODUCTION CO.-ANDREWS,"Andrews, TX 79714",
020440,AMOCO PRODUCTION CO.-ODESSA,"Odessa, TX 79760",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
020783,ANDECTOR EXPLORATION COMPANY,"Midland, TX 79702",3
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
024326,"ANDREWS COUNTY WASTE DISP, LLC","Fredericksbrg, TX 78624",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
025698,"ANTELOPE ENERGY COMPANY, LLC","Denver, CO 80202",
026415,"ANTHONY, BOB G. INC.","Brookhaven, MS 39601",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028723,ARATEX PRODUCTION COMPANY,"Denver, CO 80202",
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029270,ARCH PETROLEUM INC.,"Houston, TX 77252",
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029347,ARCO PERMIAN,"Houston, TX 77079",
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",
029655,"ARES ENERGY, LTD.","Midland, TX 79701",28
029975,"ARGUS DRILLING, LLC","Midland, TX 79702",
033049,AROC (TEXAS) INC.,"Houston, TX 77090",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
033226,ARROW OPERATING COMPANY,"Dallas, TX 75231",
033840,"ARY, J. KIRK","Midland, TX 79708",
035285,"ASHTON OIL & GAS CO., INC.","Austin, TX 78701",
035310,"ASHTON, CLIFFORD ESTATE","Midland, TX 79702",
035442,ASPEN ENERGY CORPORATION,"Dallas, TX 75206",
035441,"ASPEN ENERGY GROUP, INC.","Santa Ynez, CA 93460",
035410,"ASPEN EXPLORATION, INC.","Houston, TX 77002",
035430,"ASPEN OPERATING COMPANY, L.L.C.","Fort Worth, TX 76116",3
035633,ATAPCO,"Houston, TX 77040",
036047,ATHLON ENERGY OPERATING LLC,"Denver, CO 80202",
036067,ATHLON HOLDINGS LP,"Denver, CO 80202",
036062,ATKINS PETROLEUM CORP.,"Austin, TX 78711",
