Operator Number,Operator Name,Location,Leases
953583,2 S OPERATING,"Iowa Park, TX 76367",
953614,2 T PRODUCTION,"Bowie, TX 76230",
953667,2-C OPERATING,"Archer City, TX 76351",
857690,3 & 1 TRUSTS,"Unknown, XX 99999",
953713,3 M LAND & CATTLE CO,"Archer City, TX 76351",
953798,"3 TEN RESOURCES, INC.","Fort Worth, TX 76116",
857497,3-C,"Olney, TX 76374",
953618,"3-D LAND, OIL & GAS COMPANY","Wichita Falls, TX 76301",
953711,3-J FARMS,"Olney, TX 76374",
857685,3-M OIL COMPANY,"Olney, TX 76374",
953744,"3-R PRODUCTION, INC.","Jacksboro, TX 76458",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953793,3D PETROLEUM CORP.,"Norcross, GA 30092",
953582,"3HP, INC.","Brownwood, TX 76804",
953722,4-E OPERATING,"Archer City, TX 76351",
953724,4-J OIL CO.,"Ryan, OK 73565",
953790,4J OIL CO. LLC,"Ryan, OK 73565",5
953465,"5 G RESOURCES, LLC","Wichita Falls, TX 76308",
953792,5-S OPERATING,"Wichita Falls, TX 76308",
953769,6 M OPERATING CO,"Archer City, TX 76351",
000184,A & B MINERALS,"Scotland, TX 76379",
000208,A & B PRODUCTION,"Archer City, TX 76351",
000151,A A PRODUCTION INC.,"Midland, TX 79701",
000142,A B ENERGY INC.,"Wichita Falls, TX 76301",
000193,"A.F.V. ENERGY, INC.","Dallas, TX 75202",
000118,AAA OIL TRUST,"Weatherford, TX 76088",
000919,ABB DRILLING COMPANY,"Wichita Falls, TX 76310",
000920,"ABB DRILLING COMPANY, INC.","Wichita Falls, TX 76301",
000921,"ABB OIL CO., INC.","Wichita Falls, TX 76310",8
003640,ACA OIL CO.,"Graham, TX 76450",
003312,"ACADIA OIL, LLC","Wichita Falls, TX 76310",
003586,ACME OIL CO. OF ARCHER COUNTY,"Archer City, TX 76351",
003750,ADA EXPLORATION,"Olney, TX 76374",1
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
007858,"ADDAX OPERATING, LLC","Wichita Falls, TX 76307",5
007868,"ADDISON - GRAVES, L.L.C.","Archer City, TX 76351",2
007854,"ADDISON, KENNETH","Archer City, TX 76351",
007856,"ADDISON, LEON","Holliday, TX 76366",
008494,ADVANTAGE OIL COMPANY,"Wichita Falls, TX 76307",
008572,AG OPERATING COMPANY LLC,"Monsey, NY 10952",
009522,"AKEA, INC.","Holliday, TX 76366",3
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",10
010069,ALAMO OPERATING CO.,"Alice, TX 78333",
010071,"ALAMO OPERATING CO., INC.","Wichita Falls, TX 76302",
010078,ALAMOSA OPERATING COMPANY,"Fort Worth, TX 76102",
011204,ALCO OIL & GAS CO. LLC,"Wichita Falls, TX 76301",
011478,"ALCORN, JERRY D.","Grand Prairie, TX 75050",2
012374,"ALEXANDER, STANLEY","Electra, TX 76360",
014445,ALLIED OIL CO.,"Archer City, TX 76351",
014984,"ALLMON OPERATING CO., INC.","Lubbock, TX 79452",
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
015728,"ALTEX RESOURCES, INC.","Carney, OK 74832",
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",
016944,AMEN OIL LLC,"Graham, TX 76450",
017970,AMERICAN EAGLE OPERATING LLC,"Gainesville, TX 76240",
