Operator Number,Operator Name,Location,Leases
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953755,3 W INVESTMENTS,"Charlotte, TX 78011",
953810,3 W INVESTMENTS LLC,"San Antonio, TX 78217",
953747,3-G OPERATING COMPANY,"Houston, TX 77244",
953728,3-L DRILLING,"Abilene, TX 79605",
396050,"338 OIL & GAS, INC.","Devine, TX 78016",
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",19
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003140,ABRAXAS PRODUCTION CORPORATION,"San Antonio, TX 78270",
003575,"ACIETEROS, LTD.","Austin, TX 78761",
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003609,"ACORN OIL & GAS, LLC","Iraan, TX 79744",7
003664,"ACTIVA RESOURCES, LLC","San Antonio, TX 78205",10
008571,AGAPE ENERGY INC.,"San Antonio, TX 78280",
011205,ALCO OIL COMPANY,"Lytle, TX 78052",
011260,"ALCOR ENERGY, INC.","San Antonio, TX 78239",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
013985,"ALLEN & SHUMATE, INC.","Alice, TX 78333",
013770,"ALLEN, HERBERT C. JR.","Houston, TX 77054",
014155,ALLIANCE EXPLORATION CORPORATION,"Houston, TX 77002",
015630,"ALRICH OIL & GAS, INC.","Corpus Chrsti, TX 78410",
100434,Alvarado 2014 LLC,"Houston, TX 77027",4
016560,"AMAL OIL CO, INC.","Austin, TX 78701",
016884,AMBERTON EXPLORATION COMPANY,"Pleasanton, TX 78064",
018007,"AMERICAN COASTAL ENERGY, INC.","Houston, TX 77225",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
017995,"AMERICAN DISPOSAL SERVICES,LTD","Marble Falls, TX 78654",
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",
018026,AMERICAN ENERGY DEVELOPMENT CO.,"Midland, TX 79701",
019752,"AMERICO ENERGY RESOURCES, LLC","Houston, TX 77063",20
020106,"AMINEX USA, INC.","Somerset, TX 78069",
020413,"AMMEX PETROLEUM, INC.","El Paso, TX 79901",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
