Operator Number,Operator Name,Location,Leases
000578,A & R RESOURCES,"Corpus Chrsti, TX 78411",
000457,"A-N-A OPERATING COMPANY, INC.","Houston, TX 77061",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
000550,A.R.D.,"Brenham, TX 77833",
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
008725,"AGOIL, INC.","Victoria, TX 77901",
010070,ALAMO PET. CO.,"Houston, TX 77042",
013237,ALL AMERICAN OPERATING,"Conroe, TX 77305",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
020470,AMPOLEX (TEXAS) INC.,"Denver, CO 80202",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
033181,ARRIOLA OPERATING & CONSLTG INC.,"Dallas, TX 75248",
035633,ATAPCO,"Houston, TX 77040",
037057,AUSTIN RESOURCES CORPORATION,"Houston, TX 77027",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
054490,BASIN OPERATING CO. LTD.,"Tyler, TX 75703",
060111,"BEAR CREEK ENERGY, LLC","Sealy, TX 77474",14
068300,"BETA OPERATING COMPANY, LLC","Houston, TX 77210",
075368,BLEZINGER PRODUCTION,"New Ulm, TX 78950",
086250,BRADCO OIL & GAS CO.,"Houston, TX 77002",
090765,BRENHAM DRILLING CO.,"Brenham, TX 77833",2
091041,"BRIDAS ENERGY USA, INC.","The Woodlands, TX 77380",
111030,BURNS PRODUCTION CORPORATION,"Midland, TX 79701",
122585,CAG PETROLEUM CORP.,"Dallas, TX 75382",
124824,CALLON PETROLEUM CO.,"Natchez, MS 39120",
129968,CANYON PETROLEUM COMPANY,"Burkburnett, TX 76354",
130830,CARDINAL WELL SERVICE INC.,"Conroe, TX 77305",
135180,"CARR RESOURCES, INC.","Tyler, TX 75702",4
141150,"CENTEX OIL & GAS, INCORPORATED","Dallas, TX 75231",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
167000,CO-KAL OIL COMPANY,"Brenham, TX 77833",
163006,COBRA OPERATING COMPANY,"Houston, TX 77002",
163092,"COCHRAN ENERGY, LLC","Bellville, TX 77418",
165070,"COFFEE, JOHN B.","Houston, TX 77098",
169600,"COMET OIL & GAS, INC.","Conroe, TX 77305",
169662,COMET PRODUCTION,"Conroe, TX 77305",
172740,"CONSOLIDATED OIL & GAS, INC.","Denver, CO 80202",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
186835,CRAWFORD HUGHES OPERATING CO.,"The Woodlands, TX 77380",13
189981,CRIMSON EXPLORATION INC.,"Houston, TX 77060",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
195802,"CYMRAEC RESOURCES, INC.","Houston, TX 77060",
206061,DAVIS PETROLEUM CORP.,"Houston, TX 77027",
208171,DAYLIGHT PETROLEUM LLC,"Houston, TX 77052",100
222289,DOME OPERATING LLC,"Dallas, TX 75248",
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
223475,"DORCHESTER EXPLORATION, INC.","Houston, TX 77210",
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
238606,E R I LTD.,"Houston, TX 77002",
238558,E.G. OPERATING,"Dallas, TX 75206",
247835,ELLIOTT OIL & GAS COMPANY,"The Woodlands, TX 77380",
247836,ELLIOTT OIL & GAS OPERATING CO.,"Magnolia, TX 77354",
247838,"ELLIOTT OIL COMPANY, L.P.","Magnolia, TX 77354",
251740,"ENERGY 2000, INC.","Reno, NV 89501",
251955,ENERGY DEVELOPMENT CORP.,"Houston, TX 77067",
252131,"ENERVEST OPERATING, L.L.C.","Houston, TX 77002",
252470,ENHANCED ENERGY PARTNERS CORP,"Tomball, TX 77377",30
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253161,ENTERPRISE PRODUCTS OPERATING LP,"Houston, TX 77210",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
255130,ETOCO INCORPORATED,"Houston, TX 77002",
255133,"ETOCO, L.P.","Houston, TX 77002",20
257068,EXPRESS OIL CO.,"Hallettsville, TX 77964",
257097,EXXON CORP.,"Houston, TX 77210",
257595,F-W OIL EXPLORATION L.L.C.,"Houston, TX 77024",
261273,"FAMCOR OIL, INC.","Scottsdale, AZ 85260",
263489,"FARRELL, JAMES E. (ED)","Brookshire, TX 77423",
263701,"FAULCONER, VERNON E., INC.","Tyler, TX 75711",
271310,"FIVE-JAB, INC.","Tomball, TX 77377",
275740,FOREST OIL CORPORATION,"Houston, TX 77002",
277908,"FORT APACHE ENERGY, INC.","Boerne, TX 78015",12
277930,FT. BEND OIL CO.,"Houston, TX 77002",
291672,FUTURE PETROLEUM CORPORATION,"Houston, TX 77002",
293089,"GAINCO, INC.","Portland, TX 78374",
293096,"GALAXY ENERGIES, INC.","Houston, TX 77002",
297089,"GASPER RICE RESOURCES, LTD.","Houston, TX 77068",
298984,"GEISER OPERATING, INC.","Portland, TX 78374",
301287,GEOSOUTHERN ENERGY CORPORATION,"The Woodlands, TX 77380",17
315108,GOODRICH OIL COMPANY,"Shreveport, LA 71101",
314909,GOODRICH PETROLEUM COMPANY,"Houston, TX 77002",
317150,GORDY OIL COMPANY,"Houston, TX 77007",39
324140,"GRAHAM ROYALTY, LTD.","Covington, LA 70434",
328771,GREAT TEXAS OIL & GAS TRUST,"Sealy, TX 77474",
334139,GRIMES ENERGY COMPANY,"Abilene, TX 79604",
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",
338740,GULFSTREAM PETROLEUM CORP.,"Normangee, TX 77871",
342880,"HAHN, THEO","Brenham, TX 77833",
344412,"HALCON OPERATING CO., INC.","Houston, TX 77024",89
348010,"HAMILL RESOURCES, INC.","Houston, TX 77002",
347650,"HAMILL, CLAUD B.","Houston, TX 77002",
347653,"HAMILL, CLAUD B. ESTATE OF","Houston, TX 77002",
350200,HAMMAN OIL & REFINING COMPANY,"Houston, TX 77098",2
355090,HANOVER MANAGEMENT CO.,"Dallas, TX 75201",
355420,HANSON MINERALS CO.,"Houston, TX 77042",
356795,HARDWICK OIL COMPANY,"Sugar Land, TX 77478",
373731,"HELIA TEC RESOURCES, INC.","Houston, TX 77027",
385551,"HIGH PLAINS GAS SYSTEMS, INC.","Houston, TX 77019",
386310,HILCORP ENERGY COMPANY,"Houston, TX 77208",5939
390547,"HMX INVESTMENTS, INC.","Katy, TX 77494",
396852,HOME PETROLEUM CORP.,"Victoria, TX 77902",68
400107,"HORIZONTAL PRODUCTION, INC.","Somerville, TX 77879",
407779,"HS RESOURCES, INC.","Denver, CO 80202",
423730,"INDEXGEO & ASSOCIATES, INC.","Houston, TX 77002",
424176,INEOS USA OIL & GAS LLC,"Denver, CO 80202",853
424200,INEXCO OIL COMPANY,"Houston, TX 77210",
424607,"INLAND OCEAN, INC.","San Antonio, TX 78205",
424776,"INTEGRITY PETROLEUM GROUP, INC.","Sugar Land, TX 77478",
425810,IPACT,"Austin, TX 78734",
426612,IRONROC ENERGY,"The Woodlands, TX 77381",
429661,"JAMEX II LTD., L.L.P.","Dallas, TX 75252",
429659,"JAMEX, INC.","Lewisville, TX 75067",76
447993,"JOYCE & HILTY, INC.","Houston, TX 77056",
448386,K.Z.I. OIL & GAS COMPANY,"Bellville, TX 77418",
453170,"KEBO OIL & GAS, INC.","Portland, TX 78374",52
467840,KIRBY EXPLORATION COMPANY,"Houston, TX 77251",
484705,"LANDRUM OPERATING CO., INC.","Burkburnett, TX 76354",
501202,"LINDENMUTH & ASSOCIATES, INC.","Austin, TX 78703",
506578,LONE OAK ENERGY INC,"Kyle, TX 78640",
507482,LONE WOLF OPERATING COMPANY,"Denver, CO 80202",
507470,"LONE WOLF OPERATING COMPANY, LP","Haxtun, CO 80731",
511330,LOWMAR EXPLORATION COMPANY,"Houston, TX 77014",
511734,LTS OIL & GAS A,"Lubbock, TX 79424",
515707,"LYNDEL EXPLORATION, INC.","Houston, TX 77077",
521443,MAGNA OIL & GAS CORPORATION,"Irving, TX 75017",
521544,MAGNOLIA OIL & GAS OPERATING LLC,"Houston, TX 77046",1250
521538,MAGNUM PRODUCING & OPERATING CO.,"Corpus Chrsti, TX 78471",
521516,"MAGNUM PRODUCING, LP","Corpus Chrsti, TX 78401",51
525380,MARATHON OIL COMPANY,"Houston, TX 77024",
526695,"MARR, M. H.","Dallas, TX 75201",
527120,MARSHALL EXPL. INC.,"Tyler, TX 75703",
532988,"MASTODON OPERATING COMPANY, LLC","Houston, TX 77027",
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",1685
565888,"MID-GULF, INC.","Brenham, TX 77834",
569150,MILLICAN OIL COMPANY,"Houston, TX 77024",
570400,MISSION RESOURCES CORPORATION,"Houston, TX 77002",
574995,"MONCRIEF, W. A.","Fort Worth, TX 76102",
582555,MOOSE OIL & GAS CO.,"Houston, TX 77002",
597880,"MYERS, SAM","Houston, TX 77060",
604592,NELSON & WADDELL,"Seguin, TX 78155",
606040,NEW BREMEN CORPORATION,"Austin, TX 78701",
608711,NEW ULM GAS LTD.,"Houston, TX 77256",
609284,"NICHOLAS, J. W.","Austin, TX 78753",
613760,NORTH CENTRAL OIL CORP.,"Houston, TX 77252",
618230,"ODEGARD ENERGY, INC.","Houston, TX 77024",
621460,OLEUM INCORPORATED,"Amarillo, TX 79173",
622660,OMEGA ENERGY CORP.,"Graham, TX 76450",
622657,"OMEGA ENERGY, LLC","Corpus Chrsti, TX 78418",
622734,"OMNI OIL & GAS, INC.","San Antonio, TX 78229",
627136,"ORX RESOURCES, L.L.C.","Houston, TX 77067",70
630607,OXY PETR. INC,"Tulsa, OK 74102",
640889,PARKER & PARSLEY DEVELOPMENT CO.,"Midland, TX 79702",
640886,PARKER & PARSLEY DEVELOPMENT L.P,"Midland, TX 79702",
651789,PENN VIRGINIA OIL & GAS CORP.,"Houston, TX 77024",
657290,PERRYMAN OIL & GAS INC.,"Athens, TX 75751",
660043,"PETRO-HUNT, L.L.C.","Dallas, TX 75201",3
660279,PETROGAS OPERATING CORPORATION,"Garland, TX 75043",
663680,PHILLIPS PETROLEUM COMPANY,"Houston, TX 77251",
664960,PIERCE JUNCTION PETROLEUM INC.,"Houston, TX 77002",
667760,PLACID OIL COMPANY,"Houston, TX 77227",
668900,POGO PRODUCING COMPANY,"Houston, TX 77002",
670125,"POMYKAL, FRANK G.","Brenham, TX 77833",
670271,"POMYKAL, VERDE OIL CO","Brenham, TX 77833",
671847,"PORTER, MC & MF","Brenham, TX 77833",
674803,POWELL-MCCARROLL PARTNERSHIP,"Sachse, TX 75048",
675895,PRAIRIE PRODUCING COMPANY,"Sugar Land, TX 77478",
677757,"PRIME NATURAL RESOURCES, INC.","Houston, TX 77042",
679278,PRIZE OPERATING COMPANY,"Grapevine, TX 76051",
683055,PURE ENERGY COMPANY,"Houston, TX 77024",
684517,QUAIL CREEK OIL CORPORATION,"Houston, TX 77024",26
684636,QUESTAR EXPL. AND PROD. CO.,"Salt Lake Cty, UT 84145",
687019,"R.T.C. RESOURCES, L.P.","Midland, TX 79702",1
691725,RANGER OIL COMPANY,"Canada, 00100",
696075,REB PETROLEUM CO.,"Tulsa, OK 74119",
712455,RIO BRAZOS RESOURCES COMPANY,"Houston, TX 77024",
714229,RME PETROLEUM COMPANY,"Houston, TX 77251",
739804,RWA CORPORATION,"Houston, TX 77024",
740177,"S.A.L.T. OIL, INC.","Sugar Land, TX 77496",
744737,"SAMSON LONE STAR, LLC","Tulsa, OK 74103",
745020,SAMSON RESOURCES COMPANY,"Tulsa, OK 74103",
747012,SANCHEZ OIL & GAS CORPORATION,"Houston, TX 77056",
747194,"SANDALWOOD EXPLORATION, L.P.","Houston, TX 77056",5
748742,"SATEX ENERGY, INC.","San Antonio, TX 78216",
766110,SELKO OIL CO.,"Houston, TX 77015",
766455,SEMINOLE PIPELINE COMPANY,"Houston, TX 77210",
767312,"SENORA RESOURCES, INC.","Dime Box, TX 77853",
767793,SETEX OIL AND GAS COMPANY,"Houston, TX 77002",
768894,SHAMROCK OIL CO.,"Sugar Land, TX 77478",
773840,SHELL OIL COMPANY,"Houston, TX 77082",
794695,SMITH PETROLEUM COMPANY,"Spring, TX 77389",
793130,"SMITH, L C PRODUCTION","Jacksonville, TX 75766",
793200,"SMITH, L. C.","Jacksonville, TX 75766",
810815,"SQUARE MILE ENERGY, L.L.C.","Houston, TX 77057",8
823346,"STONE & WEBSTER OIL COMPANY, INC","Houston, TX 77002",
824758,"STRAND ENERGY, L.C.","Houston, TX 77002",34
829430,SUN EXPLORATION & PRODUCTION CO.,"Dallas, TX 75221",
830203,"SUNWEST OKLAHOMA, INC","Dallas, TX 75231",
830280,"SUPERIOR OIL COMPANY, THE","Houston, TX 77046",
831396,"SV ENERGY COMPANY, LLC","Corpus Chrsti, TX 78401",
833347,SWIFT ENERGY COMPANY,"Houston, TX 77060",
833590,"SYNERGY OIL & GAS, INC. (A)","Houston, TX 77024",
834092,"T-N-T ENGINEERING, INC.","Fort Worth, TX 76107",
834487,TAHITI PTRS ENRGY SOLUTIONS CORP,"Long Beach, CA 90807",
840303,"TC OIL AND GAS, LLC","Denton, TX 76205",
840337,TC3 ENERGY SERVICES COMPANY,"Bryan, TX 77805",
841329,TEMA OIL AND GAS COMPANY,"Houston, TX 77084",
841331,"TEMA OIL AND GAS, LLC","Houston, TX 77040",
848438,"TEX-ATIC RESOURCES, INC.","S. Lake Tahoe, CA 96150",
849800,TEX-O PETROLEUM COMPANY,"Houston, TX 77002",
846927,"TEXAS ONSHORE ENERGY, INC.","Austin, TX 78704",
847791,"TEXAS RANGER OIL COMPANY, THE","Houston, TX 77024",
844350,TEXAS-AUSTRALIA POWER INC.,"Wichita Falls, TX 76302",
848561,TEXEGY OPERATING COMPANY LLC,"Corpus Chrsti, TX 78401",
848686,"TEXICAL, INC.","Katy, TX 77491",
859290,TIDE WEST OIL COMPANY,"Tulsa, OK 74136",
863800,TRACE OIL & GAS COMPANY,"Houston, TX 77057",
864889,TRANSTEXAS GAS CORPORATION,"Dallas, TX 75206",
868790,TRIANGLE THREE RESOURCES L.L.C.,"Dallas, TX 75240",1
875194,"TX OF&GC, LLC","Rock Island, TX 77470",
875230,TXO PRODUCTION CORP.,"Dallas, TX 75201",
876500,UNION GAS OPERATING COMPANY,"Houston, TX 77014",21
876520,UNION OIL COMPANY OF CALIFORNIA,"Midland, TX 79706",
876645,UNION PACIFIC RESOURCES COMPANY,"Fort Worth, TX 76101",
884566,VERDUN OIL & GAS LLC,"Houston, TX 77024",406
866222,"VISTA RESOURCES, INC. (A)","Midland, TX 79701",
890990,"WAGNER, DUER & CO.","Fort Worth, TX 76102",
913020,WESTLANDS RESOURCES CORPORATION,"Monrovia, CA 91016",
912934,"WESTPARK PETROLEUM, INC.","Austin, TX 78755",
927652,"WILLMAN OIL & GAS, INC.","Katy, TX 77492",
950870,ZINN PETROLEUM CO.,"Houston, TX 77024",
