Operator Number,Operator Name,Location,Leases
953713,3 M LAND & CATTLE CO,"Archer City, TX 76351",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953535,31 OPERATING LLC,"Kilgore, TX 75663",
953585,4-N OPERATING LLC,"Jacksboro, TX 76458",
000208,A & B PRODUCTION,"Archer City, TX 76351",
000191,A.D.H. OPERATING CO.,"Abilene, TX 79604",
009135,AINF PRODUCTION COMPANY,"Seymour, TX 76380",
010071,"ALAMO OPERATING CO., INC.","Wichita Falls, TX 76302",
011478,"ALCORN, JERRY D.","Grand Prairie, TX 75050",2
014357,"ALLIED ENERGY OPERATING, LLC","McKinney, TX 75070",
014555,ALLISON OIL ACCOUNT,"Wichita Falls, TX 76302",
015115,ALPHA ENERGY OPERATING LLC,"Dallas, TX 75254",
018027,AMERICAN ENERGY GROUP INC.,"Austin, TX 78701",
020478,AMR ENERGY CORPORATION,"San Antonio, TX 78269",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
028728,"ARBUSTO ENERGY, INC.","Midland, TX 79702",
028730,ARCADIA REFINING CO.,"Tyler, TX 75701",
030576,"ARK-LA-TEX OIL AND GAS, INC.","Wichita Falls, TX 76307",
033860,ASAMERA OIL (U.S.) INC.,"Denver, CO 80201",
035060,"ASHTOLA EXPLORATION COMPANY,INC.","Amarillo, TX 79105",
036616,"ATOLL OIL & GAS, INC.","Dallas, TX 75206",
036930,AUSANKA OIL OPERATIONS,"Wichita Falls, TX 76308",
037877,"AVAD OPERATING, LLC","Dallas, TX 75201",
039528,"AYRES, C. D.","Iowa Park, TX 76367",
040553,B & H OIL COMPANY,"Devine, TX 78016",
041157,B & R OILFIELD SERVICE CO.,"Holliday, TX 76366",
039885,B. B. & B.,"Abilene, TX 79608",
040703,"B.G.S. OIL CO., INC.","Graham, TX 76450",
048367,"BANDERA PETROLEUM, INC.","Abilene, TX 79606",
050854,"BARNETT OPERATING, INC.","Wichita Falls, TX 76308",
052969,BARON ENERGY INC.,"San Marcos, TX 78666",4
053940,"BARTOS, MILTON","Seymour, TX 76380",
055145,"BASTROP OIL & GAS, INC.","Wichita Falls, TX 76301",
058840,"BAYLOR DRILLING, INC.","Seymour, TX 76380",
058844,BCB. & LGB. INC.,"Seymour, TX 76380",
062675,"BELCO OIL COMPANY, INC.","Lubbock, TX 79408",
064611,"BENNETT & GUINN, INC","Arlington, TX 76010",
065847,"BENSON MINERAL GROUP, INC.","Denver, CO 80202",
066010,"BENTLEY, CHARLES H.","Wichita Falls, TX 76307",
066718,"BEP OPERATING, LLC","Houston, TX 77084",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
070373,BIG SANDY OIL INC.,"Manchaca, TX 78652",
072587,BITTER CREEK PETROLEUM CO.,"Knox City, TX 79529",
075668,"BLEDSCO, INC.","Holliday, TX 76366",
075370,BLOUNT PETROLEUM INC.,"San Antonio, TX 78209",
076848,"BLUEGRASS ENERGY, INC.","Tulsa, OK 74137",
040639,"BMBD ENTERPRISES, LLC","Iowa Park, TX 76367",2
077555,"BMW RESOURCES, INC.","Jacksboro, TX 76458",
078034,"BOAZ ENERGY, LLC","Midland, TX 79710",
082667,"BOONE RANCH 8, INC.","Graham, TX 76450",
082999,BORDERLINE OPERATING CORP.,"Graham, TX 76450",28
084600,"BOYD, DICK","Olney, TX 76374",
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",
087155,"BRADFORD, MIKE","Cactus, TX 79013",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
094640,"BRITTON OPERATING, INC.","Aledo, TX 76008",
097494,"BROWER OIL & GAS CO., INC.","Graham, TX 76450",13
097496,"BROWER, ROBERT C.","Fort Worth, TX 76116",
097515,BROWN & JONES OIL CO.,"Olney, TX 76374",
100125,"BROWN, GREG OIL & GAS DEV. CO.","Unknown, XX 99999",
105950,"BUCKALEW, DON","Olney, TX 76374",
102061,"BULWARK OIL & GAS, LLC","Graham, TX 76450",21
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
111013,BURNS OPERATING,"Wichita Falls, TX 76307",
111017,BURNS PETROLEUM,"Wichita Falls, TX 76307",
110495,"BURNS, BILL C.","Midland, TX 79701",
112579,BUSH EXPLORATION COMPANY,"Midland, TX 79702",
122160,CACTUS OPERATING COMPANY,"Wichita Falls, TX 76301",
128979,"CANAN OPERATING, INC.","Wichita Falls, TX 76308",7
131810,CARIBOU OPERATING CO.,"Granbury, TX 76048",
132339,CARLORAN PRODUCTION CORP,"Windthorst, TX 76389",
138885,CASADOR OIL & GAS CO.,"Keller, TX 76248",
139599,"CASTEEL, HOYT F.","Graham, TX 76450",
139600,"CASTEEL, MICHAEL HOYT","Graham, TX 76450",
140539,CBECK OPERATING,"Wichita Falls, TX 76302",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
144625,"CHAPMAN EXPLORATION, INC.","Tulsa, OK 74136",
146350,CHARDONNAY,"Olney, TX 76374",
146355,"CHARDONNAY OPERATING, INC.","Olney, TX 76374",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
148123,"CHI OPERATING, INC.","Midland, TX 79702",7
149440,CHITAL PETROLEUM CORP.,"Wichita Falls, TX 76308",
153900,CIRCLE K OIL CO.,"Seymour, TX 76380",
153675,"CIRCLE M ROYALTY CO., INC.","Weatherford, TX 76087",
157283,"CLARK, JOHN M., INC.","Midland, TX 79704",7
157683,"CLARK, ODELL OIL CO.","Bridgeport, TX 76426",
162729,"COBATA ENERGY, INC","Lampasas, TX 76550",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
167012,"COKER, TOM","Seymour, TX 76380",
170058,COMRADE OIL & GAS MGMT. CO.,"Fort Worth, TX 76137",
170037,"COMSTOCK ENERGY, LLC","Wichita Falls, TX 76301",16
175111,"COOPER OIL & GAS, INC.","Fort Worth, TX 76102",
175118,"COOPER OIL & GAS, LLC","Fort Worth, TX 76102",70
175300,"COOPER, GLENN W.","Seymour, TX 76380",
178450,CORLENA OIL COMPANY,"Amarillo, TX 79101",26
182923,"COWAN, PAUL W.","Seymour, TX 76380",
186455,"CRAIG, CARL","Olney, TX 76374",2
189904,CRESTON PETROLEUM CORP.,"Dallas, TX 75380",
190065,CROCKER OIL COMPANY,"Windthorst, TX 76389",
191610,"CRUTCHER, DAVID F. INC.","Wichita Falls, TX 76301",
196230,D AND J RESOURCES INCORPORATED,"Bowie, TX 76230",
196114,D. D. B. OIL,"Olney, TX 76374",
197200,DAHAB ENERGY INC.,"Dallas, TX 75225",11
208171,DAYLIGHT PETROLEUM LLC,"Houston, TX 77052",100
209380,"DECLEVA, PAUL","Wichita Falls, TX 76302",
211535,DELAWARE DAVIS PETROLEUM CORP.,"Houston, TX 77056",
215930,DENOCO INC.,"Plano, TX 75086",
216660,DETECTOR OIL CO.,"Vernon, TX 76384",
220714,DINCARM OIL & GAS,"Brownfield, TX 79316",
220843,"DISCOVER OIL & GAS, INC.","Lewisville, TX 75067",
220893,"DIVERSE ENERGY, INC.","Fort Worth, TX 76109",
222279,DOMINION PETROLEUM COMPANY,"Dallas, TX 75230",
222725,"DONNELL, LOUIS, JR.","South Bend, TX 76481",
224867,"DOUBLE M PETROPROPERTIES, INC.","Haskell, TX 79521",39
229319,"DRY FORK PRODUCTION CO., LLC","Wichita Falls, TX 76307",30
229390,"DUAL-FUEL SYSTEMS, INC.","Frisco, TX 75034",
238196,E.C. HINDMAN OIL AND GAS,"Graham, TX 76450",13
239977,EC STRYKER INC,"Decatur, TX 76234",
240125,"ECHO PRODUCTION, INC.","Graham, TX 76450",46
243214,"EDGE, FRED WELL SERVICE CO.","Archer City, TX 76351",
245644,EFFICIENCY OPERATING SERVICE,"Wichita Falls, TX 76307",
247540,"ELDORADO OIL AND GAS, INC.","Dallas, TX 75230",
247545,ELDORADO OPERATING CO.,"Dallas, TX 75230",
247728,"ELIXIR EXPLORATION COMPANY, INC.","Dallas, TX 75248",
250850,EMBASSY OIL COMPANY,"Highland VLG, TX 75077",
252018,"ENERGY GROUP OF AMERICA, INC.","Hollister, MO 65672",
252120,"ENEXCO U.S.A., LTD.","Dallas, TX 75219",
253210,"ENSERCH EXPLORATION, INC","Dallas, TX 75206",
