Operator Number,Operator Name,Location,Leases
953730,12TH MAN OIL & GAS,"Bryan, TX 77806",
100327,1859 OPERATING LLC,"San Antonio, TX 78205",12
953747,3-G OPERATING COMPANY,"Houston, TX 77244",
953728,3-L DRILLING,"Abilene, TX 79605",
396050,"338 OIL & GAS, INC.","Devine, TX 78016",
000694,"A&B PIPELINE OF TEXAS, INC.","Houston, TX 77014",
000458,"A-G-B, INC.","Houston, TX 77084",
000572,A. N. MAC DIARMID CO.,"San Antonio, TX 78212",
000891,"AARONMARK SERVICES, LLC","New Braunfels, TX 78130",19
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003388,"ACCA VENTURES, INC.","Boerne, TX 78006",
003583,"ACKERMAN, ALBERT C.","Boerne, TX 78006",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
008520,ADVANCED TERTIARY OIL RECVRY INC,"Conroe, TX 77302",
008525,AELVOET BROTHERS,"Castroville, TX 78009",
009585,AKM COMPANY,"San Antonio, TX 78229",
011205,ALCO OIL COMPANY,"Lytle, TX 78052",
012190,ALEXANDER ENERGY CORPORATION,"Dallas, TX 75206",
012465,ALHANCO ENERGY CORPORATION,"Midland, TX 79701",
017974,"AMERICAN EAGLE RESOURCES, INC.","San Antonio, TX 78217",
018026,AMERICAN ENERGY DEVELOPMENT CO.,"Midland, TX 79701",
020106,"AMINEX USA, INC.","Somerset, TX 78069",
020565,"ANACACHO PETROLEUM, INC.","San Antonio, TX 78205",
022065,"ANDERSON, GRACE M.","San Antonio, TX 78230",
027230,APACHE OIL COMPANY,"San Antonio, TX 78227",
028674,"ARANSAS OIL COMPANY, INC.","San Antonio, TX 78253",
028802,"ARBEN OIL, INC.","Coleman, TX 76834",
029865,"ARGON RESOURCES, INC.","San Antonio, TX 78217",
030121,"ARGYLE DRILLING COMPANY, INC.","Dallas, TX 75240",
035622,ASTRO ENERGY,"Von Ormy, TX 78073",
035696,"ATASCOSA EXPLORATION, LLC","San Antonio, TX 78209",
036596,"ATNIPP, H. L.","Midland, TX 79701",
036600,"ATOKA EXPLORATION, INC.","Dallas, TX 75205",
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",
037130,"AUSTIN, JAMES D-C/O G P COKINOS","Beaumont, TX 77701",
039659,AZAR OIL COMPANY,"San Antonio, TX 78218",
039757,"AZUL, INC.","Buffalo Gap, TX 79508",
039758,AZX PETROLEUM,"Waxahachie, TX 75165",
039806,B & B PRODUCTION CO,"Midland, TX 79708",
039870,"B AND G PRODUCTION, INC.","Woodward, OK 73801",14
042170,B W M PRODUCING CO.,"Unknown, XX 99999",
042235,"BABCO ENERGY, INC.","Austin, TX 78709",
042423,BADGER STATE INV LTD PT 83-I&II,"Plymouth, WI 53073",
043665,"BAILEY, L. J.","Pleasanton, TX 78064",
048354,BAM ENERGY INC.,"San Antonio, TX 78216",
049753,BAR M PETROLEUM CO.,"Universal Cty, TX 78148",
049751,"BAR M PETROLEUM CO., INC.","San Antonio, TX 78217",
050360,BARNES OIL COMPANY,"Cuero, TX 77954",
050300,"BARNES, K. A.","Somerset, TX 78069",
050380,"BARNES-HOLDER, INC.","Austin, TX 78728",
053327,"BARROW, WILLIAM R. INTERESTS","Houston, TX 77057",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058837,BAYSHORE OPERATING COMPANY,"San Antonio, TX 78212",
060323,"BEAUCHAMP, C.W.","Somerset, TX 78069",
