Operator Number,Operator Name,Location,Leases
953733,3 WAY OPERATING COMPANY,"Midland, TX 79702",
953592,3TEC ENERGY CORPORATION,"Houston, TX 77002",
000151,A A PRODUCTION INC.,"Midland, TX 79701",
001245,ABCO ENERGY CORPORATION,"Houston, TX 77014",
003526,"ACE FIELD SERVICES, INC.","Houston, TX 77036",
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",32
003678,"ACUFF, MICHAEL","Houston, TX 77058",
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
009101,"AIKMAN BROTHERS, LLC","Amarillo, TX 79109",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009115,"AIKMAN PETROLEUM, INC.","Amarillo, TX 79109",
009120,"AIKMAN, WILLIAM H.","Midland, TX 79705",
011445,"ALEGRE ENERGY OPERATING, LP","San Antonio, TX 78216",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
013555,"ALLEGRO OPERATING, INC.","Abilene, TX 79604",
014157,"ALLIANCE OGO, LP","Pleasanton, CA 94588",
015734,ALTA ENERGY CORPORATION,"Midland, TX 79701",
016830,AMARILLO OIL CO.,"Amarillo, TX 79189",
016860,AMAX PETROLEUM CORPORATION,"Houston, TX 77042",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019250,AMERICAN QUASAR PETROLEUM CO.,"Fort Worth, TX 76102",
020215,AMINOIL USA INC.,"Midland, TX 79701",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020467,AMPLIFY ENERGY OPERATING LLC,"Houston, TX 77002",498
020521,AMTEX ENERGY,"Midland, TX 79702",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
020582,ANADARKO PRODUCTION COMPANY,"Houston, TX 77251",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
024090,"ANDRAU, WILLIAM E.","Houston, TX 77057",
026810,AOP OPERATING CORPORATION,"Dallas, TX 75313",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028617,APV MCCAMEY LLC,"MC Camey, TX 79752",
029590,"ARENAS PETROLEUM, INC.","Dallas, TX 75367",
029860,ARGO PETROLEUM CORPORATION,"Midland, TX 79708",
030791,"ARKLAND PRODUCING CO., INC.","Midland, TX 79701",
036546,"ATLANTIC OPERATING, INC.","Midland, TX 79702",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
041540,B & S SALVAGE,"Post, TX 79356",2
048175,BANAM CORPORATION,"Midland, TX 79702",
049715,"BAR D ENERGY, LLC","Lubbock, TX 79423",2
048565,BARA CORPORATION,"Flower Mound, TX 75027",
049174,BAREMORE DRILLING CORP.,"Snyder, TX 79549",
049397,"BARKER BROWN INVESTMENTS, LLC.","Midland, TX 79701",
053106,"BARRETT BROTHERS OIL & GAS, INC.","San Antonio, TX 78217",
054430,"BASIN OIL & GAS OPERATING, LLC","Fort Worth, TX 76107",110
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058832,"BAYLOR OPERATING, LLC","Austin, TX 78766",10
058873,"BAYTECH, INC.","Midland, TX 79702",
039997,BBI ENERGY,"Midland, TX 79701",
058893,"BC OPERATING, INC.","Midland, TX 79710",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
058921,"BEACH OIL & GAS, INC.","Lubbock, TX 79464",
058975,"BEACH, WILLIAM N.","Midland, TX 79702",
061745,BEEKAY COMPANY,"Dallas, TX 75219",
063920,BELNORTH PETROLEUM CORPORATION,"Midland, TX 79702",
064102,"BENCHMARK PRODUCTION, LLC","Midland, TX 79701",
065324,"BENNETT, R. C., COMPANY","Midland, TX 79702",
068157,BERRY OIL COMP.,"Houston, TX 77002",
068140,"BERRY OIL COMPANY, LLC","Bakersfield, CA 93311",
068159,"BERRY PETROLEUM COMPANY, LLC","Bakersfield, CA 93311",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
068405,BETWELL OIL & GAS COMPANY,"Hialeah, FL 33002",5
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
070445,"BIG STAR OIL & GAS, LLC","Midland, TX 79710",
072566,BISON EXPLORATION COMPANY,"Midland, TX 79701",
072503,"BLACK ARROW OPERATING, LLC","Dennis, TX 76439",26
074001,"BLAIR ENERGY, INC.","Borger, TX 79008",
074110,"BLAIR, JACK N.","Midland, TX 79702",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
078034,"BOAZ ENERGY, LLC","Midland, TX 79710",
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
080352,"BOLD OPERATING, LLC","The Woodlands, TX 77381",
082512,"BONNER, BOBBY","Midland, TX 79702",
082540,BONRAY ENERGY CORP.,"Oklahoma City, OK 73156",
084545,BOYD & MCWILLIAMS ENERGY GROUP,"Midland, TX 79701",5
084630,"BOYD, FOY MANAGEMENT CORP.","Midland, TX 79702",
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089961,BRAZOS PETROLEUM CO.,"Midland, TX 79702",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
092480,BRIDWELL OIL CO.,"Wichita Falls, TX 76307",128
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093125,BRIGHT & CO.,"The Colony, TX 75056",
093102,BRIGHT HAWK OPERATING COMPANY,"Spring, TX 77388",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
093621,"BRITNIC OIL & GAS, INC.","College Sta, TX 77845",
094630,BRITTON MANAGEMENT CORP.,"Midland, TX 79701",
095300,"BROCK, G.W., INC.","Midland, TX 79701",
097035,"BROOKS, E. B., JR.","Dallas, TX 75206",
097478,BROTHERS PRODUCTION COMPANY INC.,"Midland, TX 79708",
100268,"BROWN, H. L., JR.","Midland, TX 79702",
100263,"BROWN, H.L. OPERATING, L.L.C.","Midland, TX 79702",14
102550,"BROWN, TOM INC.","Dallas, TX 75240",
103088,"BROWNING OIL COMPANY, INC.","Dallas, TX 75251",50
041860,BTA OIL PRODUCERS,"Midland, TX 79701",
105270,"BUCHANAN, BILLY R.","Coahoma, TX 79511",3
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
108811,BURKARD PETROLEUM COMPANY,"Houston, TX 77056",
112579,BUSH EXPLORATION COMPANY,"Midland, TX 79702",
112685,BUSTAMANTE OIL COMPANY,"Midland, TX 79710",24
114040,"BUTLER, KEVIN O.","Midland, TX 79702",
114050,"BUTLER, KEVIN O. & ASSOC., INC.","Midland, TX 79702",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
124828,CALLON PETROLEUM OPERATING CO,"Houston, TX 77042",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
127700,CAMPANA PETROLEUM COMPANY,"Midland, TX 79705",
128532,CAMPBELL OIL LTD.,"Denver, CO 80264",
129008,"CANAN MOWREY OPERATING, LLC","Wichita Falls, TX 76308",29
130455,"CAPPS, RANDALL","Midland, TX 79702",
130464,"CAPROCK EXPLORATION, INC.","Odessa, TX 79760",
140537,"CAWELL ENERGY, LLC","Spring, TX 77379",
141373,CENTURA INCORPORATED,"Blue Bell, PA 19422",
142194,"CGS OPERATING, LLC","Kilgore, TX 75663",
143544,"CHAMBERS, JERRY EXPLORATION CO.","Denver, CO 80237",
143578,"CHAMPLIN EXPLORATION, INC.","Enid, OK 73702",
144597,"CHAPARRAL (USA) ENERGY, INC.","Oklahoma City, OK 73114",
144535,"CHAPARRAL ENERGY, L.L.C.","Oklahoma City, OK 73142",
147715,"CHESAPEAKE OPERATING, INC.","Oklahoma City, OK 73154",
147862,"CHEVRON MIDCONTINENT, L.P.","Midland, TX 79706",29
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
149441,"CHISOS OPERATING, INC.","Midland, TX 79702",
150683,"CHOLLA PETROLEUM, INC.","Dallas, TX 75225",95
153410,CICO OIL & GAS COMPANY,"Houston, TX 77057",
153429,CIMAREX ENERGY CO. OF COLORADO,"Midland, TX 79706",
154235,CITATION OIL & GAS CORP.,"Houston, TX 77269",132
154255,CITIES SERVICE COMPANY,"Midland, TX 79710",
154375,CITIES SERVICE OIL & GAS CORP.,"Tulsa, OK 74102",
120648,"CML EXPLORATION, LLC","Austin, TX 78746",177
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
161671,"COASTAL PLAINS ENERGY, INC.","Oklahoma City, OK 73112",23
162726,"COBALT OPERATING, LLC","Midland, TX 79710",
163000,COBRA OIL & GAS CORPORATION,"Wichita Falls, TX 76307",26
166150,COG OPERATING LLC,"Midland, TX 79701",1312
167035,"COLA PETROLEUM, INC.","Midland, TX 79701",
168348,"COLLINS & WARE, INC.","Midland, TX 79701",
169127,"COLTER OPERATING, INC.","Marble Falls, TX 78654",
169773,"COMPLETE SERVICES, INC.","Snyder, TX 79550",
170141,CONCHO EXPLORATION INC,"Oklahoma City, OK 73154",
172230,CONOCO INC.,"Houston, TX 77252",
172232,CONOCOPHILLIPS COMPANY,"Midland, TX 79701",119
172735,"CONSOLIDATED OIL & GAS, INC","Wichita, KS 67202",
177570,COQUINA OIL CORPORATION,"Houston, TX 77227",
178200,CORDERO ENERGY OPERATING LLC,"Dallas, TX 75219",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182057,COTTON PETROLEUM CORP.,"Tulsa, OK 74102",
186115,"COX EXPLORATION, INC.","Dallas, TX 75201",
186120,"COX OIL & GAS, INC.","Dallas, TX 75201",
