Operator Number,Operator Name,Location,Leases
954998,"7711 CORPORATION, THE","Houston, TX 77002",
953860,"7711 OPERATING COMPANY, LLC","Colleyville, TX 76034",
003912,ADA OIL EXPLORATION CORP.,"Houston, TX 77001",
008484,ADVANCE HYDROCARBON CORPORATION,"Houston, TX 77056",
008515,ADVANCED SPECIALITIES OIL CORP.,"Odessa, TX 79760",
009534,"AJ'S PUMP TRUCK SERVICE, INC.","Odessa, TX 79760",
009566,AKG OPERATING COMPANY,"Austin, TX 78701",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010070,ALAMO PET. CO.,"Houston, TX 77042",
010450,"ALARON ENERGY, INC.","Irving, TX 75038",
013900,"ALLEN PETROLEUM, INC.","Terrell, TX 75160",
013645,"ALLEN, DENNY OPERATING COMPANY","Midland, TX 79701",
015090,ALN RESOURCES CORPORATION,"Oklahoma City, OK 73114",
015100,"ALPAR RESOURCES, INC.","Perryton, TX 79070",
016550,AMALGAMATED BONANZA PETR. LTD.,"Houston, TX 77036",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018862,AMERICAN NATURAL ENERGY CORP.,"Oklahoma City, OK 73114",
019361,AMERICAN ROYALTY,"Caldwell, TX 77836",
019788,AMES OIL CORPORATION OF TEXAS,"Austin, TX 78720",
020445,AMOCO PRODUCTION CO.-ALVIN,"Sweeny, TX 77480",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
020528,ANADARKO E&P ONSHORE LLC,"Houston, TX 77046",940
025345,ANDRUS RESOURCES CORPORATION,"Houston, TX 77046",
026651,"ANTLER OIL & GAS, INC.","Houston, TX 77004",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027215,"APACHE EXPLORATION, INC.","Dallas, TX 75379",
029390,ARCTURUS OPERATING COMPANY,"Addison, TX 75001",
030801,"ARLEDGE, TERRY","Rockdale, TX 76567",
033060,"ARPEL, INC.","Oklahoma City, OK 73102",
033189,ARROW EXPLORATION COMPANY,"Plano, TX 75075",
033907,"ASCHERE OPERATING COMPANY, LLC","Addison, TX 75001",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
000610,"ASM OIL & GAS COMPANY, INC.","Dallas, TX 75367",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036103,ATKINSON ENERGY CORPORATION,"Giddings, TX 78942",
036574,ATLAS ENERGY CORPORATION (DEL.),"Oklahoma City, OK 73112",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039676,AZTEC ENERGY CORPORATION,"San Antonio, TX 78209",
040645,"B & L MINERALS, INC.","Houston, TX 77036",
039762,"B.A.C.O.C., INC.","Bryan, TX 77802",
041864,"B.W.O.C., INC.","Plano, TX 75026",
042410,"BADGER ENERGY, INC.","Austin, TX 78714",
044425,"BAKER, BRENT OIL & GAS, INC.","Oklahoma City, OK 73149",
049250,BARGO ENERGY COMPANY,"Houston, TX 77010",
050700,"BARNES, ROY W. OIL COMPANY","Bryan, TX 77806",
053322,BARRY ROCK OIL CO. INC.,"Plain Dealing, LA 71064",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
101444,"Baytex Energy USA, Inc.","Houston, TX 77084",531
058910,BBL OPERATING COMPANY LLC,"Colleyville, TX 76034",13
058908,"BBX OPERATING, L.L.C.","Austin, TX 78738",
040199,"BCL OPERATING, LLC","Houston, TX 77269",1
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
062678,BELCO OPERATING CORP.,"Dallas, TX 75231",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
068314,BETA OIL CORPORATION,"San Antonio, TX 78232",7
068468,"BEXCO OPERATING, INC.","College Sta, TX 77845",
070370,BIG RUN PRODUCTION COMPANY,"Tyler, TX 75701",15
076845,"BLUESKY OIL & GAS, INC.","Houston, TX 77040",
077541,"BMG HOLDINGS, LLC","Bryan, TX 77805",
081565,BOMMER ENGINEERING CO.,"San Antonio, TX 78260",
085370,BP PROD. CORP.,"Richardson, TX 75083",
088600,"BRAMMER PETROLEUM, INC.","Gainesville, TX 76241",33
088607,"BRAMMER SUPPLY, INC.","Gainesville, TX 76240",
089939,"BRAZOS PETROLEUM, INC.","Graham, TX 76450",
089937,"BRAZOS PRODUCTION SERVICES, INC.","Waltham, MA 02451",
089959,"BRAZOS RESOURCES, INC.","College Sta, TX 77840",
089988,"BRAZOS VALLEY OPERATING, LLC","Austin, TX 78738",
089974,BRECK OPERATING CORP.,"Breckenridge, TX 76424",
090870,BRG LONE STAR LTD.,"Tulsa, OK 74136",415
090874,BRG PETROLEUM CORPORATION,"Tulsa, OK 74136",
090873,"BRG PETROLEUM, INC.","Tulsa, OK 74136",
093342,"BRIGHTON ENERGY, L.L.C.","Tulsa, OK 74170",
095367,"BROCK, J.","Midland, TX 79702",
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",
105190,"BUCHANAN, WAYMAN W.","San Antonio, TX 78212",
106406,BUFFCO PRODUCTION INC.,"Longview, TX 75606",163
112590,"BUSH, MARK A. OIL AND GAS INC.","Houston, TX 77057",
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",
120529,"C&E PRODUCTION, LLC","Bryan, TX 77808",
122891,"CAGO, INC.","College Sta, TX 77845",2
123581,CAJUN PETROLEUM CO.,"College Sta, TX 77841",
126764,CAMBRIAN MANAGEMENT LTD,"Midland, TX 79702",
126758,"CAMBRIAN MANAGEMENT, LTD.","McCaulley, TX 79534",8
126994,"CAMERON ENGINEERING, INC","Montgomery, TX 77356",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
127449,"CAMOIL, INC.","Columbus, TX 78934",
129875,"CANTRO EXPLORATION, INC.","San Antonio, TX 78270",
139579,CASHCO ENERGY CORP.,"Victoria, TX 77901",
140588,"CAYUGA EXPLORATION, INC.","Houston, TX 77002",
120043,CD CONSULTING & OPERATING CO.,"Bridgeport, TX 76426",9
120050,CDC OPERATING COMPANY,"Dallas, TX 75218",
140604,CEDAR HILL PETROLEUM,"Center, TX 75935",
141120,"CENTEX ENERGY, LLC","Bryan, TX 77802",
141220,CENTRAL PLAINS OIL AND GAS CORP.,"Bryan, TX 77802",
141230,CENTRAL PLAINS OIL&GAS CORP. (A),"Bryan, TX 77802",
