Operator Number,Operator Name,Location,Leases
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003594,"ACOCK ENGINEERING & ASSOC., INC.","Corpus Chrsti, TX 78401",
003598,"ACOCK/ANAQUA OPERATING CO., LC","Corpus Chrsti, TX 78401",
000183,"ACR EXPLORATION, INC.","Fort Worth, TX 76112",
008511,"ADVANTAGE OIL & GAS, INC.","Pinehurst, TX 77362",
008532,"AEGIS ENERGY, INC.","Lafayette, LA 70505",
008731,AGP ENERGY SERVICES LLC,"Midland, TX 79701",27
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",
012450,"ALFORD-SIGNOR PET. CO., INC.","Conroe, TX 77301",
015724,"ALTA VISTA EXPLORATION, INC.","Corpus Chrsti, TX 78471",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
022497,ANDERSON OIL CORPORATION,"Corpus Chrsti, TX 78403",
022499,ANDERSON OIL LTD.,"Corpus Chrsti, TX 78401",13
025640,"ANSCHUTZ CORPORATION, THE","Houston, TX 77010",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029585,ARENA OIL & GAS COMPANY,"Tyler, TX 75713",
029710,ARGENT ENERGY (US) HOLDINGS INC.,"Sugar Land, TX 77479",
030575,"ARK ENERGY, INC.","Houston, TX 77056",
033905,"ASCENT OPERATING, LP","Plano, TX 75093",
035575,ASSOCIATED OPERATING & EXPLOR.,"Dallas, TX 75243",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036059,"ATINUM OPERATING, INC.","Houston, TX 77002",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
038889,AWP OPERATING COMPANY,"George West, TX 78022",35
044335,"BAJA ENERGY, INC.","Abilene, TX 79606",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
048379,BANDERA EXPLORATION COMPANY,"Dallas, TX 75225",
049145,"BARBEE, R.L. OPERATING, INC.","Corpus Chrsti, TX 78427",
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058896,BDR ENERGY CORPORATION,"Corpus Chrsti, TX 78463",
061372,"BECKHAM RESOURCES, INC.","Houston, TX 77010",
061750,"BEEHIVE OPERATING, LLC","Graham, TX 76450",74
063857,"BELLOWS OPERATING CO., L. C.","Goliad, TX 77963",
063744,"BELLOWS, DEWEY OPER. CO., LTD.","Refugio, TX 78377",
064140,BENDIX FIELD ENGINEERING CORP.,"Grand JCT, CO 81502",
065280,"BENNETT, MILLS ESTATE","Houston, TX 77057",
066716,BEPCO OPERATING CO.,"Fort Worth, TX 76102",
066722,"BEPCO, L.P.","Fort Worth, TX 76102",
040376,"BES, ENVIRONMENTAL SERVICES,INC.","Kingsville, TX 78364",
068208,"BESCO OPERATING, L.P.","Fort Worth, TX 76102",11
072580,"BLACK, AUBREY C.","Dallas, TX 75201",
073056,"BLACKBEARD OPERATING, LLC","Fort Worth, TX 76107",255
075475,"BLEAKLEY, JACK","San Angelo, TX 76902",
075785,"BLOCKER ENERGY, INC.","Houston, TX 77057",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
077031,BLUEFIN RESOURCES LLC,"Houston, TX 77079",
076861,"BLUESTONE NATURAL RES. II, LLC","Fort Worth, TX 76107",
077686,BOBCAT OPERATING,"Stephenville, TX 76401",
082967,"BOPCO, L.P.","Midland, TX 79701",
089927,BRAYTON OIL CORP.,"Corpus Chrsti, TX 78476",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
092800,"BRIGHAM OIL & GAS, L.P.","Austin, TX 78730",
093125,BRIGHT & CO.,"The Colony, TX 75056",
097400,BROONER EXPLORATION,"San Antonio, TX 78209",
111030,BURNS PRODUCTION CORPORATION,"Midland, TX 79701",
042191,"BXP OPERATING, LLC","Houston, TX 77079",1
120079,"C & E OPERATING, INC.","Hockley, TX 77447",
120530,"C & K PETROLEUM, INC.","Midland, TX 79702",
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
121812,CABOT OIL & GAS PRODUCTION CORP.,"Houston, TX 77060",
121932,CABOT PETROLEUM CORPORATION,"Oklahoma City, OK 73114",
101557,CAL-TEX EXPLORATION & PRODUCTION COMPANY LLC,"San Antonio, TX 78228",19
125991,CALTEX ENERGY CO.,"Luling, TX 78648",
129692,"CANTERA OPERATING, LLC","The Woodlands, TX 77380",
129946,"CANYON CREEK RESOURCES, LLC","Tulsa, OK 74136",
135401,"CARRIZO OIL & GAS, INC.","Houston, TX 77002",
119856,"CB ENERGY, LLC","Houston, TX 77024",
141270,"CENTRAL PRODUCERS, INC.","San Antonio, TX 78216",
148113,CHEVRON U. S. A. INC.,"Midland, TX 79706",868
152910,CHRISTICO PETROLEUM COMPANY,"San Antonio, TX 78216",
153446,CIMARRON ENGINEERING CORP.,"Kingsville, TX 78364",
153471,"CIMARRON ENGINEERING, LLC","Kingsville, TX 78364",22
161639,COASTAL OIL & GAS CORPORATION,"Houston, TX 77252",
162025,"COATES, GEORGE H. ESTATE OF","San Antonio, TX 78205",
164455,CODY ENERGY LLC,"Houston, TX 77024",
168720,"COLLINS RESOURCES, INC.","Corpus Chrsti, TX 78473",
169475,COMBUSTION PRODUCTS CORP.,"San Antonio, TX 78209",
169680,"COMETRA OIL AND GAS, INC.","Fort Worth, TX 76102",
170054,"COMSTOCK OIL & GAS, INC.","Frisco, TX 75034",
172230,CONOCO INC.,"Houston, TX 77252",
174000,CONVEST ENERGY CORPORATION,"Houston, TX 77057",
177902,CORAL PETROLEUM DEVELOPMENT INC.,"Houston, TX 77024",
179353,"CORONADO ENERGY E&P COMPANY, LLC","Houston, TX 77252",
179785,"CORPUS CHRISTI LEASEHOLDS, INC.","Corpus Chrsti, TX 78403",
180543,"COSTILLA ENERGY, INC.","Midland, TX 79702",
180545,COSTILLA PETROLEUM CORPORATION,"Midland, TX 79702",
182070,"COTTON, W. L.","Hebbronville, TX 78361",
182069,"COTTON, W.L. GEMS & MINERALS LTD","Hebbronville, TX 78361",
184960,"COX, EDWIN L.","Dallas, TX 75202",
186318,"CPX PETROLEUM, INC.","Houston, TX 77084",
190005,"CRIMSON EXPLORATION OPER., INC.","Houston, TX 77002",
190468,CROSS TIMBERS OPERATING COMPANY,"Fort Worth, TX 76102",
191420,CROWN CENTRAL PETROLEUM CORP.,"Baltimore, MD 21201",
196231,"D AND J OPERATING, LLC","Driscoll, TX 78351",
196844,"D. O. G. OPERATING, LLC","Port Aransas, TX 78373",2
196197,D.J. OILFIELD SALVAGE INC.,"West Point, TX 78963",
196122,"D.Y. EXPLORATION, INC.","Boise, ID 83705",
195797,"D90 ENERGY, LLC","Austin, TX 78746",
201740,DAUCO PETROLEUM INC.,"Rowlett, TX 75088",
209985,"DEETER IMPROVEMENT, INC,","Incline VLG, NV 89450",
215333,"DENALI OIL & GAS MANAGEMENT, LLC","Houston, TX 77060",
216748,DEWBRE PETROLEUM CORPORATION,"Corpus Chrsti, TX 78404",80
220712,DINERO OIL CORPORATION,"Corpus Chrsti, TX 78460",
220847,"DIRNETT, INC.","Tuleta, TX 78162",1
220846,DISCORBIS OIL COMPANY,"San Antonio, TX 78217",
221138,DIXILYN-FIELD DRILLING CO.,"Houston, TX 77210",
222023,"DOGWOOD OPERATING COMPANY, INC.","Houston, TX 77069",
222238,DOLPHIN PETROLEUM,"Alice, TX 78333",
222270,DOMINION CORPORATION,"Houston, TX 77001",
222282,"DOMINION OKLAHOMA TEXAS E&P, INC","Richmond, VA 23219",
223440,DORAY CORPORATION,"Midland, TX 79702",
228125,"DREYFUS, LOUIS NATURAL GAS CORP","Oklahoma City, OK 73134",
230767,"DUKE ENERGY FIELD SERVICES, INC.","Denver, CO 80217",
236455,DURST OIL COMPANY,"Corpus Chrsti, TX 78477",
238594,E. K. O.,"Corpus Chrsti, TX 78401",
238558,E.G. OPERATING,"Dallas, TX 75206",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
243208,"EDGE PETROLEUM OPER. CO., INC.","Houston, TX 77042",
245650,"EGAN-WILSON PETROLEUM, INC.","Corpus Chrsti, TX 78471",
246973,"EL DORADO GAS & OIL, INC.","Dallas, TX 75240",276
250195,"EL PASO E & P COMPANY, L. P.","Houston, TX 77002",
250446,EL PASO PRODUCTION OIL & GAS CO.,"Houston, TX 77252",
246565,"ELAND ENERGY, INC.","Dallas, TX 75248",
247735,"ELF AQUITAINE, INC.","Houston, TX 77002",
249867,"ELLSWORTH, H. P. O&G PROPERTIES","Corpus Chrsti, TX 78413",
251715,ENCINO OIL CORPORATION,"Corpus Chrsti, TX 78411",
251728,"ENDEAVOR NATURAL GAS, LLC","Houston, TX 77002",
251740,"ENERGY 2000, INC.","Reno, NV 89501",
251972,"ENERGY INVESTMENTS, INC.","Abilene, TX 79603",
252017,ENERGY TRANSFER COMPANY,"Houston, TX 77002",
252058,ENERQUEST OPERATING L.L.C.,"Oklahoma City, OK 73114",11
253196,ENRON OIL & GAS COMPANY,"Houston, TX 77210",
253368,ENTERPRISE PRODUCTS OPERATINGLLC,"Houston, TX 77210",
253162,"EOG RESOURCES, INC.","Midland, TX 79702",3318
253385,"EP ENERGY E&P COMPANY, L.P.","Houston, TX 77210",
254058,"ERSKINE ENERGY, LLC","H SPG NTL PK, AR 71909",6
252057,EVEREST RESOURCE COMPANY,"Corpus Chrsti, TX 78403",6
256491,"EVERGREEN OPERATING CO., LTD.","McAllen, TX 78502",
257082,"EXPRO ENGINEERING, INC.","Fort Worth, TX 76179",1
257097,EXXON CORP.,"Houston, TX 77210",
257128,EXXON MOBIL CORPORATION,"Spring, TX 77389",
257129,EXXONMOBIL PIPELINE COMPANY,"Spring, TX 77389",
260263,FALCON PRODUCTION CO.,"Floresville, TX 78114",
268321,FINA OIL & CHEMICAL COMPANY,"Dallas, TX 75221",
268604,"FINLEY PETROLEUM, INC.","Houston, TX 77057",
269066,FIRSTRIKE ENERGY CORPORATION,"Cleburne, TX 76033",
271310,"FIVE-JAB, INC.","Tomball, TX 77377",
274030,FLOURNOY PRODUCTION CO.,"Alice, TX 78333",
275740,FOREST OIL CORPORATION,"Houston, TX 77002",
285112,"FREEMAN EXPLORATION, INC.","Corpus Chrsti, TX 78475",
292850,GAITHER PETROLEUM CORPORATION,"Katy, TX 77493",18
293097,GALAXY OIL COMPANY,"Houston, TX 77210",
293117,GALILEE OIL INVESTMENTS LLC,"San Antonio, TX 78205",
299710,GENERAL CRUDE OIL CO.,"Unknown, XX 99999",
300205,GENESIS PRODUCING COMPANY,"Houston, TX 77024",
302697,GIBRALTAR OIL & GAS CO.,"FT Lauderdale, FL 33308",
306400,GILLRING OIL COMPANY,"Fort Worth, TX 76102",
307320,"GINTHER, WARREN & COMPANY","Unknown, XX 99999",
310295,"GLICK, KENITH & GLICK, KEMPER","Pharr, TX 78577",
313165,GOLDKING PROD. CO.,"Houston, TX 77002",
313990,GOLDSTON OIL CORPORATION,"Houston, TX 77257",11
324140,"GRAHAM ROYALTY, LTD.","Covington, LA 70434",
328358,GREAT BASINS PETR. CO.,"Los Angeles, CA 90067",
337106,GRUY PETROLEUM MANAGEMENT CO.,"Irving, TX 75014",
341930,"HAAS, RICHARD E.","Corpus Chrsti, TX 78409",
348530,HAMILTON BROTHERS OIL CO.,"Houston, TX 77057",
351730,"HAMON, JAKE L.","Dallas, TX 75201",
355420,HANSON MINERALS CO.,"Houston, TX 77042",
357165,HARLETON OIL & GAS INC.,"Tyler, TX 75710",72
364855,"HARWOOD EXPLORATION, INC.","Corpus Chrsti, TX 78401",
368240,HAWN BROTHERS COMPANY,"Corpus Chrsti, TX 78401",
370061,"HEADINGTON ENERGY PARTNERS, LLC","Corpus Chrsti, TX 78401",59
370063,HEADINGTON OIL COMPANY,"Dallas, TX 75231",
370064,"HEADINGTON OIL COMPANY, L.P.","Dallas, TX 75231",
381350,HERSCHAP BROS.,"Bruni, TX 78344",
386310,HILCORP ENERGY COMPANY,"Houston, TX 77208",5939
388650,"HILLIARD OIL & GAS, INC.","Midland, TX 79705",
401895,"HOSKINS, L. R. & SONS, INC.","Corpus Chrsti, TX 78473",
411736,"HUGHES, DAN A. COMPANY, L.P.","Beeville, TX 78104",18
412178,"HUGOTON OPERATING COMPANY, INC.","Dallas, TX 75240",149
415990,"HUNT, N. B.","Dallas, TX 75201",
418770,"HUNTER & HEDRICK PRODUCTION, INC","Corpus Chrsti, TX 78403",
419886,"HURD ENTERPRISES, LTD.","San Antonio, TX 78209",20
427861,J & R CONTRACTORS,"Mission, TX 78572",
427904,J POSEY OPERATING LLC,"Dayton, TX 77535",
302661,JAMES ENERGY CORPORATION,"Houston, TX 77227",
429661,"JAMEX II LTD., L.L.P.","Dallas, TX 75252",
429659,"JAMEX, INC.","Lewisville, TX 75067",76
448903,"K.M.A. OPERATING, INC.","Graham, TX 76450",
448900,K.O.G. OPERATING CO.,"Pleasanton, TX 78064",
450261,KALER ENERGY CORP.,"Boerne, TX 78006",
453170,"KEBO OIL & GAS, INC.","Portland, TX 78374",52
457807,KERR-MCGEE OIL & GAS ONSHORE LP,"Houston, TX 77046",
458813,"KIBBE, ANNA S.","Falfurrias, TX 78355",
458811,"KIBBE, R. E.","Falfurrias, TX 78355",
459175,"KIEL, O. B. JR.","Alice, TX 78333",
478333,KTX MANAGEMENT CO.,"Corpus Chrsti, TX 78474",
480259,L.T.D. EXPLORATIONS INC.,"Alice, TX 78333",13
484025,LAMAY CORPORATION,"Rosenberg, TX 77471",
495557,"LEGEND NATURAL GAS IV, LP","Houston, TX 77094",
498985,LEWIS ENERGY CORP.,"Englewood, CO 80155",
500254,LEY PETROLEUM CORP.,"Victoria, TX 77903",
500602,"LIGHTHOUSE OPERATING, INC.","Corpus Chrsti, TX 78410",
504593,"LMP EXPLORATION OPERATING, LLC","Corpus Chrsti, TX 78477",
504654,"LOBO RESOURCES, LTD.","Houston, TX 77077",
505860,"LOGAS ENERGY, LLC","Lafayette, LA 70508",12
506155,LOMAK PRODUCTION COMPANY,"Fort Worth, TX 76102",
507243,"LONE STAR NATURAL RESOURCES, INC","San Antonio, TX 78230",
509371,"LOUDON EXPLORATION, INC.","San Antonio, TX 78217",
509363,"LOUDON OPERATING COMPANY, L.L.C.","Dallas, TX 75206",
510300,"LOVELADY, I. W.","Albuquerque, NM 87111",
518400,"M. J. G., INC.","Alice, TX 78333",
521538,MAGNUM PRODUCING & OPERATING CO.,"Corpus Chrsti, TX 78471",
521516,"MAGNUM PRODUCING, LP","Corpus Chrsti, TX 78401",51
521980,MAGUIRE OIL COMPANY,"Dallas, TX 75270",
522550,MAJESTIC DRILLING & PROD. CO INC,"Dallas, TX 75201",
522805,"MAJOR EXPLORATION, INC","Lewisville, TX 75067",
522943,MAJOR TEXAS ASSET MANAGEMENT,"Lewisville, TX 75067",
524650,"MANLEY, JOHN D. III","Corpus Chrsti, TX 78411",
524897,MANTI OPERATING COMPANY,"Covington, LA 70435",
525380,MARATHON OIL COMPANY,"Houston, TX 77024",
526675,MARQUEE CORPORATION,"Houston, TX 77024",1
531085,MARWELL PETROLEUM LTD PARTNRSHIP,"Houston, TX 77027",32
531080,"MARWELL PETROLEUM, INC.","Houston, TX 77057",
535720,"MAY PETROLEUM, INC.","Dallas, TX 75231",
535840,"MAYFAIR MINERALS, INC.","McAllen, TX 78505",
541925,MCCORMICK OIL & GAS CORP.,"Houston, TX 77002",
541933,MCCORMICK OPERATING COMPANY,"Houston, TX 77210",
548640,MCENA INC.,"Tulsa, OK 74135",
549836,"MCGOWAN WORKING PARTNERS, INC.","Jackson, MS 39296",84
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",1685
562067,"MESSY OIL AND GAS, LLC","Garwood, TX 77442",4
562071,"MESTENA OPERATING, L.L.C.","Corpus Chrsti, TX 78401",
562072,"MESTENA OPERATING, LTD.","Corpus Chrsti, TX 78471",
562073,"MESTENA, INC.","Corpus Chrsti, TX 78471",
565905,MIDPAR L.P.,"Midland, TX 79702",
566789,"MILAGRO EXPLORATION, LLC","Houston, TX 77010",
567496,MILLENNIUM EXPLORATION CO. LLC,"San Antonio, TX 78232",2
570411,"MISSION RIVER SYSTEMS, INC.","Corpus Chrsti, TX 78473",
572500,MOBIL OIL CORPORATION,"Houston, TX 77210",
572550,MOBIL PRODUCING TX. & N.M. INC.,"Spring, TX 77389",
573226,"MODERN EXPLORATION, INC.","Sherman, TX 75090",23
573678,"MOHICAN OIL & GAS, L.L.C.","Corpus Chrsti, TX 78476",
573707,"MOHICAN OPERATING, L.L.C.","Corpus Chrsti, TX 78401",
589955,MORTIMER EXPLORATION COMPANY,"San Antonio, TX 78209",
592645,MUELLER ENGINEERING CORP.,"Corpus Chrsti, TX 78476",
598315,"NAPECO, INC.","Houston, TX 77227",
601061,"NAVAJO EXPLORATION, INC.","Corpus Chrsti, TX 78410",
605917,"NEUHAUS, V. F. PROPERTIES, INC.","Palmhurst, TX 78573",
606055,"NEW CENTURY EXPLORATION, INC.","Spring, TX 77379",9
606617,NEWFIELD EXPLORATION COMPANY,"The Woodlands, TX 77380",
612795,"NORCO OIL & GAS, INC.","Corpus Chrsti, TX 78460",
613093,NORRIS PETROLEUM CONSULTANTS INC,"Houston, TX 77070",
613760,NORTH CENTRAL OIL CORP.,"Houston, TX 77252",
616202,NUEVO ENERGY COMPANY,"Houston, TX 77002",
617054,"O'SULLIVAN & SCULLY, INC.","Houston, TX 77019",
620960,OIL WELL BUYERS CORP.,"Houston, TX 77056",
621080,"OKIE OPERATING COMPANY, LTD.","Tulsa, OK 74103",10
100467,"OLIPDP II, LLC","Lafayette, LA 70503",87
624699,"OPAL ENERGY, INC.","Katy, TX 77494",
627136,"ORX RESOURCES, L.L.C.","Houston, TX 77067",70
627127,ORYX ENERGY COMPANY,"Dallas, TX 75221",
628656,OVERTON PARK OIL & GAS LP,"Fort Worth, TX 76109",23
630591,OXY USA INC.,"Houston, TX 77046",593
630555,OXY USA WTP LP,"Houston, TX 77046",333
631730,PACE OIL AND GAS COMPANY,"Austin, TX 78715",
635107,"PALADIN PETROLEUM III, L.L.C.","Austin, TX 78746",9
635131,PALEO OIL COMPANY LLC,"Corpus Chrsti, TX 78411",44
637419,PALOMA CORPORATION (I),"Austin, TX 78746",
637449,PAMETA OIL COMPANY,"Newcastle, TX 76372",
640886,PARKER & PARSLEY DEVELOPMENT L.P,"Midland, TX 79702",
640880,PARKER & PARSLEY PRODUCING L.P.,"Midland, TX 79702",
647284,"PEARL, BILL H. PRODUCTIONS, INC.","Corpus Chrsti, TX 78460",39
653000,"PEOPLES ENERGY PROD.-TX, L.P.","Houston, TX 77002",
660313,PETRO-SMITH OPERATING LLC,"Houston, TX 77010",
660286,"PETRODOME OPERATING, LLC","Houston, TX 77265",
660282,PETROGULF CORPORATION,"Denver, CO 80203",
660146,PETROHAWK OPERATING COMPANY,"Houston, TX 77056",
660252,"PETROLEUM CAPITAL, L.C.","Dallas, TX 75367",
660240,PETROTEX MANAGEMENT CO.,"Corpus Chrsti, TX 78474",
660945,"PETRUS OPERATING CO., INC.","Dallas, TX 75251",
665748,"PIONEER NATURAL RES. USA, INC.","Irving, TX 75038",3388
667862,PLAINS EXPLORATION & PROD. CO.,"Houston, TX 77002",
668215,PLO'S OIL & GAS,"Carrizo SPGS, TX 78834",
668907,POGO PRODUCING COMPANY LLC,"Houston, TX 77002",
676027,"PREMIER NATURAL RESOURCES, L.P.","Tulsa, OK 74105",
676073,"PREMIER NATURAL RESOURCES, LLC","Tulsa, OK 74136",
679278,PRIZE OPERATING COMPANY,"Grapevine, TX 76051",
683987,PYLE PETROLEUM,"Corpus Chrsti, TX 78473",
683968,"PYLE PETROLEUM, INC.","Tyler, TX 75703",1
684471,PYRO ENERGY CORP.,"Houston, TX 77010",
689317,"RAM OPERATING COMPANY, INC.","Houston, TX 77002",
690680,RANCHO RESOURCES CORPORATION,"San Antonio, TX 78217",
691703,RANGE PRODUCTION COMPANY,"Fort Worth, TX 76102",
699360,"REH ENERGY, INC.","Corpus Chrsti, TX 78413",
703124,"REPUBLIC RESOURCES, LLC.","San Antonio, TX 78212",
723453,ROCKLAND OIL COMPANY,"Addison, TX 75001",
723592,RODESSA OPERATING COMPANY,"Corpus Chrsti, TX 78426",
726900,"ROMA OIL AND GAS, INC.","San Antonio, TX 78209",
731850,ROYAL OIL & GAS CORP.,"Indiana, PA 15701",
732075,"ROYAL PRODUCTION COMPANY, INC.","Corpus Chrsti, TX 78401",17
732107,ROYAL TEXAS PETROLEUM,"Lago VIsta, TX 78645",
732198,ROYKO OIL COMPANY,"Horseshoe Bay, TX 78657",
742227,SABLE ENERGY CORP.,"Houston, TX 77057",
743197,"SAFARI PRODUCTION COMPANY, INC.","McAllen, TX 78501",1
744277,"SALT CREEK PRODUCTION, INC.","Big Spring, TX 79721",
744600,SAMEDAN OIL CORPORATION,"Houston, TX 77067",
744700,SAMSON LONE STAR LP,"Tulsa, OK 74103",
744737,"SAMSON LONE STAR, LLC","Tulsa, OK 74103",
748104,"SANTA ROSA OPERATING, LLC","Corpus Chrsti, TX 78411",2
760850,"SE USA OPERATING, INC.","Houston, TX 77002",
767951,SEXTON OIL & MINERALS CORP.,"Corpus Chrsti, TX 78473",
773840,SHELL OIL COMPANY,"Houston, TX 77082",
774719,SHELL WESTERN E&P,"Houston, TX 77001",
774720,SHELL WESTERN E&P INC.,"Houston, TX 77001",
775829,"SHERIDAN ENERGY,INC.","Houston, TX 77002",
777007,SHIELD PETROLEUM,"College Sta, TX 77845",
785322,"SJTC HOLDINGS, INC.","Colleyville, TX 76034",
789662,SMITH PRODUCTION INC.,"The Woodlands, TX 77381",303
799886,SNYDER OIL CORPORATION,"Houston, TX 77024",
100095,SoCo ATX LLC,"San Marcos, TX 78666",
801639,SONAT EXPLORATION CO. - HOUSTON,"Houston, TX 77251",
802612,"SOUTH LEEVILLE, LLC","Houston, TX 77069",
802735,SOUTH TEXAS LIMITED PARTNERSHIP,"Houston, TX 77060",
803257,SOUTHCOAST PRODUCTION INC,"Houston, TX 77010",
803814,"SOUTHERN G HOLDINGS, LLC","Houston, TX 77002",
806350,"SOUTHWEST OIL & LAND, INC.","Corpus Chrsti, TX 78460",
817546,"STEPHENS-COTTON, ARMINDA P.","Hebbronville, TX 78361",
819625,STEWART & FORD,"Midland, TX 79702",
823814,"STONEGATE OPERATORS, INC.","Addison, TX 75001",
825454,STRATA RESOURCES,"Alleyton, TX 78935",
828352,"SUE-ANN OPERATING, L.C.","Victoria, TX 77903",102
828321,"SUEMAUR EXPL. & PROD., LLC","Corpus Chrsti, TX 78401",
828339,"SUEMAUR EXPLORATION, INC.","Corpus Chrsti, TX 78470",
829435,SUN EXPL. & PROD. CO.-CORPUS,"Houston, TX 77251",
829430,SUN EXPLORATION & PRODUCTION CO.,"Dallas, TX 75221",
833595,"SYNERGY OIL & GAS, L.P.","Houston, TX 77024",
835577,"TALLGRASS ENERGY, L.L.C.","Tulsa, OK 74136",
