Operator Number,Operator Name,Location,Leases
953730,12TH MAN OIL & GAS,"Bryan, TX 77806",
857501,"3-C OIL COMPANY, INC.","Luling, TX 78648",
953728,3-L DRILLING,"Abilene, TX 79605",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000164,A & A OIL COMPANY,"Luling, TX 78648",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
102439,A2C ENERGY LLC,"Houston, TX 77074",
008470,"ADRIAN OIL COMPANY, INC.","Houston, TX 77040",
008547,"AFO, INC.","Corpus Chrsti, TX 78427",
008717,AGGREGATE AGGRAVATIONS INC,"College Sta, TX 77842",
008754,AHABB OIL,"Luling, TX 78648",
009775,ALADDIN PETROLEUM COMPANY,"Houston, TX 77046",
011322,ALDIS OIL,"Luling, TX 78648",
012377,"ALEXANDER, W. B.","Luling, TX 78648",
101776,ALL IN ENERGY PRODUCTION CORP.,"Red Rock, TX 78662",1
014982,"ALL IN ENERGY PRODUCTION, LLP","Red Rock, TX 78662",
013695,ALLEN & GRACE OIL COMPANY,"Kingsbury, TX 78638",
014471,"ALLIED OPERATING TEXAS, LLC","Kilgore, TX 75663",
015056,ALLTEX OPERATING COMPANY,"Luling, TX 78648",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016547,AM-ROC ENERGY CORPORATION,"Giddings, TX 78942",
016540,"AM-TEX DRILLING & EXPLOR., INC.","Metairie, LA 70004",
016917,AMCOLE ENERGY CORP.,"Oklahoma City, OK 73102",
017900,"AMERICAN CASCADE ENERGY, INC.","Barker, TX 77413",
019520,AMERICAN STATES ENERGY CO.,"Houston, TX 77019",
019530,AMERICAN STATES ENERGY CORP.,"Dallas, TX 75205",
102118,AMS ENERGY SOLUTIONS LLP,"Katy, TX 77493",2
100796,Angus Resources LLC,"El Campo, TX 77437",
028678,"ARABIE, INC.","Lake Charles, LA 70605",1
028714,"ARAMIS, LLC","Houston, TX 77007",
029610,"ARENDALE OIL & GAS, INC.","Arlington, TX 76012",
031190,ARMIDILLO OIL COMPANY,"Luling, TX 78648",
032635,"ARNOLD OIL PROPERTIES, L.L.C.","Nichols Hill, OK 73116",
033877,"ASANTE OPERATING COMPANY, LLC","Austin, TX 78703",5
035285,"ASHTON OIL & GAS CO., INC.","Austin, TX 78701",
036083,"ATKINSON, L. G., LLC","Taylor, TX 76574",
037050,AUSTEX OIL & GAS CO.,"San Francisco, CA 94111",
036985,"AUSTEX OIL & GAS COMPANY, INC.","Austin, TX 78723",
037103,"AUSTIN ENERGY OPERATIONS, INC.","Corpus Chrsti, TX 78410",
037205,AUSTIN OIL & MINERAL,"Manor, TX 78653",
037252,"AUSTIN OPERATING, LLC.","Chicago, IL 60622",
037680,AUSTRAL OIL COMPANY INCORPORATED,"Sulphur, LA 70663",
038712,"AVIAN TECH INTERNATIONAL, INC.","Euless, TX 76040",
038888,AWM OIL,"Luling, TX 78648",
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
040630,B & L SERVICES,"Luling, TX 78648",
041542,B & S OPERATING COMPANY LLC,"San Marcos, TX 78666",
040675,"B H & C OPERATING COMPANY, INC.","Luling, TX 78648",
042199,B-3 OIL CO.,"Luling, TX 78648",
040405,B-G OPERATING INC.,"Luling, TX 78648",
040674,B. J. P. OPERATING,"Luling, TX 78648",22
040747,B. M. J. OIL VENTURE,"Luling, TX 78648",
044263,"BAIR'S LEASE SERVICE, INC.","Luling, TX 78648",24
048160,"BALL, WESLEY L.","Austin, TX 78750",
100459,"Banks,Flemming,& Conley Production LLC","Luling, TX 78648",
051355,"BARNETT, L. G.","Dale, TX 78616",
053327,"BARROW, WILLIAM R. INTERESTS","Houston, TX 77057",
054080,BASE PETROLEUM,"Houston, TX 77096",
055118,BASTROP ENERGY GROUP,"San Antonio, TX 78231",4
055145,"BASTROP OIL & GAS, INC.","Wichita Falls, TX 76301",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
057962,"BAYARD ENERGY SOLUTIONS, INC.","Irving, TX 75038",
058923,BBC PRODUCTION COMPANY INC.,"Pottstown, PA 19464",10
058917,BC2M OPERATING LLC,"Dripping SPGS, TX 78620",
059100,BEACON ENERGY CORP.,"Austin, TX 78764",
060124,"BEAR OF TEXAS, INC.","Grand Rapids, MI 49546",
061600,"BEDFORD OIL & GAS, INC.","Luling, TX 78648",
064104,"BENCHMARK TEXAS PETROLEUM, LLC.","Tulsa, OK 74103",
064430,BENNETT & DAVENPORT,"Luling, TX 78648",
065295,BENNETT OIL,"Dale, TX 78616",
064781,"BENNETT, JAMES ROSS","Dale, TX 78616",
065301,"BENNETT, PATRICIA","Dale, TX 78616",1
066000,BENSON & WYATT OIL CO.,"Charlotte, TX 78011",
065849,BENSON-WYATT OIL CO. INC.,"Austin, TX 78767",
066480,"BENTON, RICHARD G. & MARTHA E.","Houston, TX 77024",
069157,"BIG BEAR OPERATING CO., INC.","Luling, TX 78648",
069438,BIG HICKORY PRODUCTION CO.,"Dallas, TX 75244",
072420,"BISCO ENERGY, INC.","Martindale, TX 78655",
072593,BLACK BRONCO OIL,"Luling, TX 78648",
072604,BLACK DOME ENERGY CORPORATION,"Golden, CO 80401",
072645,"BLACK GOLD, OPERATING","Universal Cty, TX 78148",
072700,BLACK JACK OIL COMPANY,"Holliday, TX 76366",
072704,"BLACK JACK SERVICES, L.L.C.","Bastrop, TX 78602",
073189,"BLACKMAR, JIM OIL OPERATOR","Luling, TX 78648",
074620,"BLALACK, JAMES WILLIAM","Schertz, TX 78154",1
076775,"BLUE RIDGE OIL & GAS EXP., INC.","Belleville, MI 48111",
076830,BLUEBONNET EXPLORATION COMPANY,"New Braunfels, TX 78130",
078060,BOB'S OIL & GAS OPERATING CO.,"Luling, TX 78648",
078056,BOB-KAT OIL CO.,"Prairie Lea, TX 78661",
077810,BOBSCO,"Lockhart, TX 78644",
078323,"BODE, E.E.","Luling, TX 78648",
081355,BOLLMAN & BAILEY,"Luling, TX 78648",
083274,"BOSTEX OPERATING, INC.","Plano, TX 75094",
089523,"BRANYON OPERATING CO., INC.","Dallas, TX 75231",
097545,BROWN OIL CO.,"Luling, TX 78648",
103564,"BRUINGTON OPERATING, L.L.C.","San Antonio, TX 78217",
103900,"BRUNER OIL & GAS, INC.","Fischer, TX 78623",
