Operator Number,Operator Name,Location,Leases
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
051290,"BARNETT ENERGY, INC.","The Colony, TX 75056",31
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
072547,BISHOP PETROLEUM INC.,"Houston, TX 77007",
075440,"BLAZER RESOURCES, INC.","Leesburg, TX 75451",5
139832,CAT PRODUCTION,"Gilmer, TX 75645",
182074,"COTTONWOOD RESOURCES, INC.","Kilgore, TX 75663",
191250,"CROW, DAVID","Shreveport, LA 71106",
197690,"DALLAS PRODUCTION, INC.","Dallas, TX 75206",
212300,DELHI GAS PIPELINE CORPORATION,"Palestine, TX 75802",
216884,DIAMOND DRILLING CO.,"Richardson, TX 75081",
216980,DIAMOND OPERATING COMPANY,"Gladewater, TX 75647",
238634,EAGLE OIL & GAS CO.,"Dallas, TX 75225",76
251681,ENBRIDGE G & P (EAST TEXAS) L.P.,"Houston, TX 77056",
251620,ENBRIDGE PIPELINES (NE TEXAS) LP,"Houston, TX 77002",
251695,ENBRIDGE PIPELINES (NE TX) LLC,"Houston, TX 77002",
256481,"EVERETT, JACK T.","Shreveport, LA 71101",
258410,"FAIR OIL, LTD.","Tyler, TX 75710",16
259788,"FAIRWAY RESOURCES OPERATING, LLC","Southlake, TX 76092",
266618,"FGB ENERGY, INC.","Dallas, TX 75206",
338095,GULF ENERGY PRODUCING COMPANY,"San Antonio, TX 78216",
338130,GULF OIL CORP.,"Houston, TX 77252",
338150,GULF OIL CORP.-KILGORE,"Kilgore, TX 75662",
354987,HANOVER ENERGY INC.,"Dallas, TX 75205",
390100,HINTON PRODUCTION COMPANY,"MT Pleasant, TX 75455",
396850,HOME PETROLEUM CORPORATION,"Denver, CO 80202",
412145,"HUGHEY, GAYLORD T. SR. OPER. CO.","Tyler, TX 75711",
433045,JKJ OIL COMPANY,"Austin, TX 78746",
473726,KOCH MIDSTREAM SERVICES COMPANY,"Wichita, KS 67201",
478189,"KROG PARTNERS, LLC","Kilgore, TX 75663",
501130,"LINDER, JOHN OPERATING CO., LLC","Gladewater, TX 75647",263
525238,"MAP PRODUCTION CO., INC.","Kilgore, TX 75663",4
525380,MARATHON OIL COMPANY,"Houston, TX 77024",
526480,MARLINE OIL CORP.,"Houston, TX 77002",
561136,MERIT ENERGY COMPANY,"Dallas, TX 75240",1685
564710,MIDCOAST G & P (EAST TEXAS) L.P.,"Houston, TX 77002",
570655,MITCHELL ENERGY CORPORATION,"Houston, TX 77002",
590920,MOSS PETROLEUM COMPANY,"Dallas, TX 75207",4
611686,"NOBLE & CANTRELL EXPL. CO., INC.","Winnsboro, TX 75494",
611683,NOBLE & CANTRELL EXPLORATION CO.,"Winnsboro, TX 75494",
611684,"NOBLE/CANTRELL EXPLOR.CO., INC.","Winnsboro, TX 75494",
620480,OIL MANAGEMENT CORPORATION,"Dallas, TX 75206",
628400,OUIDA OIL,"Rowlett, TX 75030",
630794,PG&E RESOURCES COMPANY,"Houston, TX 77042",
677050,PRIDE ENERGY COMPANY,"Tulsa, OK 74170",17
677757,"PRIME NATURAL RESOURCES, INC.","Houston, TX 77042",
727090,ROOSTH & GENECOV PRODUCTION CO.,"Tyler, TX 75710",
727892,"ROSE CITY RESOURCES, LLC","Tyler, TX 75703",151
744600,SAMEDAN OIL CORPORATION,"Houston, TX 77067",
744776,SAMSON HYDROCARBONS COMPANY,"Tulsa, OK 74103",
744700,SAMSON LONE STAR LP,"Tulsa, OK 74103",
745020,SAMSON RESOURCES COMPANY,"Tulsa, OK 74103",
749529,"SAXET OPERATING COMPANY, INC.","Winnsboro, TX 75494",
760218,SCOUT ENERGY MANAGEMENT LLC,"Dallas, TX 75240",3159
761710,"SEAGULL OPERATING CO., INC.","Shreveport, LA 71101",
777307,SHILOH OPERATING LLC,"Dallas, TX 75367",
806415,"SOUTHWEST OPERATING, INC.-TYLER","Tyler, TX 75701",84
828880,"SULPHUR RIVER EXPLORATION, INC.","Dallas, TX 75244",90
828924,SULPHUR RIVER GATHERING LP,"Dallas, TX 75225",
829430,SUN EXPLORATION & PRODUCTION CO.,"Dallas, TX 75221",
841500,TENNECO OIL CO.,"Houston, TX 77205",
843250,"TERRA RESOURCES, INC.","Houston, TX 77056",
844110,TEXACO INC.,"Midland, TX 79702",
846860,TEXAS OIL & GAS CORP.,"Dallas, TX 75201",
875230,TXO PRODUCTION CORP.,"Dallas, TX 75201",
881167,VALENCE OPERATING COMPANY,"Kingwood, TX 77339",477
908670,WESSELY ENERGY COMPANY,"Houston, TX 77046",
908685,WESSELY ENERGY CORPORATION,"Dallas, TX 75201",
945887,"XB ENERGY SERVICES, INC.","Denver, CO 80202",
