Operator Number,Operator Name,Location,Leases
623407,1836 ENERGY LLC,"El Campo, TX 77437",
953614,2 T PRODUCTION,"Bowie, TX 76230",
857690,3 & 1 TRUSTS,"Unknown, XX 99999",
953682,"3-T EXPLORATION, INC.","Wichita Falls, TX 76308",19
953760,4R OIL COMPANY,"Tyler, TX 75703",
000465,A P D OIL CO,"Wichita Falls, TX 76307",
000919,ABB DRILLING COMPANY,"Wichita Falls, TX 76310",
000920,"ABB DRILLING COMPANY, INC.","Wichita Falls, TX 76301",
000921,"ABB OIL CO., INC.","Wichita Falls, TX 76310",8
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003312,"ACADIA OIL, LLC","Wichita Falls, TX 76310",
003605,ACOMA OIL CORPORATION,"Saint Paul, MN 55102",2
003966,ADAIR RESOURCES INC.,"Ennis, TX 75120",
007858,"ADDAX OPERATING, LLC","Wichita Falls, TX 76307",5
007937,"ADKINS, R. L. CORP.","Lubbock, TX 79408",
008596,"AETERNUM ENERGY, LLC","Nederland, TX 77627",16
009583,AKINS OIL COMPANY,"Wichita Falls, TX 76302",10
010071,"ALAMO OPERATING CO., INC.","Wichita Falls, TX 76302",
012375,"ALEXANDER, TOMMY","Burkburnett, TX 76354",
013639,"ALLEN, C. L. (DOIE)","Wichita Falls, TX 76309",6
015098,"ALON USA, LP","Big Spring, TX 79720",
015123,ALPHA EXPLORATION CO.,"Wichita Falls, TX 76309",
016563,AMARALA PETROLEUM INC.,"Amarillo, TX 79101",
016898,AMCANA OIL CORPORATION,"Tulsa, OK 74103",
016905,AMCO ENERGY CORP.,"Farmers BRNCH, TX 75234",
018027,AMERICAN ENERGY GROUP INC.,"Austin, TX 78701",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018925,AMERICAN PETROFINA PIPE LINE CO.,"Houston, TX 77032",
020105,AMINEX CORPORATION,"Dallas, TX 75214",
020535,"AMV OPERATING, INC.","Lawton, OK 73502",
020591,"ANCHOR PETROLEUM, INC.","Lubbock, TX 79464",
025355,"ANDY'S OIL COMPANY, INC.","Bowie, TX 76230",
026710,"ANZAC OIL & GAS, INC.","Waurika, OK 73573",
027345,APC OPERATING PARTNERSHIP,"Tulsa, OK 74136",
027456,APEX ENERGY CORPORATION,"Dallas, TX 75225",
027463,APEX OPERATING & EQUIP. CO.,"Bowie, TX 76230",
028637,"AQUILA STORAGE & TRANS., L.P.","San Antonio, TX 78258",
028681,ARACCA PETROLEUM CORP.,"New York, NY 10022",
029271,"ARCH OPERATING, LLC","Wichita Falls, TX 76308",15
