Operator Number,Operator Name,Location,Leases
954941,"27:17 ENTERPRISES, LLC","Seminole, TX 79360",
953786,"5H OIL CO., LLC","Dallas, TX 75225",
000194,A.C.T. OPERATING COMPANY,"Lubbock, TX 79401",7
003606,"ACOMA OPERATING, LLC","Lubbock, TX 79424",32
009354,"AINSWORTH, R. N.","Milnesand, NM 88125",
015134,ALPHA TWENTY-ONE PRODUCTION CO.,"Midland, TX 79701",
015744,"ALTMAN ENERGY, INC.","Tulsa, OK 74114",
015726,ALTURA ENERGY LTD.,"Houston, TX 77210",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020572,ANADARKO PETROLEUM CORPORATION,"Houston, TX 77251",
027000,"AP&E CO., INC.","Los Angeles, CA 90048",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029413,ARD DRILLING COMPANY INC.,"Abilene, TX 79604",
029415,"ARD, JULIAN","Fort Worth, TX 76102",
035453,"ASPECT ENERGY, LLC","Denver, CO 80202",1
035452,ASPECT RESOURCES LLC,"Denver, CO 80202",
035633,ATAPCO,"Houston, TX 77040",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036587,ATLAS OPERATING LLC,"Houston, TX 77056",258
036856,AUGUSTA OIL & GAS,"Abilene, TX 79604",
039661,"AZIMUTH ENERGY, LLC","Denver, CO 80203",
039780,"B & B FARM INDUSTRIES, INC.","Spearman, TX 79081",
039802,"B & B OPERATING CO, INC.","Levelland, TX 79336",
054310,"BASIC ENERGY SERVICES, INC.","Midland, TX 79702",
054313,"BASIC ENERGY SERVICES, L.P.","Fort Worth, TX 76102",
056555,"BAXTER, KELLY H.","Austin, TX 78767",
056536,"BAXTER, KELLY H. OIL AND GAS CO.","Austin, TX 78767",
058873,"BAYTECH, INC.","Midland, TX 79702",
058893,"BC OPERATING, INC.","Midland, TX 79710",
058915,"BEACH EXPLORATION, INC.","Midland, TX 79701",26
061739,BEE-JAY ENERGY,"Whiteface, TX 79379",
061747,"BEE-JAY PETRO, INC.","Levelland, TX 79336",
062673,BELCO ENERGY CORP.,"Dallas, TX 75231",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
068610,BHP PETROLEUM (AMERICAS) INC.,"Houston, TX 77056",
068630,BHP PETROLEUM COMPANY INC.,"Houston, TX 77057",
101595,Blackflat Oil Company LLC,"Lubbock, TX 79424",9
075675,"BLEDSOE PARTNERS, INC.","Oklahoma City, OK 73120",
076382,BLOWING SAND OPERATING L.L.C.,"Levelland, TX 79336",
076782,"BLUE RIDGE RESOURCES, LLC","Midland, TX 79710",
