Operator Number,Operator Name,Location,Leases
953637,1988 INDEXGEO JV,"Houston, TX 77002",
953535,31 OPERATING LLC,"Kilgore, TX 75663",
856467,84 ENERGY LLC,"Flatonia, TX 78941",141
000457,"A-N-A OPERATING COMPANY, INC.","Houston, TX 77061",
003400,ACCO OIL & GAS COMPANY,"Houston, TX 77056",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
007890,"ADENA EXPLORATION, INC.","Greenwich, CT 06830",
008264,"ADOBE ENERGY, INC.","The Woodlands, TX 77380",
009105,AIKMAN OIL CORP.,"Oklahoma City, OK 73157",
009566,AKG OPERATING COMPANY,"Austin, TX 78701",
009765,AL-TX OPERATING INC.,"Plum, TX 78952",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011441,"ALEGRE ENERGY, INC.","San Antonio, TX 78216",
011495,"ALEXANDER LAND & DEV. CO., INC.","Giddings, TX 78942",
012443,ALFORD PETROLEUM CORP.,"The Woodlands, TX 77380",
012450,"ALFORD-SIGNOR PET. CO., INC.","Conroe, TX 77301",
013230,"ALL AM, INC.","Houston, TX 77057",
013305,"ALLEGRO INVESTMENTS, INC.","Victoria, TX 77903",
015056,ALLTEX OPERATING COMPANY,"Luling, TX 78648",
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
015721,"ALTA MESA SERVICES, LP","Houston, TX 77084",
016539,ALYANA ENERGY CORPORATION,"Houston, TX 77227",
016870,"AMAZON ROYALTIES, INC.","Fulshear, TX 77441",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018046,"AMERICAN ENERGY PARTNERS, INC.","Boerne, TX 78006",
018023,AMERICAN EXPLORATION COMPANY,"Houston, TX 77010",
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",
018870,AMERICAN OPERATING COMPANY,"Kilgore, TX 75663",
018900,AMERICAN PETROFINA CO. OF TEX.,"Dallas, TX 75221",
018930,AMERICAN PUBLIC ENERGY CO.,"Dallas, TX 75231",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020425,AMOCO PRODUCTION COMPANY,"Houston, TX 77253",
020542,ANADARKO E&P COMPANY LP,"Houston, TX 77251",
022995,"ANDERSON,T.G. & BOWMAN,E.L.","Houston, TX 77079",
023900,ANDOVER OIL COMPANY,"Tulsa, OK 74136",
024124,"ANDRESS PETROLEUM, INC.","Houston, TX 77002",
025490,ANGLO PRODUCTION COMPANY,"Dallas, TX 75201",
025498,ANGLO-DUTCH PRODUCTION CO.,"Houston, TX 77002",
025514,ANICO SIX SIXTY SIX,"San Antonio, TX 78247",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
028726,"ARBOL RESOURCES, INC.","Houston, TX 77079",4
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
030128,"ARIES OPERATING, LP","Houston, TX 77042",
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
030840,"ARMADA RESOURCES, INC.","New Orleans, LA 70130",
033514,"ARROWHEAD ENTERPRISES, INC.","Baton Rouge, LA 70816",
034380,ASHFORD OIL & GAS COMPANY,"Houston, TX 77282",
034450,"ASHLAND EXPLORATION, INC.","Houston, TX 77218",
035633,ATAPCO,"Houston, TX 77040",
035643,"ATASCA RESOURCES, INC.","Houston, TX 77219",
036550,ATLANTIC RICHFIELD CO.,"Houston, TX 77252",
036618,ATROPOS EXPLORATION COMPANY,"Dallas, TX 75225",23
036642,ATWOOD EXPLORATION COMPANY,"Houston, TX 77057",
036742,"AUBURN ENTERPRISES, INC.","Kyle, TX 78640",
036931,AURORA RESOURCES CORPORATION,"Corpus Chrsti, TX 78401",11
039136,AXIS ENERGY CORPORATION,"Roswell, NM 88202",
039530,"AYRES, GEORGE C.","Houston, TX 77002",
039791,"B & B OIL, INC.","Kerrville, TX 78028",
040753,"B & M OPERATING CO., INC.","Houston, TX 77006",
040190,"B D PRODUCTION CO., INC.","Corpus Chrsti, TX 78401",11
040175,"B. D. K. PRODUCTION CO., INC.","Victoria, TX 77902",
048169,"BALLARD EXPLORATION COMPANY,INC.","Houston, TX 77002",26
048349,"BALUCO, INC.","Navasota, TX 77868",
049152,"BARBER, JAMES OPERATING","Hobbs, NM 88240",
053450,BARTH ENERGY CORP.,"Houston, TX 77056",
053974,"BASA RESOURCES, INC.","Dallas, TX 75254",754
054700,BASS ENTERPRISES PRODUCTION CO.,"Fort Worth, TX 76102",
056580,"BAXTER, MURPHY H.","Houston, TX 77002",
057850,BAY ROCK CORP.,"San Antonio, TX 78209",
057860,BAY ROCK OPERATING COMPANY,"San Antonio, TX 78212",19
058881,BBL OIL & GAS COMPANY,"Giddings, TX 78942",
061990,BEJO CORPORATION,"Richmond, TX 77407",
063865,BELLWETHER EXPLORATION COMPANY,"Houston, TX 77010",
068360,"BETTIS, BOYLE & STOVALL","Graham, TX 76450",
069160,"BIG ""6"" DRILLING COMPANY","Houston, TX 77063",
072621,"BLACK CREEK DRILLING, INC.","Columbus, TX 78934",
072703,"BLACK JACK RESOURCES, INC.","Houston, TX 77227",
073349,BLACKWELL OPERATING COMPANY,"Houston, TX 77227",
075790,BLOCKER EXPLORATION CO.,"Houston, TX 77079",
076781,"BLUE RIDGE GROUP, INC.","Bowling Green, KY 42101",
077570,BNP PETROLEUM CORPORATION,"Corpus Chrsti, TX 78478",
078005,"BOCHE CO.,THE/O&G RESERVES, INC.","Houston, TX 77002",
082442,BONEY ENTERPRISES PROD. CO.,"Houston, TX 77055",
083714,"BOUNDARY VENTURES, INC.","Columbus, TX 78934",
085330,"BOZEMAN, JOHN F.","Rosenberg, TX 77471",
086250,BRADCO OIL & GAS CO.,"Houston, TX 77002",
088665,"BRANNON OIL & GAS, INC.","Fort Worth, TX 76102",
088670,"BRANNON, M. J.","Fort Worth, TX 76110",
091093,"BRIDGE OIL COMPANY, L. P.","Midland, TX 79702",
091085,"BRIDGE OIL PRODUCTION CO., INC.","Midland, TX 79702",
093548,BRISTOL RESOURCES CORPORATION,"Tulsa, OK 74170",
093623,BRITISH AMERICAN PETROLEUM CORP.,"Fort Lee, NJ 07024",
093621,"BRITNIC OIL & GAS, INC.","College Sta, TX 77845",
099300,"BROWN, GILBERT L.","San Antonio, TX 78209",
102550,"BROWN, TOM INC.","Dallas, TX 75240",
103564,"BRUINGTON OPERATING, L.L.C.","San Antonio, TX 78217",
104965,BSE PRODUCTION CO.,"Victoria, TX 77903",
106512,BULLDOG EXPLORATION COMPANY,"Houston, TX 77090",
106515,"BULLDOG EXPLORATION, LP","Houston, TX 77090",
106509,BULLDOG OILFIELD&SW SERVICES INC,"Garwood, TX 77442",
108799,"BURK ROYALTY CO., LTD.","Wichita Falls, TX 76308",1014
108800,BURK ROYALTY COMPANY,"Wichita Falls, TX 76308",
109333,BURLINGTON RESOURCES O & G CO LP,"Houston, TX 77252",917
109338,BURLINGTON RESOURCES OIL&GAS CO.,"Houston, TX 77210",
111030,BURNS PRODUCTION CORPORATION,"Midland, TX 79701",
111020,"BURNS, R. L. CORPORATION","Dallas, TX 75270",
115750,BUTTES RESOURCES COMPANY,"Houston, TX 77056",
042190,"BWS VACUUM SERVICE, INC.","El Campo, TX 77437",
120079,"C & E OPERATING, INC.","Hockley, TX 77447",
121212,"C6 OPERATING, L.L.C.","Keatchie, LA 71046",11
121700,CABOT OIL & GAS CORPORATION,"Houston, TX 77024",
122570,"CADDO OIL COMPANY, INC.","Shreveport, LA 71134",
122891,"CAGO, INC.","College Sta, TX 77845",2
125948,CALPINE NATURAL GAS COMPANY,"Houston, TX 77002",
125946,CALPINE NATURAL GAS COMPANY L.P.,"Houston, TX 77002",
125944,CALPINE NATURAL GAS L.P.,"Houston, TX 77002",
126834,"CAMDEN OIL & GAS, INC.","Farmers BRNCH, TX 75234",
126837,"CAMDEN RESOURCES, INC.","Farmers BRNCH, TX 75234",
126842,"CAMDEN RESOURCES, LLC","Blanchard, OK 73010",
127230,"CAMERON, PAUL E., JR., INC.","Montgomery, TX 77356",
127449,"CAMOIL, INC.","Columbus, TX 78934",
129218,"CANNON OIL & GAS, INC.","Sugar Land, TX 77487",
