Operator Number,Operator Name,Location,Leases
953562,"1776 ENERGY OPERATORS, LLC","Houston, TX 77070",36
623065,"1836 RESOURCES, LLC","Houston, TX 77070",
953637,1988 INDEXGEO JV,"Houston, TX 77002",
953828,2 D OIL & GAS LLC,"Refugio, TX 78377",1
953747,3-G OPERATING COMPANY,"Houston, TX 77244",
953762,5-D OPERATING INC,"Yorktown, TX 78164",
000202,A & D EXPLORATION COMPANY,"Rockport, TX 78381",
000253,A.J.& M. OIL COMPANY,"Flatonia, TX 78941",
000555,"A.O.E. OPERATORS, INC.","Fulshear, TX 77441",
000894,"ABACO OPERATING, LLC","San Antonio, TX 78209",26
003125,ABRAXAS PETROLEUM CORPORATION,"San Antonio, TX 78259",18
003645,"AC EXPLORATION, LLC","Houston, TX 77024",17
003642,"AC PRODUCING, LLC","Freer, TX 78357",
003596,ACOCK OPERATING LIMITED,"San Antonio, TX 78270",
003599,"ACOCK/ANAQUA OPERATING CO., LP","Corpus Chrsti, TX 78401",
003673,"ACTIVA RESOURCES, LTD.","San Antonio, TX 78205",
003925,"ADA RESOURCES, INC.","Houston, TX 77001",
008380,ADOBE OIL & GAS CORP.,"Houston, TX 77057",
008551,"AEGIS FLUIDS MANAGEMENT, LLC","Plano, TX 75093",
008725,"AGOIL, INC.","Victoria, TX 77901",
008742,AGUA LIBRE MIDSTREAM LLC,"Fort Worth, TX 76102",
010074,"ALAMO OPERATING COMPANY, L. C.","San Antonio, TX 78278",
011285,ALCORN PROD CO.,"Victoria, TX 77902",
015050,"ALLTEX EXPLORATION, INC.","Houston, TX 77056",4
015141,"ALPINE RESOURCES, INC.","Houston, TX 77002",
016945,AMEND ENERGY COMPANY,"Houston, TX 77227",
016980,AMERADA HESS CORPORATION,"Houston, TX 77252",
018008,"AMERICAN COMETRA, INC.","Fort Worth, TX 76102",
018395,AMERICAN INT'L ENERGY CORP.,"Houston, TX 77057",
018966,AMERICAN PUMPING & TRUCKING,"New Braunfels, TX 78131",
019365,"AMERICAN SHORELINE, INC.","Corpus Chrsti, TX 78401",1
020463,AMPAK OIL COMPANY,"Plano, TX 75074",16
020569,"ANAQUA OIL & GAS, INC.","Corpus Chrsti, TX 78401",
027200,APACHE CORPORATION,"Houston, TX 77042",1552
027424,"APEX ENERGY, INC.","Corpus Chrsti, TX 78413",
028671,ARANSAS DRLG & WORKOVER CO INC,"Corpus Chrsti, TX 78409",
028801,"ARAXAS EXPLORATION, INC.","The Woodlands, TX 77380",
028734,"ARCADIA OPERATING, LLC","Dallas, TX 75219",46
029272,"ARCH OIL & GAS, LLC","Dallas, TX 75254",3
029340,ARCO OIL & GAS CO.,"Plano, TX 75086",
029390,ARCTURUS OPERATING COMPANY,"Addison, TX 75001",
030790,ARKLA EXPLORATION CO.,"Shreveport, LA 71151",
033149,ARRINGTON OIL&GAS OPERATING LLC,"Midland, TX 79702",
033148,"ARRINGTON,DAVID H. OIL & GAS,INC","Midland, TX 79702",
